cycle,state_name,district_name,block_name,village_name,N_High,N_Low,N_Medium,P_High,P_Low,P_Medium,K_High,K_Low,K_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,PH_Alkaline,PH_Acidic,PH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Vetamamidi,0,1,1,2,0,0,0,0,2,2,0,0,0,2,0,0,2,0,2,2,0,2,0,1,1,2,0,2,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Kimmuru,0,2,7,4,3,2,1,8,0,8,1,2,0,7,0,0,9,0,9,9,0,9,0,9,0,0,9,9,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Kinaparti,1,1,4,2,4,0,0,6,0,6,0,3,0,3,0,0,6,0,6,6,0,6,0,6,0,0,6,6,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Uppalapadu,0,1,2,0,0,3,0,1,2,3,0,0,0,3,0,0,3,0,3,3,0,3,0,3,0,0,3,3,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Gontuvanipalem,0,3,23,15,5,6,6,18,2,23,3,13,1,12,0,0,26,2,24,26,0,26,0,26,0,0,26,26,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Gavarayyapeta,0,0,3,1,0,2,2,1,0,3,0,1,0,2,0,0,3,0,3,3,0,3,0,3,0,0,3,3,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Kottampalem,0,1,2,3,0,0,0,3,0,3,0,3,0,0,0,0,3,0,3,3,0,3,0,3,0,0,3,3,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Rajavaram,0,2,4,4,0,2,0,5,1,6,0,6,0,0,0,1,5,0,6,6,0,6,0,6,0,0,6,6,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Veerabhadrapuram,1,3,3,4,0,3,0,7,0,7,0,0,0,7,0,0,7,0,7,0,7,0,7,7,0,7,0,7,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Konalova,0,7,21,14,6,8,2,24,2,28,0,19,0,9,0,0,28,0,28,28,0,28,0,28,0,0,28,28,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Languparti,0,7,1,6,0,2,0,1,7,8,0,6,0,2,0,0,8,0,8,8,0,0,8,8,0,1,7,8,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Yellavaram,0,1,12,5,3,5,0,13,0,13,0,9,0,4,0,0,13,0,13,13,0,13,0,13,0,0,13,13,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Nimmalapalem,0,1,1,2,0,0,0,2,0,2,0,2,0,0,0,0,2,0,2,2,0,2,0,2,0,0,2,2,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Panukuratipalem,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Matlapadu,1,0,5,3,2,1,0,6,0,5,1,6,0,0,0,0,6,0,6,6,0,6,0,6,0,0,6,6,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Thimmapuram,0,10,22,14,8,10,0,32,0,31,1,13,0,19,0,0,32,0,32,32,0,30,2,32,0,0,32,32,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Doddivaka,1,0,2,3,0,0,0,3,0,3,0,3,0,0,0,0,3,0,3,3,0,3,0,3,0,0,3,3,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Doramamidi,1,5,7,6,1,6,0,13,0,13,0,6,0,7,0,0,13,0,13,13,0,13,0,12,1,0,13,13,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Darsinuthula @ Regulapadu,0,0,2,2,0,0,0,2,0,2,0,1,0,1,0,0,2,0,2,2,0,2,0,2,0,0,2,2,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Nukarai,0,1,1,1,0,1,0,2,0,1,1,2,0,0,0,0,2,0,2,2,0,2,0,2,0,0,2,2,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Thungamadugula,0,8,22,17,6,7,0,16,14,28,2,3,0,27,0,0,30,0,30,30,0,26,4,30,0,0,30,30,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Mamidipalem,0,1,1,0,2,0,0,2,0,1,1,2,0,0,0,0,2,0,2,2,0,2,0,2,0,0,2,2,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Jajipalem,3,0,2,4,1,0,0,4,1,5,0,3,0,2,0,0,5,0,5,5,0,5,0,5,0,0,5,5,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Kalimamidi,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Uligogula,0,2,3,1,2,2,0,1,4,4,1,2,0,3,0,0,5,0,5,5,0,5,0,5,0,0,5,5,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,D. Ramavaram,1,0,5,2,2,2,0,5,1,6,0,1,0,5,0,0,6,0,6,0,6,6,0,6,0,0,6,6,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Rayapalle,0,0,6,2,1,3,0,6,0,6,0,1,0,5,0,0,6,0,6,6,0,6,0,6,0,0,6,6,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Chinavadisakarra,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Chodavaram,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Rollagedda,0,2,8,4,2,4,0,8,2,10,0,2,0,8,0,0,10,0,10,0,10,0,10,10,0,10,0,10,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Vangalamadugu,0,1,3,2,1,1,0,2,2,4,0,0,0,4,0,0,4,0,4,4,0,4,0,4,0,0,4,4,0
