_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058fb9d6,2023-24,660f941a5c8405ca8375c7c6,0,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cb,FERRARGUNJ,6493,63f9ce48519359b7438e7720,Tusnabad (RV),645469,0,25,4,0,20,9,0,29,0,1,28,0,28,1,0,0,29,1,28,29,0,17,12,21,8,29,0,29,0
68ed2def2034e237058fb9d7,2023-24,660f941a5c8405ca8375c7c6,0,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cb,FERRARGUNJ,6493,63f9ce4b519359b7438e776b,Chouldari (RV),645480,0,29,11,0,26,14,1,37,2,0,40,0,40,0,0,0,40,0,40,40,0,40,0,40,0,40,0,40,0
68ed2def2034e237058fb9d8,2023-24,660f941a5c8405ca8375c7c6,0,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cb,FERRARGUNJ,6493,63f9ce4c519359b7438e7770,Manpur (RV),645471,0,17,15,0,22,10,0,30,2,0,32,0,32,0,0,6,26,0,32,31,1,22,10,31,1,32,0,32,0
68ed2def2034e237058fb9d9,2023-24,660f941a5c8405ca8375c7c6,0,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cb,FERRARGUNJ,6493,63f9ce4c519359b7438e777a,Tirur (RV),645456,0,3,8,0,7,4,0,11,0,0,11,0,11,0,0,9,2,2,9,11,0,11,0,11,0,11,0,11,0
68ed2def2034e237058fb9da,2023-24,660f941a5c8405ca8375c7c6,0,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cb,FERRARGUNJ,6493,63f9ce4d519359b7438e778e,Bindraban (RV),645459,0,5,3,0,6,2,0,7,1,0,8,0,8,0,0,0,8,0,8,8,0,8,0,8,0,8,0,8,0
68ed2def2034e237058fb9db,2023-24,660f941a5c8405ca8375c7c6,0,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cb,FERRARGUNJ,6493,63f9ce4e519359b7438e77b1,Alipur (RV),645448,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68ed2def2034e237058fb9dc,2023-24,660f941a5c8405ca8375c7c6,0,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cb,FERRARGUNJ,6493,63f9ce4e519359b7438e77b6,Mithakhari (RV),645468,0,12,3,0,10,5,0,14,1,0,15,0,15,0,0,0,15,0,15,15,0,13,2,15,0,15,0,15,0
68ed2def2034e237058fb9dd,2023-24,660f941a5c8405ca8375c7c6,0,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cb,FERRARGUNJ,6493,63f9ce4f519359b7438e77c5,Herbertabad (RV),645457,0,6,3,0,5,4,0,9,0,0,9,0,9,0,0,3,6,0,9,9,0,1,8,9,0,9,0,9,0
68ed2def2034e237058fb9de,2023-24,660f941a5c8405ca8375c7c6,0,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cb,FERRARGUNJ,6493,63f9ce4f519359b7438e77d4,Namunaghar (RV),645466,0,7,3,0,7,3,0,9,1,0,10,0,10,0,0,0,10,0,10,10,0,10,0,10,0,10,0,10,0
68ed2def2034e237058fb9df,2023-24,660f941a5c8405ca8375c7c6,0,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cb,FERRARGUNJ,6493,63f9ce50519359b7438e77e3,Hobdipur (RV),645473,0,7,8,0,12,3,0,15,0,1,14,0,15,0,0,0,15,1,14,15,0,12,3,11,4,15,0,15,0
68ed2def2034e237058fb9e0,2023-24,660f941a5c8405ca8375c7c6,0,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cb,FERRARGUNJ,6493,63f9ce50519359b7438e77ed,Hashmatabad (RV),645485,0,5,3,0,4,4,0,7,1,0,8,0,8,0,0,0,8,0,8,8,0,8,0,8,0,8,0,8,0
68ed2def2034e237058fb9e1,2023-24,660f941a5c8405ca8375c7c6,0,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cb,FERRARGUNJ,6493,63f9ce51519359b7438e77f2,Dhanikhari (RV),645481,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68ed2def2034e237058fb9e2,2023-24,660f941a5c8405ca8375c7c6,0,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cb,FERRARGUNJ,6493,63f9ce51519359b7438e77f7,Maymyo (RV),645483,0,3,2,0,2,3,0,3,2,0,5,0,5,0,0,0,5,0,5,5,0,5,0,5,0,5,0,5,0
68ed2def2034e237058fb9e3,2023-24,660f941a5c8405ca8375c7c6,0,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cb,FERRARGUNJ,6493,63f9ce51519359b7438e77fc,Wandur (RV),645484,0,20,9,0,20,9,0,25,4,3,26,0,29,0,0,2,27,0,29,29,0,24,5,26,3,28,1,29,0
68ed2def2034e237058fb9e4,2023-24,660f941a5c8405ca8375c7c6,0,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cb,FERRARGUNJ,6493,63f9ce53519359b7438e783d,Colinpur (RV),645470,0,7,5,0,7,5,0,11,1,0,12,0,12,0,0,2,10,0,12,12,0,4,8,12,0,12,0,11,1
68ed2def2034e237058fb9e5,2023-24,660f941a5c8405ca8375c7c6,0,63f9ce47519359b7438e76fa,ANDAMAN & NICOBAR,35,63f9ce47519359b7438e76fd,SOUTH ANDAMANS,602,6492fac4680216eb6c93e2cb,FERRARGUNJ,6493,63f9ce55519359b7438e7860,Caddlegunj (RV) (incl. Sona Pahar & Hazari Bagh (JPPC),645465,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
