_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2dee2034e237058f6df0,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e32d,ANANTAPUR,4689,63f9581189d86ca9e2c016f0,Mannila,595095,0,36,1,28,0,9,24,0,13,35,2,0,37,0,0,0,37,0,37,17,20,25,12,37,0,34,3,37,0
68ed2dee2034e237058f6df1,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e32d,ANANTAPUR,4689,63f9581189d86ca9e2c016fa,Narayanapuram (CT),595096,0,47,1,38,1,9,36,0,12,48,0,0,47,1,0,0,48,0,48,42,6,32,16,48,0,33,15,48,0
68ed2dee2034e237058f6df2,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e32d,ANANTAPUR,4689,63f9581289d86ca9e2c016ff,Kakkalapalle (CT),595099,0,24,0,17,0,7,22,0,2,22,2,0,24,0,0,0,24,0,24,20,4,12,12,24,0,22,2,23,1
68ed2dee2034e237058f6df3,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e32d,ANANTAPUR,4689,63f9581289d86ca9e2c01704,Anantapur Rural,912404,0,3,0,1,0,2,2,0,1,3,0,0,3,0,1,0,2,0,3,2,1,1,2,3,0,2,1,2,1
68ed2dee2034e237058f6df4,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e32d,ANANTAPUR,4689,63f9581289d86ca9e2c01709,Chiyyedu,595094,0,20,0,17,0,3,17,0,3,20,0,0,20,0,0,0,20,0,20,19,1,16,4,20,0,16,4,20,0
68ed2dee2034e237058f6df5,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e32d,ANANTAPUR,4689,63f9581289d86ca9e2c0170e,Kandakur,595093,0,33,0,31,0,2,29,0,4,33,0,0,33,0,0,0,33,0,33,32,1,26,7,33,0,30,3,33,0
68ed2dee2034e237058f6df6,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e32d,ANANTAPUR,4689,63f9581389d86ca9e2c01718,Rachanapalle,595083,0,14,1,12,0,3,11,0,4,15,0,0,13,2,0,0,15,0,15,12,3,10,5,15,0,14,1,15,0
68ed2dee2034e237058f6df7,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e32d,ANANTAPUR,4689,63f9581389d86ca9e2c01722,Thaticherla,595081,0,21,2,20,0,3,20,0,3,23,0,0,21,2,1,0,22,0,23,20,3,17,6,23,0,16,7,23,0
68ed2dee2034e237058f6df8,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e32d,ANANTAPUR,4689,63f9581389d86ca9e2c01727,Kurugunta,595085,0,10,0,8,0,2,7,0,3,10,0,0,9,1,0,0,10,0,10,6,4,7,3,10,0,8,2,10,0
68ed2dee2034e237058f6df9,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e32d,ANANTAPUR,4689,63f9581489d86ca9e2c01731,Upparapalle,595090,0,29,2,27,1,3,30,0,1,29,2,0,30,1,0,0,31,0,31,28,3,17,14,31,0,24,7,31,0
