_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2dee2034e237058f6d6a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e335,BRAHMASAMUDRAM,4694,63f957ee89d86ca9e2c013e6,Pillalapalle,594939,0,19,0,18,0,1,7,0,12,19,0,0,18,1,0,0,19,0,19,11,8,18,1,19,0,13,6,19,0
68ed2dee2034e237058f6d6b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e335,BRAHMASAMUDRAM,4694,63f957ef89d86ca9e2c013eb,Gundiganihalli,594928,0,15,0,14,0,1,10,0,5,15,0,0,15,0,0,0,15,0,15,6,9,12,3,15,0,4,11,15,0
68ed2dee2034e237058f6d6c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e335,BRAHMASAMUDRAM,4694,63f957ef89d86ca9e2c013f0,Theetakal,594938,0,27,0,25,0,2,17,0,10,27,0,0,26,1,5,0,22,0,27,14,13,26,1,27,0,18,9,27,0
68ed2dee2034e237058f6d6d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e335,BRAHMASAMUDRAM,4694,63f957ef89d86ca9e2c013f5,Eradikera,594931,0,27,0,26,0,1,12,0,15,27,0,0,27,0,3,0,24,0,27,20,7,23,4,27,0,24,3,27,0
68ed2dee2034e237058f6d6e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e335,BRAHMASAMUDRAM,4694,63f957ef89d86ca9e2c013fa,Bhyravanithippa,594929,0,27,0,26,0,1,22,0,5,27,0,0,27,0,4,0,23,0,27,14,13,26,1,27,0,19,8,27,0
68ed2dee2034e237058f6d6f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e335,BRAHMASAMUDRAM,4694,63f957f089d86ca9e2c013ff,Kannepalle,594937,0,23,1,24,0,0,10,0,14,24,0,0,24,0,0,0,24,0,24,23,1,11,13,24,0,22,2,24,0
68ed2dee2034e237058f6d70,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e335,BRAHMASAMUDRAM,4694,63f957f089d86ca9e2c01404,Vepalaparthy,594932,0,18,1,17,0,2,9,0,10,19,0,0,19,0,0,0,19,0,19,8,11,16,3,19,0,7,12,19,0
68ed2dee2034e237058f6d71,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e335,BRAHMASAMUDRAM,4694,63f957f089d86ca9e2c01409,West Kodipalle,594930,0,21,1,21,0,1,15,0,7,22,0,0,21,1,1,0,21,0,22,17,5,18,4,22,0,20,2,22,0
68ed2dee2034e237058f6d72,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e335,BRAHMASAMUDRAM,4694,63f957f089d86ca9e2c0140e,Chelimenahalli,594933,0,21,0,21,0,0,15,0,6,21,0,0,21,0,0,0,21,1,20,9,12,18,3,21,0,1,20,21,0
68ed2dee2034e237058f6d73,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e335,BRAHMASAMUDRAM,4694,63f957f089d86ca9e2c01413,Bhairasamudram,594936,0,29,0,28,0,1,24,0,5,29,0,0,28,1,0,0,29,0,29,11,18,28,1,28,0,22,7,29,0
