_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2dee2034e237058f6c79,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e339,D.HIREHAL,4699,63f957b189d86ca9e2c00e1c,Hulikal,594657,0,16,1,13,0,4,4,0,13,14,3,0,11,6,2,0,15,0,17,7,10,5,12,17,0,15,2,17,0
68ed2dee2034e237058f6c7a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e339,D.HIREHAL,4699,63f957b189d86ca9e2c00e21,Pulakurthi,594651,0,4,0,4,0,0,3,0,1,4,0,0,4,0,0,0,4,0,4,2,2,2,2,4,0,2,2,4,0
68ed2dee2034e237058f6c7b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e339,D.HIREHAL,4699,63f957b189d86ca9e2c00e2b,Obulapuram,594643,0,18,0,18,0,0,16,0,2,18,0,0,18,0,2,0,16,5,13,9,9,2,16,16,2,12,6,18,0
68ed2dee2034e237058f6c7c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e339,D.HIREHAL,4699,63f957b189d86ca9e2c00e30,Dodagatta,594655,0,11,1,11,0,1,7,0,5,10,2,0,12,0,2,0,10,0,12,4,8,4,8,12,0,12,0,12,0
68ed2dee2034e237058f6c7d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e339,D.HIREHAL,4699,63f957b289d86ca9e2c00e3a,Madenahalli,594647,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
68ed2dee2034e237058f6c7e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e339,D.HIREHAL,4699,63f957b289d86ca9e2c00e3f,Nagalapuram,594652,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0
68ed2dee2034e237058f6c7f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e339,D.HIREHAL,4699,63f957b289d86ca9e2c00e44,Kadalur,594656,0,18,0,18,0,0,7,0,11,18,0,0,18,0,9,0,9,0,18,12,6,8,10,18,0,16,2,18,0
68ed2dee2034e237058f6c80,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e339,D.HIREHAL,4699,63f957b389d86ca9e2c00e49,Muradi,594658,0,26,0,26,0,0,13,0,13,25,1,0,25,1,7,0,19,2,24,10,16,7,19,26,0,22,4,26,0
68ed2dee2034e237058f6c81,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e339,D.HIREHAL,4699,63f957b389d86ca9e2c00e4e,Lingamanahalli,594648,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
68ed2dee2034e237058f6c82,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e339,D.HIREHAL,4699,63f957b389d86ca9e2c00e53,Malapanagudi,594641,0,21,0,21,0,0,11,0,10,21,0,0,21,0,3,0,18,2,19,11,10,1,20,21,0,16,5,21,0
