_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2dee2034e237058f6d5f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33f,GUMMAGATTA,4706,63f957ec89d86ca9e2c013ad,Bhupasamudram,594922,0,42,0,24,0,18,25,0,17,40,2,0,41,1,0,0,42,0,42,15,27,29,13,42,0,36,6,42,0
68ed2dee2034e237058f6d60,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33f,GUMMAGATTA,4706,63f957ec89d86ca9e2c013b2,Gummagatta,594927,0,62,2,50,0,14,42,0,22,62,2,0,62,2,2,0,62,2,62,35,29,49,15,64,0,53,11,64,0
68ed2dee2034e237058f6d61,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33f,GUMMAGATTA,4706,63f957ed89d86ca9e2c013b7,Pulakunta,594924,0,63,0,52,0,11,51,0,12,61,2,0,61,2,0,0,63,0,63,47,16,42,21,61,2,52,11,63,0
68ed2dee2034e237058f6d62,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33f,GUMMAGATTA,4706,63f957ed89d86ca9e2c013bc,Kalugodu,594923,0,52,0,43,0,9,42,0,10,49,3,0,52,0,4,0,48,0,52,37,15,51,1,52,0,42,10,52,0
68ed2dee2034e237058f6d63,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33f,GUMMAGATTA,4706,63f957ed89d86ca9e2c013c1,Gollapalle,594918,0,34,0,21,0,13,20,0,14,33,1,0,34,0,0,0,34,0,34,21,13,19,15,33,1,27,7,34,0
68ed2dee2034e237058f6d64,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33f,GUMMAGATTA,4706,63f957ed89d86ca9e2c013c6,Tallakera,594926,0,52,0,39,0,13,36,0,16,50,2,0,51,1,1,0,51,0,52,31,21,28,24,50,2,40,12,52,0
68ed2dee2034e237058f6d65,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33f,GUMMAGATTA,4706,63f957ed89d86ca9e2c013cb,Veerapuram,594919,0,29,0,21,0,8,18,0,11,26,3,0,29,0,0,0,29,0,29,24,5,24,5,29,0,27,2,29,0
68ed2dee2034e237058f6d66,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33f,GUMMAGATTA,4706,63f957ee89d86ca9e2c013d0,Galagala,594917,0,24,0,20,0,4,21,0,3,23,1,0,22,2,0,0,24,0,24,21,3,12,12,24,0,18,6,24,0
68ed2dee2034e237058f6d67,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33f,GUMMAGATTA,4706,63f957ee89d86ca9e2c013d5,S.Hosahalli,594921,0,6,0,5,0,1,4,0,2,5,1,0,6,0,0,0,6,0,6,1,5,5,1,6,0,5,1,6,0
68ed2dee2034e237058f6d68,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33f,GUMMAGATTA,4706,63f957ee89d86ca9e2c013da,Belodu,594920,0,20,0,19,0,1,17,0,3,16,4,0,15,5,3,0,17,0,20,15,5,13,7,20,0,12,8,20,0
68ed2dee2034e237058f6d69,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e33f,GUMMAGATTA,4706,63f957ee89d86ca9e2c013df,Rangasamudram,594925,0,32,0,23,0,9,23,0,9,28,4,0,30,2,0,0,32,0,32,21,11,18,14,32,0,24,8,32,0
