_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2dee2034e237058f6cc2,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e341,GUNTAKAL,4707,63f957c289d86ca9e2c00fb6,Guntakal (R),594732,0,24,3,25,0,2,15,0,12,27,0,0,23,4,0,0,27,0,27,24,3,25,2,27,0,22,5,26,0
68ed2dee2034e237058f6cc3,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e341,GUNTAKAL,4707,63f957c389d86ca9e2c00fc5,Ayyavaripalle,594737,0,21,1,20,0,2,19,0,3,22,0,0,19,3,0,0,22,0,22,16,6,8,14,22,0,19,3,21,0
68ed2dee2034e237058f6cc4,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e341,GUNTAKAL,4707,63f957c389d86ca9e2c00fca,Nelagonda,594734,0,20,0,18,0,2,12,0,8,20,0,0,20,0,0,0,20,0,20,17,3,13,7,20,0,15,5,20,0
68ed2dee2034e237058f6cc5,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e341,GUNTAKAL,4707,63f957c389d86ca9e2c00fcf,Thimmapuram,594731,0,22,1,20,0,3,8,0,15,23,0,1,22,0,0,0,23,0,23,15,8,23,0,23,0,20,3,23,0
68ed2dee2034e237058f6cc6,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e341,GUNTAKAL,4707,63f957c389d86ca9e2c00fd4,Donimukkala,594733,0,20,2,21,0,1,15,0,7,22,0,0,20,2,0,0,22,0,22,17,5,18,4,22,0,18,4,22,0
68ed2dee2034e237058f6cc7,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e341,GUNTAKAL,4707,63f957c489d86ca9e2c00fd9,Dancherla,594735,0,22,0,22,0,0,14,0,8,22,0,0,21,1,0,0,22,0,22,16,6,22,0,22,0,16,6,20,2
68ed2dee2034e237058f6cc8,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e341,GUNTAKAL,4707,63f957c489d86ca9e2c00fe3,Nagasamudram,594736,0,40,1,41,0,0,17,0,24,41,0,0,40,1,0,0,41,0,41,34,7,9,32,41,0,33,8,40,1
68ed2dee2034e237058f6cc9,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e341,GUNTAKAL,4707,63f957c489d86ca9e2c00fe8,Patha Kothachervu,594729,0,22,0,20,0,2,9,0,13,22,0,0,22,0,0,0,22,0,22,22,0,22,0,22,0,18,4,22,0
68ed2dee2034e237058f6cca,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e341,GUNTAKAL,4707,63f957c489d86ca9e2c00fed,Nakkanadoddi,594730,0,25,0,25,0,0,16,0,9,25,0,0,23,2,0,0,25,0,25,16,9,25,0,25,0,19,6,23,2
68ed2dee2034e237058f6ccb,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac8680216eb6c93e341,GUNTAKAL,4707,63f957c589d86ca9e2c00ff2,Dosaludiki,594722,0,22,0,21,0,1,7,0,15,22,0,0,21,1,0,0,22,0,22,22,0,22,0,22,0,19,3,22,0
