_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2dee2034e237058f6d77,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e343,KALYANDRUG,4710,63f957f189d86ca9e2c01429,Garudapuram,594944,0,52,0,36,0,16,33,0,19,47,5,0,50,2,0,0,52,0,52,43,9,34,18,52,0,29,23,52,0
68ed2dee2034e237058f6d78,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e343,KALYANDRUG,4710,63f957f289d86ca9e2c0142e,Duradakunta,594947,0,30,0,20,0,10,17,0,13,28,2,0,28,2,0,0,30,0,30,26,4,14,16,30,0,15,15,29,0
68ed2dee2034e237058f6d79,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e343,KALYANDRUG,4710,63f957f289d86ca9e2c01433,Golla,594950,0,23,0,17,0,6,14,0,9,21,2,0,22,1,0,0,23,0,23,21,2,19,4,23,0,14,9,23,0
68ed2dee2034e237058f6d7a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e343,KALYANDRUG,4710,63f957f289d86ca9e2c01438,Manirevu,594954,0,16,0,11,0,5,10,0,6,15,1,0,14,2,0,0,16,0,16,12,4,9,7,16,0,13,3,16,0
68ed2dee2034e237058f6d7b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e343,KALYANDRUG,4710,63f957f289d86ca9e2c0143d,Thimmasamudram,594955,0,25,0,20,0,5,15,0,10,23,2,0,25,0,0,0,25,0,25,23,2,12,13,25,0,24,1,25,0
68ed2dee2034e237058f6d7c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e343,KALYANDRUG,4710,63f957f289d86ca9e2c01442,East Kodipalle,594951,0,24,0,14,0,10,18,0,6,20,4,0,23,1,0,0,24,0,24,19,5,17,7,24,0,17,7,24,0
68ed2dee2034e237058f6d7d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e343,KALYANDRUG,4710,63f957f389d86ca9e2c01447,Chapiri,594942,0,20,0,17,0,3,13,0,7,18,2,0,19,1,0,0,20,0,20,15,5,13,7,20,0,17,3,20,0
68ed2dee2034e237058f6d7e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e343,KALYANDRUG,4710,63f957f389d86ca9e2c0144c,Hulikal,594941,0,17,0,15,0,2,10,0,7,16,1,0,17,0,0,0,17,0,17,14,3,12,5,16,1,12,5,17,0
68ed2dee2034e237058f6d7f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e343,KALYANDRUG,4710,63f957f389d86ca9e2c01451,Kurubarahalli,594945,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0
68ed2dee2034e237058f6d80,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e343,KALYANDRUG,4710,63f957f389d86ca9e2c01456,Muddinayanapalle,594953,0,26,0,22,0,4,21,1,4,23,3,0,26,0,0,0,26,0,26,22,4,12,14,25,1,19,7,26,0
