_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f6e1f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e345,KAMBADUR,4711,63f9581c89d86ca9e2c017fc,Kurakulapalle,595142,0,12,0,12,0,0,10,0,2,12,0,0,12,0,0,0,12,0,12,4,8,2,10,12,0,9,3,12,0
68ed2def2034e237058f6e20,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e345,KAMBADUR,4711,63f9581c89d86ca9e2c01801,Pallur,595134,0,36,1,29,0,8,28,1,8,36,1,0,35,2,0,0,37,0,37,20,17,22,15,37,0,31,6,32,5
68ed2def2034e237058f6e21,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e345,KAMBADUR,4711,63f9581c89d86ca9e2c01806,Karthanaparthi,595137,0,12,0,10,0,2,8,0,4,12,0,0,12,0,0,0,12,0,12,11,1,5,7,12,0,12,0,12,0
68ed2def2034e237058f6e22,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e345,KAMBADUR,4711,63f9581d89d86ca9e2c0180b,Mulakanur,595131,1,64,2,46,0,21,45,2,20,65,2,0,65,2,1,0,66,0,67,46,21,35,32,67,0,58,9,61,6
68ed2def2034e237058f6e23,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e345,KAMBADUR,4711,63f9581d89d86ca9e2c01810,Thimmapuram,595132,0,51,1,34,0,18,37,0,15,50,2,0,52,0,0,0,52,0,52,34,18,31,21,52,0,45,7,48,4
68ed2def2034e237058f6e24,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e345,KAMBADUR,4711,63f9581d89d86ca9e2c01815,Chennampalle,595141,0,25,0,21,0,4,11,1,13,24,1,0,25,0,0,0,25,0,25,8,17,11,14,25,0,22,3,24,1
68ed2def2034e237058f6e25,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e345,KAMBADUR,4711,63f9581d89d86ca9e2c0181a,Ralla Anantapuram,595139,0,19,1,14,0,6,15,0,5,18,2,0,20,0,0,0,20,0,20,12,8,11,9,20,0,17,3,18,2
68ed2def2034e237058f6e26,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e345,KAMBADUR,4711,63f9581d89d86ca9e2c0181f,Nuthimadugu,595136,0,21,0,11,0,10,9,0,12,21,0,0,20,1,0,0,21,0,21,7,14,16,5,21,0,17,4,19,2
68ed2def2034e237058f6e27,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e345,KAMBADUR,4711,63f9581e89d86ca9e2c01824,Rallapalle,595140,0,3,0,2,0,1,3,0,0,2,1,0,3,0,0,0,3,0,3,3,0,3,0,3,0,3,0,3,0
68ed2def2034e237058f6e28,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e345,KAMBADUR,4711,63f9581e89d86ca9e2c01829,Kambadur,595133,0,93,3,70,0,26,77,0,19,93,3,0,93,3,0,0,96,0,96,51,45,42,54,96,0,87,9,89,7
68ed2def2034e237058f6e29,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e345,KAMBADUR,4711,63f9581e89d86ca9e2c0182e,Ramapuram,595135,0,32,0,21,0,11,20,0,12,30,2,0,32,0,0,0,32,0,32,20,12,16,16,32,0,27,5,28,4
68ed2def2034e237058f6e2a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e345,KAMBADUR,4711,63f9581e89d86ca9e2c01833,Gulyam,595138,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,3,3,0,3,0,3,0,2,1,3,0
