_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2dee2034e237058f6c96,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e347,KANEKAL,4713,63f957b889d86ca9e2c00ec5,Bennikal,594676,0,22,0,21,0,1,16,0,6,22,0,0,16,6,1,0,21,0,22,20,2,21,1,22,0,15,7,22,0
68ed2dee2034e237058f6c97,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e347,KANEKAL,4713,63f957b889d86ca9e2c00ecf,Garudachedu,594683,0,24,0,12,0,12,24,0,0,24,0,0,24,0,0,0,24,0,24,20,4,14,10,24,0,24,0,24,0
68ed2dee2034e237058f6c98,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e347,KANEKAL,4713,63f957b989d86ca9e2c00ed4,Hulikera,594675,0,35,0,24,0,11,22,3,10,35,0,0,26,9,0,0,35,0,35,33,2,29,6,35,0,29,6,35,0
68ed2dee2034e237058f6c99,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e347,KANEKAL,4713,63f957b989d86ca9e2c00ed9,Kanekal,594678,0,78,0,68,0,10,56,2,20,78,0,0,55,23,2,0,76,0,78,73,5,51,27,77,0,69,9,77,0
68ed2dee2034e237058f6c9a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e347,KANEKAL,4713,63f957b989d86ca9e2c00ede,Kalekurthi,594688,0,9,0,8,0,1,8,0,1,9,0,0,7,2,0,0,9,0,9,7,2,6,3,9,0,9,0,9,0
68ed2dee2034e237058f6c9b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e347,KANEKAL,4713,63f957b989d86ca9e2c00ee3,N.Hanumapuram,594685,0,24,0,23,0,1,15,2,7,24,0,0,14,10,2,0,22,0,24,24,0,13,11,24,0,21,3,24,0
68ed2dee2034e237058f6c9c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e347,KANEKAL,4713,63f957ba89d86ca9e2c00ee8,Malyam,594687,0,26,0,23,0,3,24,0,2,26,0,0,13,13,0,0,26,0,26,20,6,16,10,26,0,17,9,26,0
68ed2dee2034e237058f6c9d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e347,KANEKAL,4713,63f957ba89d86ca9e2c00eed,Hanakanahal,594689,0,24,0,20,0,4,22,0,2,24,0,0,15,9,2,0,22,0,24,24,0,21,3,23,0,21,3,24,0
68ed2dee2034e237058f6c9e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e347,KANEKAL,4713,63f957ba89d86ca9e2c00ef2,Ganigera,594673,0,37,0,32,0,5,24,0,13,37,0,0,27,10,0,0,37,0,37,33,4,27,10,37,0,33,4,37,0
68ed2dee2034e237058f6c9f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e347,KANEKAL,4713,63f957ba89d86ca9e2c00ef7,Yerragunta,594674,0,44,2,31,0,15,25,0,21,46,0,0,43,3,1,0,45,0,46,41,5,26,20,46,0,43,3,46,0
68ed2dee2034e237058f6ca0,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e347,KANEKAL,4713,63f957ba89d86ca9e2c00efc,Sollapuram,594686,0,29,0,21,1,7,27,0,2,29,0,0,28,1,8,0,21,0,29,21,8,20,9,29,0,28,1,29,0
68ed2dee2034e237058f6ca1,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e347,KANEKAL,4713,63f957bb89d86ca9e2c00f01,Udegolam,594679,0,16,0,13,0,3,16,0,0,16,0,0,15,1,1,0,15,0,16,11,5,7,9,16,0,16,0,16,0
68ed2dee2034e237058f6ca2,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e347,KANEKAL,4713,63f957bb89d86ca9e2c00f06,Brahmasamudram,594680,0,3,1,4,0,0,4,0,0,4,0,0,3,1,0,0,4,0,4,3,1,2,2,4,0,3,1,4,0
68ed2dee2034e237058f6ca3,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e347,KANEKAL,4713,63f957bb89d86ca9e2c00f0b,Thumbiganur,594684,0,23,0,20,0,3,20,0,3,23,0,0,20,3,4,0,19,0,23,16,7,13,10,23,0,15,8,23,0
68ed2dee2034e237058f6ca4,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e347,KANEKAL,4713,63f957bb89d86ca9e2c00f10,Ratchumarri,594677,0,20,0,18,1,1,10,0,10,20,0,0,18,2,0,0,20,0,20,15,5,14,6,20,0,13,7,20,0
