_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2dee2034e237058f6d8e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e349,KUDAIR,4715,63f957f789d86ca9e2c014a3,Mavinamardhanahalli,594972,0,25,0,25,0,0,9,0,16,25,0,0,25,0,0,0,25,0,25,24,1,14,11,25,0,17,8,25,0
68ed2dee2034e237058f6d8f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e349,KUDAIR,4715,63f957f789d86ca9e2c014a8,Udiripikonda,594965,0,25,0,21,0,4,20,0,5,25,0,0,25,0,1,0,24,5,20,11,14,3,22,25,0,20,5,25,0
68ed2dee2034e237058f6d90,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e349,KUDAIR,4715,63f957f789d86ca9e2c014ad,Kudair,594974,0,26,2,24,1,3,21,0,7,28,0,2,25,1,0,0,28,0,28,15,13,16,12,28,0,23,5,27,1
68ed2dee2034e237058f6d91,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e349,KUDAIR,4715,63f957f789d86ca9e2c014b7,Ipperu,594968,0,43,2,43,0,2,42,0,3,45,0,0,43,2,0,0,45,2,43,21,24,16,29,45,0,41,4,44,1
68ed2dee2034e237058f6d92,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e349,KUDAIR,4715,63f957f889d86ca9e2c014bc,Kalagalla,594967,0,25,0,22,2,1,17,0,8,25,0,0,25,0,0,0,25,4,21,13,12,10,15,25,0,25,0,25,0
68ed2dee2034e237058f6d93,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e349,KUDAIR,4715,63f957f889d86ca9e2c014c1,Cholasamudram,594969,0,22,2,21,2,1,19,0,5,24,0,0,23,1,0,0,24,0,24,24,0,2,22,24,0,21,3,24,0
68ed2dee2034e237058f6d94,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e349,KUDAIR,4715,63f957f889d86ca9e2c014c6,Thimmapuram,594973,0,24,0,21,1,2,6,0,18,24,0,0,24,0,1,0,23,0,24,20,4,17,7,24,0,11,13,24,0
68ed2dee2034e237058f6d95,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e349,KUDAIR,4715,63f957f889d86ca9e2c014cb,Brahmanapalle,594977,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68ed2dee2034e237058f6d96,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e349,KUDAIR,4715,63f957f889d86ca9e2c014d0,Kamuru,594975,0,25,0,22,0,3,11,0,14,25,0,0,24,1,3,0,22,0,25,13,12,13,12,25,0,13,12,25,0
68ed2dee2034e237058f6d97,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e349,KUDAIR,4715,63f957f989d86ca9e2c014d5,Gotukur,594976,0,23,1,20,1,3,23,0,1,24,0,0,22,2,0,0,24,2,22,24,0,4,20,24,0,19,5,24,0
