_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f6e15,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34b,KUNDURPI,4716,63f9581a89d86ca9e2c017c8,Kundurpi,595127,0,90,1,63,0,28,52,1,38,87,4,0,90,1,0,0,91,0,91,48,43,58,33,91,0,50,41,86,5
68ed2def2034e237058f6e16,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34b,KUNDURPI,4716,63f9581a89d86ca9e2c017cd,Nijavalli,595129,0,26,0,21,0,5,18,0,8,26,0,0,26,0,0,0,26,0,26,15,11,16,10,26,0,18,8,26,0
68ed2def2034e237058f6e17,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34b,KUNDURPI,4716,63f9581a89d86ca9e2c017d2,Bestharapalle,595126,0,44,0,36,0,8,33,0,11,42,2,0,44,0,0,0,44,0,44,34,10,29,15,44,0,20,24,43,1
68ed2def2034e237058f6e18,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34b,KUNDURPI,4716,63f9581a89d86ca9e2c017d7,Appilepalle,595122,0,20,0,9,0,11,16,0,4,18,2,0,20,0,0,0,20,0,20,15,5,14,6,20,0,16,4,17,3
68ed2def2034e237058f6e19,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34b,KUNDURPI,4716,63f9581b89d86ca9e2c017dc,Malayanur,595128,0,43,1,25,0,19,30,2,12,40,4,0,42,2,0,0,44,0,44,33,11,27,17,44,0,27,17,42,2
68ed2def2034e237058f6e1a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34b,KUNDURPI,4716,63f9581b89d86ca9e2c017e1,Basapuram,595121,0,48,0,44,0,4,34,0,14,47,1,0,45,3,0,0,48,0,48,16,32,35,13,48,0,13,35,48,0
68ed2def2034e237058f6e1b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34b,KUNDURPI,4716,63f9581b89d86ca9e2c017e6,Jambugumpala,595130,0,24,0,21,0,3,15,0,9,22,2,0,24,0,0,0,24,0,24,18,6,17,7,24,0,16,8,24,0
68ed2def2034e237058f6e1c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34b,KUNDURPI,4716,63f9581b89d86ca9e2c017eb,Yenumaladoddi,595124,0,22,1,12,0,11,18,0,5,21,2,0,21,2,0,0,23,0,23,8,15,18,5,23,0,17,6,23,0
68ed2def2034e237058f6e1d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34b,KUNDURPI,4716,63f9581b89d86ca9e2c017f0,S.Mallapuram,595125,0,4,0,2,0,2,3,0,1,4,0,0,4,0,0,0,4,0,4,2,2,3,1,4,0,3,1,4,0
68ed2def2034e237058f6e1e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34b,KUNDURPI,4716,63f9581c89d86ca9e2c017f5,Kariganipalle,595123,0,33,0,25,0,8,12,0,21,33,0,0,33,0,0,0,33,0,33,19,14,23,10,33,0,25,8,33,0
