_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2dee2034e237058f6dda,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34d,NARPALA,4723,63f9580b89d86ca9e2c0166a,Venkatampalle,595056,0,9,0,7,0,2,3,0,6,9,0,0,9,0,0,0,9,0,9,8,1,3,6,9,0,8,1,9,0
68ed2dee2034e237058f6ddb,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34d,NARPALA,4723,63f9580c89d86ca9e2c0166f,Duggumarri,595058,0,25,0,22,0,3,16,0,9,25,0,0,25,0,0,0,25,0,25,17,8,17,8,24,1,19,6,25,0
68ed2dee2034e237058f6ddc,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34d,NARPALA,4723,63f9580c89d86ca9e2c01674,Bondalawada,595059,0,25,0,21,0,4,12,0,13,25,0,0,23,2,0,0,25,0,25,23,2,14,11,24,1,11,14,25,0
68ed2dee2034e237058f6ddd,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34d,NARPALA,4723,63f9580c89d86ca9e2c0167e,B.Pappuru,595063,0,28,0,20,0,8,18,0,10,28,0,0,28,0,0,0,28,0,28,28,0,15,13,28,0,18,10,28,0
68ed2dee2034e237058f6dde,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34d,NARPALA,4723,63f9580d89d86ca9e2c01683,Haveli Sodanapalle,595065,0,27,0,21,0,6,13,0,14,27,0,0,27,0,0,0,27,0,27,20,7,15,12,27,0,20,7,27,0
68ed2dee2034e237058f6ddf,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34d,NARPALA,4723,63f9580d89d86ca9e2c01688,Bandlapalle,595062,0,4,0,4,0,0,3,0,1,4,0,0,4,0,0,0,4,0,4,4,0,2,2,3,1,4,0,4,0
68ed2dee2034e237058f6de0,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34d,NARPALA,4723,63f9580d89d86ca9e2c0168d,Chamaluru,595054,0,52,0,44,0,8,32,0,20,52,0,0,50,2,0,0,52,0,52,40,12,30,22,52,0,49,3,50,2
68ed2dee2034e237058f6de1,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34d,NARPALA,4723,63f9580d89d86ca9e2c01692,Nadimidoddi,595055,0,27,0,26,0,1,15,0,12,27,0,0,25,2,0,0,27,0,27,24,3,15,12,27,0,22,5,27,0
68ed2dee2034e237058f6de2,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34d,NARPALA,4723,63f9580d89d86ca9e2c01697,Narpala,595057,0,145,1,120,0,26,80,0,66,146,0,0,136,10,0,0,146,0,146,109,37,85,61,146,0,123,23,146,0
68ed2dee2034e237058f6de3,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34d,NARPALA,4723,63f9580e89d86ca9e2c0169c,Siddaracherla,595060,0,1,1,2,0,0,1,0,1,2,0,0,2,0,0,0,2,0,2,2,0,2,0,2,0,1,1,2,0
68ed2dee2034e237058f6de4,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34d,NARPALA,4723,63f9580e89d86ca9e2c016a1,Gugudu,595064,0,52,0,42,0,10,26,0,26,52,0,0,49,3,0,0,52,0,52,48,4,29,23,51,1,40,12,52,0
