_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2dee2034e237058f6d1e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34f,PAMIDI,4725,63f957dd89d86ca9e2c01233,Gulimikondla @ G.Kottala,594846,0,17,0,14,0,3,15,1,1,17,0,0,17,0,0,0,17,0,17,15,2,12,5,17,0,16,1,17,0
68ed2dee2034e237058f6d1f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34f,PAMIDI,4725,63f957dd89d86ca9e2c01238,Akkajampalle,594847,0,45,0,35,0,10,28,1,16,43,2,0,42,3,3,0,42,1,44,35,10,29,16,45,0,38,7,45,0
68ed2dee2034e237058f6d20,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34f,PAMIDI,4725,63f957dd89d86ca9e2c0123d,Thamballapalle,594852,0,11,0,7,0,4,10,0,1,11,0,0,11,0,0,0,11,0,11,11,0,8,3,11,0,4,7,11,0
68ed2dee2034e237058f6d21,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34f,PAMIDI,4725,63f957dd89d86ca9e2c01247,Edurur,594848,0,6,0,6,0,0,6,0,0,6,0,0,6,0,0,0,6,0,6,6,0,4,2,6,0,6,0,4,2
68ed2dee2034e237058f6d22,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34f,PAMIDI,4725,63f957de89d86ca9e2c0124c,Khadarpeta,594844,0,14,0,14,0,0,13,0,1,14,0,0,14,0,0,0,14,0,14,8,6,8,6,14,0,11,3,13,1
68ed2dee2034e237058f6d23,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34f,PAMIDI,4725,63f957de89d86ca9e2c01251,Appajipeta,594861,0,2,0,1,0,1,0,0,2,2,0,0,2,0,0,0,2,0,2,2,0,1,1,2,0,1,1,2,0
68ed2dee2034e237058f6d24,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34f,PAMIDI,4725,63f957de89d86ca9e2c01256,Ramarajupalle,594849,0,9,0,9,0,0,4,1,4,9,0,0,9,0,0,0,9,0,9,8,1,9,0,9,0,9,0,9,0
68ed2dee2034e237058f6d25,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34f,PAMIDI,4725,63f957de89d86ca9e2c0125b,Palyam,594859,0,27,0,22,0,5,22,0,5,27,0,0,27,0,0,0,27,0,27,22,5,22,5,27,0,10,17,23,4
68ed2dee2034e237058f6d26,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34f,PAMIDI,4725,63f957de89d86ca9e2c01260,Anumpalle,594843,0,33,2,30,0,5,15,5,15,35,0,0,35,0,0,0,35,0,35,31,4,31,4,35,0,33,2,35,0
68ed2dee2034e237058f6d27,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34f,PAMIDI,4725,63f957df89d86ca9e2c01265,Neelur,594853,0,19,0,15,0,4,17,0,2,19,0,0,19,0,0,0,19,0,19,15,4,12,7,19,0,9,10,19,0
68ed2dee2034e237058f6d28,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34f,PAMIDI,4725,63f957df89d86ca9e2c0126a,Vankarajukalva,594863,0,19,3,20,0,2,21,0,1,22,0,0,22,0,0,0,22,0,22,18,4,16,6,22,0,22,0,22,0
68ed2dee2034e237058f6d29,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e34f,PAMIDI,4725,63f957df89d86ca9e2c0126f,Eddulapalle,594857,0,31,0,28,0,3,26,0,5,31,0,0,28,3,0,0,31,0,31,18,13,26,5,31,0,27,4,30,1
