_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2dee2034e237058f6d10,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e351,PEDDAPAPPUR,4727,63f957d989d86ca9e2c011dc,Devanuppalapadu,594826,0,23,0,7,1,15,4,0,19,23,0,0,21,2,1,0,22,0,23,17,6,12,11,23,0,17,6,23,0
68ed2dee2034e237058f6d11,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e351,PEDDAPAPPUR,4727,63f957d989d86ca9e2c011e1,Garladinne,594829,0,7,0,4,0,3,3,0,4,7,0,0,5,2,3,0,4,0,7,7,0,5,2,7,0,7,0,7,0
68ed2dee2034e237058f6d12,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e351,PEDDAPAPPUR,4727,63f957d989d86ca9e2c011e6,Pasalur,594830,0,18,0,8,0,10,12,0,6,18,0,0,16,2,3,0,15,0,18,12,6,12,6,18,0,13,5,18,0
68ed2dee2034e237058f6d13,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e351,PEDDAPAPPUR,4727,63f957da89d86ca9e2c011eb,Pendekallu,594832,0,25,0,19,0,6,18,0,7,25,0,0,25,0,4,0,21,0,25,20,5,20,5,25,0,18,7,25,0
68ed2dee2034e237058f6d14,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e351,PEDDAPAPPUR,4727,63f957da89d86ca9e2c011f5,Chinnayakkaluru,594827,0,26,1,22,0,5,21,0,6,27,0,0,25,2,2,0,25,0,27,25,2,19,8,27,0,20,7,27,0
68ed2dee2034e237058f6d15,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e351,PEDDAPAPPUR,4727,63f957da89d86ca9e2c011fa,Peddapappur,594838,0,30,0,24,0,6,26,0,4,30,0,0,30,0,5,0,25,0,30,24,6,20,10,30,0,23,7,30,0
68ed2dee2034e237058f6d16,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e351,PEDDAPAPPUR,4727,63f957db89d86ca9e2c01204,Amalladinne,594842,0,24,4,23,0,5,18,0,10,28,0,1,19,8,1,0,27,0,28,24,4,25,3,28,0,22,6,28,0
68ed2dee2034e237058f6d17,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e351,PEDDAPAPPUR,4727,63f957db89d86ca9e2c0120e,Dharmapuram,594837,0,21,0,19,0,2,16,0,5,21,0,0,19,2,6,0,15,0,21,21,0,17,4,21,0,14,7,20,1
68ed2dee2034e237058f6d18,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e351,PEDDAPAPPUR,4727,63f957db89d86ca9e2c01213,Jutur,594836,0,21,2,21,0,2,16,0,7,23,0,0,15,8,6,0,17,0,23,20,3,19,4,23,0,16,7,22,1
68ed2dee2034e237058f6d19,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492fac9680216eb6c93e351,PEDDAPAPPUR,4727,63f957db89d86ca9e2c01218,Chagallu,594839,0,20,0,16,0,4,16,0,4,20,0,0,19,1,8,0,12,0,20,13,7,15,5,20,0,16,4,20,0
