_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2dee2034e237058f6e00,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e357,RAPTADU,4733,63f9581589d86ca9e2c0175b,Bukkacherla,595105,0,25,3,26,0,2,13,0,15,27,1,0,25,3,0,0,28,0,28,14,14,16,12,28,0,17,11,28,0
68ed2dee2034e237058f6e01,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e357,RAPTADU,4733,63f9581689d86ca9e2c01760,Bandameedapalle,595108,0,26,1,14,1,12,16,0,11,27,0,0,26,1,1,0,26,0,27,15,12,24,3,27,0,20,7,27,0
68ed2dee2034e237058f6e02,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e357,RAPTADU,4733,63f9581689d86ca9e2c01765,Yerragunta,595109,0,3,0,3,0,0,2,0,1,3,0,0,3,0,0,0,3,0,3,2,1,2,1,3,0,3,0,3,0
68ed2dee2034e237058f6e03,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e357,RAPTADU,4733,63f9581689d86ca9e2c0176a,Gandlaparthi,595106,0,16,0,16,0,0,16,0,0,16,0,0,14,2,0,0,16,0,16,6,10,7,9,16,0,8,8,16,0
68ed2dee2034e237058f6e04,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e357,RAPTADU,4733,63f9581689d86ca9e2c0176f,Palacherla,595107,0,24,1,6,3,16,6,1,18,25,0,0,23,2,1,0,24,0,25,5,20,18,7,25,0,21,4,25,0
68ed2dee2034e237058f6e05,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e357,RAPTADU,4733,63f9581689d86ca9e2c01774,Gangulakunta,595102,0,12,0,7,1,4,8,1,3,12,0,0,10,2,0,0,12,0,12,8,4,7,5,11,1,12,0,12,0
68ed2dee2034e237058f6e06,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e357,RAPTADU,4733,63f9581789d86ca9e2c01779,Raptadu (Part),595101,0,76,2,62,2,14,42,1,35,76,2,0,70,8,0,0,78,0,78,47,31,27,51,78,0,55,23,78,0
68ed2dee2034e237058f6e07,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e357,RAPTADU,4733,63f9581789d86ca9e2c0177e,Hampapuram,595103,0,7,0,7,0,0,3,0,4,7,0,0,6,1,0,0,7,0,7,4,3,3,4,7,0,5,2,7,0
68ed2dee2034e237058f6e08,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e357,RAPTADU,4733,63f9581789d86ca9e2c01783,Maroor,595110,0,77,3,55,4,21,48,2,30,77,3,0,77,3,1,0,79,0,80,49,31,58,22,80,0,68,12,78,0
68ed2dee2034e237058f6e09,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e357,RAPTADU,4733,63f9581789d86ca9e2c01788,Gondireddipalle,595104,0,29,0,13,3,13,16,0,13,28,1,0,29,0,2,0,27,0,29,19,10,10,19,29,0,25,4,29,0
68ed2dee2034e237058f6e0a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e357,RAPTADU,4733,63f9581789d86ca9e2c0178d,Bommaparthy,595100,0,25,0,24,0,1,14,0,11,21,4,0,22,3,0,0,25,0,25,14,11,10,15,25,0,19,6,25,0
