_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2dee2034e237058f6c88,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e359,RAYADURG,4734,63f957b489d86ca9e2c00e78,Chadam,594661,0,30,0,20,0,10,11,0,19,30,0,0,30,0,3,0,27,0,30,6,24,17,13,30,0,28,2,30,0
68ed2dee2034e237058f6c89,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e359,RAYADURG,4734,63f957b589d86ca9e2c00e7d,Bondankal,594662,0,20,0,17,0,3,8,0,12,20,0,0,20,0,0,0,20,0,20,2,18,11,9,20,0,15,5,20,0
68ed2dee2034e237058f6c8a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e359,RAYADURG,4734,63f957b589d86ca9e2c00e82,Mallapuram,594660,0,65,2,30,0,37,28,0,39,64,3,0,67,0,0,0,67,4,63,56,11,38,29,67,0,48,19,67,0
68ed2dee2034e237058f6c8b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e359,RAYADURG,4734,63f957b589d86ca9e2c00e87,Veparalla,594671,0,30,0,10,0,20,10,0,20,27,3,0,29,1,0,0,30,1,29,25,5,15,15,30,0,26,4,30,0
68ed2dee2034e237058f6c8c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e359,RAYADURG,4734,63f957b589d86ca9e2c00e8c,Avuladatla,594669,0,20,1,15,0,6,13,0,8,21,0,0,19,2,0,0,21,0,21,6,15,13,8,21,0,14,7,21,0
68ed2dee2034e237058f6c8d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e359,RAYADURG,4734,63f957b689d86ca9e2c00e91,Baginayakana Halli,594668,0,11,2,6,0,7,5,0,8,12,1,0,13,0,0,0,13,1,12,12,1,5,8,13,0,12,1,13,0
68ed2dee2034e237058f6c8e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e359,RAYADURG,4734,63f957b689d86ca9e2c00e96,Vadrahonnur,594665,0,3,0,1,0,2,3,0,0,3,0,0,3,0,0,0,3,0,3,2,1,2,1,3,0,3,0,3,0
68ed2dee2034e237058f6c8f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e359,RAYADURG,4734,63f957b689d86ca9e2c00e9b,D.Kondapuram,594664,0,22,0,9,0,13,19,0,3,22,0,0,21,1,0,0,22,0,22,12,10,2,20,22,0,20,2,22,0
68ed2dee2034e237058f6c90,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e359,RAYADURG,4734,63f957b689d86ca9e2c00ea0,Gramadatla,594663,0,5,0,2,0,3,4,0,1,5,0,0,2,3,0,0,5,0,5,3,2,4,1,5,0,5,0,5,0
68ed2dee2034e237058f6c91,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e359,RAYADURG,4734,63f957b789d86ca9e2c00eaa,Udegolam,594667,0,15,0,14,0,1,6,0,9,15,0,0,14,1,1,0,14,0,15,7,8,9,6,15,0,13,2,15,0
68ed2dee2034e237058f6c92,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e359,RAYADURG,4734,63f957b789d86ca9e2c00eaf,Nagireddipalle,594670,0,40,5,17,0,28,21,0,24,40,5,0,43,2,0,0,45,11,34,35,10,24,21,45,0,37,8,45,0
68ed2dee2034e237058f6c93,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e359,RAYADURG,4734,63f957b789d86ca9e2c00eb4,Junjurampalle,594672,0,18,0,8,0,10,14,0,4,18,0,0,18,0,0,0,18,0,18,7,11,3,15,18,0,13,5,18,0
68ed2dee2034e237058f6c94,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e359,RAYADURG,4734,63f957b889d86ca9e2c00eb9,Rayadurgam,931725,0,23,0,18,0,5,9,0,14,23,0,0,21,2,0,0,23,1,22,14,9,16,7,23,0,17,6,23,0
68ed2dee2034e237058f6c95,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e359,RAYADURG,4734,63f957b889d86ca9e2c00ebe,Mechiri,594659,0,38,1,8,1,30,21,0,18,38,1,0,38,1,0,0,39,5,34,34,5,20,19,39,0,30,9,38,1
