_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2dee2034e237058f6daa,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35d,SINGANAMALA,4738,63f957ff89d86ca9e2c01542,Rachepalle,595000,0,28,0,27,0,1,24,0,4,27,1,0,28,0,0,0,28,0,28,16,12,25,3,28,0,9,19,28,0
68ed2dee2034e237058f6dab,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35d,SINGANAMALA,4738,63f9580089d86ca9e2c01547,Singanamala,595014,0,34,0,31,0,3,32,0,2,34,0,0,34,0,0,0,34,0,34,25,9,28,6,33,1,22,12,30,4
68ed2dee2034e237058f6dac,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35d,SINGANAMALA,4738,63f9580089d86ca9e2c0154c,Matlagondi,595015,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,3,2,1,2,1,3,0,3,0,3,0
68ed2dee2034e237058f6dad,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35d,SINGANAMALA,4738,63f9580089d86ca9e2c01551,Sodanapalle,595016,0,26,1,25,0,2,20,0,7,25,2,0,25,2,0,0,27,0,27,12,15,19,8,27,0,20,7,27,0
68ed2dee2034e237058f6dae,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35d,SINGANAMALA,4738,63f9580089d86ca9e2c0155b,Ullikallu,595001,0,27,0,26,0,1,22,0,5,25,2,0,25,2,2,0,25,0,27,11,16,21,6,27,0,13,14,21,6
68ed2dee2034e237058f6daf,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35d,SINGANAMALA,4738,63f9580189d86ca9e2c01560,Akuledu,595011,0,34,2,25,0,11,19,0,17,35,1,0,30,6,1,0,35,0,36,18,18,27,9,36,0,27,9,36,0
68ed2dee2034e237058f6db0,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35d,SINGANAMALA,4738,63f9580189d86ca9e2c01565,Chakrayapeta,595013,0,25,0,23,0,2,23,0,2,25,0,0,25,0,0,0,25,0,25,15,10,17,8,25,0,18,7,25,0
68ed2dee2034e237058f6db1,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35d,SINGANAMALA,4738,63f9580189d86ca9e2c0156a,Buddepalle,595006,0,15,0,13,0,2,7,0,8,14,1,0,15,0,1,0,14,0,15,8,7,10,5,15,0,11,4,14,1
68ed2dee2034e237058f6db2,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35d,SINGANAMALA,4738,63f9580189d86ca9e2c0156f,Korivipalle,595002,0,25,1,24,0,2,19,0,7,26,0,0,24,2,3,0,23,0,26,12,14,22,4,26,0,9,17,26,0
68ed2dee2034e237058f6db3,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35d,SINGANAMALA,4738,63f9580289d86ca9e2c0157e,Anandaraopeta,594999,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,3,3,0,2,1,3,0,2,1,3,0
68ed2dee2034e237058f6db4,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35d,SINGANAMALA,4738,63f9580289d86ca9e2c01583,Peravali,595017,0,28,0,22,0,6,12,0,16,26,2,1,27,0,0,0,28,0,28,7,21,18,10,28,0,21,7,28,0
68ed2dee2034e237058f6db5,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35d,SINGANAMALA,4738,63f9580289d86ca9e2c01588,Kallumadi,594996,0,26,0,23,0,3,20,0,6,25,1,0,26,0,6,0,20,0,26,5,21,11,15,26,0,21,5,25,1
68ed2dee2034e237058f6db6,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35d,SINGANAMALA,4738,63f9580389d86ca9e2c01592,Tarimela,594997,0,22,1,18,0,5,10,1,12,22,1,0,23,0,0,0,23,0,23,12,11,20,3,22,1,16,7,23,0
68ed2dee2034e237058f6db7,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35d,SINGANAMALA,4738,63f9580389d86ca9e2c015a1,Narsapuram,595007,0,3,0,2,0,1,3,0,0,3,0,0,3,0,0,0,3,0,3,0,3,2,1,3,0,3,0,3,0
68ed2dee2034e237058f6db8,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35d,SINGANAMALA,4738,63f9580389d86ca9e2c015a6,Cheelapalle,595004,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0
68ed2dee2034e237058f6db9,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35d,SINGANAMALA,4738,63f9580489d86ca9e2c015ab,Salakamcheruvu,595005,0,12,0,11,0,1,11,0,1,12,0,0,11,1,0,0,12,0,12,9,3,12,0,12,0,7,5,12,0
