_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2dee2034e237058f6cfb,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35f,TADIPATRI,4741,63f957d389d86ca9e2c01153,Komali,594813,0,1,1,2,0,0,1,0,1,2,0,0,1,1,0,0,2,0,2,2,0,2,0,2,0,2,0,2,0
68ed2dee2034e237058f6cfc,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35f,TADIPATRI,4741,63f957d389d86ca9e2c01158,Chinnapolamada,594815,0,12,1,9,0,4,10,0,3,13,0,0,7,6,1,0,12,0,13,12,1,11,2,13,0,11,2,12,1
68ed2dee2034e237058f6cfd,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35f,TADIPATRI,4741,63f957d489d86ca9e2c0115d,Peddapolamada,594814,0,31,9,31,0,9,28,0,12,38,2,0,30,10,5,0,35,1,39,38,2,32,8,40,0,38,2,40,0
68ed2dee2034e237058f6cfe,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35f,TADIPATRI,4741,63f957d489d86ca9e2c01162,Jambulapadu,594820,0,17,1,17,0,1,11,0,7,18,0,0,17,1,1,0,17,0,18,15,3,14,4,18,0,18,0,18,0
68ed2dee2034e237058f6cff,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35f,TADIPATRI,4741,63f957d489d86ca9e2c01167,Seetharampuram,594812,0,1,1,2,0,0,1,0,1,2,0,0,1,1,0,0,2,0,2,2,0,1,1,2,0,2,0,2,0
68ed2dee2034e237058f6d00,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35f,TADIPATRI,4741,63f957d489d86ca9e2c0116c,Sajjaladinne,594806,0,12,1,13,0,0,13,0,0,13,0,0,10,3,3,0,10,0,13,12,1,11,2,13,0,13,0,13,0
68ed2dee2034e237058f6d01,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35f,TADIPATRI,4741,63f957d589d86ca9e2c01176,Brahmanapalle,594799,0,9,1,8,0,2,9,0,1,10,0,0,10,0,0,0,10,0,10,10,0,9,1,10,0,10,0,10,0
68ed2dee2034e237058f6d02,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35f,TADIPATRI,4741,63f957d589d86ca9e2c0117b,Husenapuram,594821,0,2,0,2,0,0,2,0,0,2,0,0,1,1,0,0,2,0,2,1,1,1,1,2,0,2,0,2,0
68ed2dee2034e237058f6d03,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35f,TADIPATRI,4741,63f957d689d86ca9e2c0118a,Igudur,594811,0,13,6,18,0,1,14,0,5,19,0,0,14,5,2,1,16,0,19,19,0,14,5,19,0,15,4,19,0
68ed2dee2034e237058f6d04,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e35f,TADIPATRI,4741,63f957d689d86ca9e2c0118f,Chukkalur,594808,0,16,5,19,0,2,16,0,5,21,0,0,13,8,4,0,17,0,21,19,2,17,4,21,0,15,6,21,0
