_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2dee2034e237058f6d40,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e361,URAVAKONDA,4744,63f957e589d86ca9e2c012f5,Peddakowkuntla,594899,0,27,1,22,0,6,25,0,3,28,0,0,22,6,0,0,28,0,28,25,3,22,6,28,0,26,2,28,0
68ed2dee2034e237058f6d41,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e361,URAVAKONDA,4744,63f957e589d86ca9e2c012fa,Mopidi,594893,0,32,0,32,0,0,9,0,23,32,0,0,31,1,0,0,32,0,32,31,1,31,1,32,0,29,3,32,0
68ed2dee2034e237058f6d42,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e361,URAVAKONDA,4744,63f957e589d86ca9e2c012ff,Pedda Musturu,594892,0,20,1,20,0,1,9,0,12,21,0,0,21,0,0,0,21,0,21,21,0,19,2,21,0,14,7,21,0
68ed2dee2034e237058f6d43,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e361,URAVAKONDA,4744,63f957e689d86ca9e2c01313,Budagavi,594884,0,25,1,24,0,2,23,0,3,26,0,0,24,2,0,0,26,0,26,21,5,19,7,26,0,22,4,26,0
68ed2dee2034e237058f6d44,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e361,URAVAKONDA,4744,63f957e689d86ca9e2c0131d,Raketla,594898,0,27,1,27,0,1,24,0,4,28,0,0,23,5,0,0,28,0,28,26,2,27,1,28,0,26,2,28,0
68ed2dee2034e237058f6d45,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e361,URAVAKONDA,4744,63f957e789d86ca9e2c01327,Uravakonda (CT),594902,0,13,5,17,0,1,15,0,3,18,0,0,14,4,0,0,18,0,18,16,2,14,4,18,0,16,2,18,0
68ed2dee2034e237058f6d46,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e361,URAVAKONDA,4744,63f957e789d86ca9e2c0132c,Indravathi,594894,0,20,0,17,0,3,15,0,5,20,0,0,20,0,0,0,20,0,20,18,2,19,1,20,0,12,8,20,0
68ed2dee2034e237058f6d47,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e361,URAVAKONDA,4744,63f957e789d86ca9e2c01331,Nimbagal,594895,0,24,1,23,0,2,22,0,3,25,0,0,25,0,0,0,25,0,25,19,6,18,7,25,0,24,1,25,0
68ed2dee2034e237058f6d48,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e361,URAVAKONDA,4744,63f957e789d86ca9e2c01336,Amidala,594897,0,27,2,27,0,2,25,0,4,29,0,0,26,3,0,0,29,0,29,22,7,22,7,29,0,25,4,29,0
68ed2dee2034e237058f6d49,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e361,URAVAKONDA,4744,63f957e789d86ca9e2c0133b,Vyasapuram,594896,0,25,1,20,0,6,24,0,2,26,0,0,22,4,0,0,26,0,26,21,5,24,2,26,0,21,5,26,0
68ed2dee2034e237058f6d4a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e361,URAVAKONDA,4744,63f957e889d86ca9e2c01340,Veligonda,594885,0,24,1,24,0,1,20,0,5,25,0,0,24,1,0,0,25,0,25,22,3,24,1,25,0,20,5,25,0
68ed2dee2034e237058f6d4b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e361,URAVAKONDA,4744,63f957e889d86ca9e2c01345,Shaiksanipalle,594887,0,21,1,21,0,1,21,0,1,22,0,0,22,0,0,0,22,0,22,19,3,16,6,22,0,20,2,22,0
68ed2dee2034e237058f6d4c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e361,URAVAKONDA,4744,63f957e889d86ca9e2c0134a,Rayampalle,594882,0,27,0,25,0,2,26,0,1,27,0,0,26,1,0,0,27,0,27,26,1,19,8,27,0,22,5,26,1
68ed2dee2034e237058f6d4d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e361,URAVAKONDA,4744,63f957e889d86ca9e2c0134f,Chinna Musturu,594891,0,26,1,25,0,2,14,0,13,27,0,0,27,0,0,0,27,0,27,25,2,26,1,27,0,22,5,27,0
68ed2dee2034e237058f6d4e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e361,URAVAKONDA,4744,63f957e889d86ca9e2c01354,Lathavaram,594886,0,24,0,22,0,2,18,0,6,24,0,0,24,0,0,0,24,0,24,22,2,22,2,24,0,19,5,24,0
68ed2dee2034e237058f6d4f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e361,URAVAKONDA,4744,63f957e989d86ca9e2c01359,Renimakulapalle,594883,0,24,1,24,0,1,13,0,12,25,0,0,23,2,0,0,25,0,25,22,3,23,2,25,0,20,5,25,0
68ed2dee2034e237058f6d50,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e361,URAVAKONDA,4744,63f957e989d86ca9e2c0135e,Nerimetla,594881,0,23,2,23,0,2,21,0,4,25,0,0,25,0,0,0,25,0,25,25,0,22,3,25,0,19,6,25,0
