_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2dee2034e237058f6d33,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e363,VAJRAKARUR,4745,63f957e189d86ca9e2c012a3,Chabala,594872,0,18,4,18,0,4,17,0,5,22,0,0,18,4,1,0,21,0,22,18,4,21,1,22,0,16,6,22,0
68ed2dee2034e237058f6d34,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e363,VAJRAKARUR,4745,63f957e189d86ca9e2c012a8,Chinna Hothur,594873,0,20,1,15,0,6,17,0,4,21,0,0,17,4,0,0,21,0,21,15,6,14,7,21,0,17,4,21,0
68ed2dee2034e237058f6d35,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e363,VAJRAKARUR,4745,63f957e289d86ca9e2c012ad,Pedda Chinnapyapili,594874,0,16,3,16,0,3,18,0,1,19,0,0,17,2,1,0,18,0,19,17,2,14,5,19,0,13,6,19,0
68ed2dee2034e237058f6d36,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e363,VAJRAKARUR,4745,63f957e289d86ca9e2c012b2,Ragulapadu,594876,0,19,3,18,0,4,20,0,2,22,0,0,20,2,0,0,22,0,22,20,2,20,2,22,0,11,11,22,0
68ed2dee2034e237058f6d37,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e363,VAJRAKARUR,4745,63f957e289d86ca9e2c012b7,Pottipadu,594870,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68ed2dee2034e237058f6d38,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e363,VAJRAKARUR,4745,63f957e289d86ca9e2c012bc,Gade Hothur,594871,0,18,3,12,1,8,11,0,10,21,0,0,20,1,4,0,17,0,21,19,2,16,5,21,0,12,9,21,0
68ed2dee2034e237058f6d39,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e363,VAJRAKARUR,4745,63f957e389d86ca9e2c012cb,Ganjikunta,594869,0,24,1,23,0,2,19,0,6,25,0,0,23,2,0,0,25,0,25,19,6,21,4,25,0,23,2,25,0
68ed2dee2034e237058f6d3a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e363,VAJRAKARUR,4745,63f957e389d86ca9e2c012d0,Venkatampalle,594879,0,15,1,12,0,4,13,0,3,16,0,0,15,1,1,0,15,0,16,11,5,14,2,16,0,10,6,15,0
68ed2dee2034e237058f6d3b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e363,VAJRAKARUR,4745,63f957e389d86ca9e2c012d5,Jarutla Rampuram,594880,0,8,0,7,0,1,2,0,6,8,0,0,8,0,0,0,8,0,8,7,1,8,0,8,0,5,3,8,0
68ed2dee2034e237058f6d3c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e363,VAJRAKARUR,4745,63f957e389d86ca9e2c012da,Konakondla,594865,0,15,4,18,0,1,16,0,3,19,0,0,15,4,0,0,19,0,19,19,0,13,6,19,0,11,8,19,0
68ed2dee2034e237058f6d3d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e363,VAJRAKARUR,4745,63f957e489d86ca9e2c012df,Vajrakarur,594868,0,22,1,20,0,3,20,0,3,23,0,0,23,0,1,0,22,1,22,21,2,19,4,23,0,14,9,23,0
68ed2dee2034e237058f6d3e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e363,VAJRAKARUR,4745,63f957e489d86ca9e2c012e4,Gulapalem,594866,0,9,1,9,0,1,10,0,0,10,0,0,9,1,0,0,10,0,10,7,3,10,0,10,0,9,1,10,0
68ed2dee2034e237058f6d3f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e363,VAJRAKARUR,4745,63f957e489d86ca9e2c012e9,Kamalapadu,594867,0,11,0,7,0,4,11,0,0,11,0,0,11,0,0,0,11,0,11,10,1,11,0,11,0,8,3,11,0
