_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2dee2034e237058f6cef,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e367,YADIKI,4747,63f957d089d86ca9e2c0110b,Vemulapadu,594791,0,22,0,22,0,0,18,0,4,22,0,0,22,0,13,0,9,0,22,13,9,20,2,22,0,1,21,22,0
68ed2dee2034e237058f6cf0,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e367,YADIKI,4747,63f957d089d86ca9e2c01110,Yadiki,594792,0,27,0,25,0,2,19,0,8,27,0,0,27,0,1,0,26,2,25,13,14,23,4,27,0,2,25,27,0
68ed2dee2034e237058f6cf1,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e367,YADIKI,4747,63f957d189d86ca9e2c01115,Konuppalapadu,594794,0,24,1,25,0,0,19,0,6,25,0,0,24,1,18,0,7,0,25,11,14,18,7,25,0,19,6,25,0
68ed2dee2034e237058f6cf2,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e367,YADIKI,4747,63f957d189d86ca9e2c0111f,Obulapuram,594793,0,2,0,2,0,0,1,0,1,2,0,0,2,0,0,0,2,0,2,1,1,2,0,2,0,1,1,2,0
68ed2dee2034e237058f6cf3,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e367,YADIKI,4747,63f957d189d86ca9e2c01124,Tutrallapalle,594787,0,25,0,25,0,0,21,0,4,25,0,0,25,0,19,0,6,1,24,9,16,18,7,25,0,17,8,25,0
68ed2dee2034e237058f6cf4,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e367,YADIKI,4747,63f957d289d86ca9e2c01129,Puppala,594789,0,25,1,26,0,0,17,0,9,25,1,0,26,0,12,0,14,0,26,23,3,22,4,26,0,21,5,26,0
68ed2dee2034e237058f6cf5,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e367,YADIKI,4747,63f957d289d86ca9e2c0112e,Rayalacheruvu,594786,0,25,0,23,0,2,17,0,8,24,1,0,25,0,9,0,16,0,25,16,9,24,1,25,0,14,11,25,0
68ed2dee2034e237058f6cf6,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e367,YADIKI,4747,63f957d289d86ca9e2c01133,Gudipadu,594796,0,24,0,24,0,0,14,0,10,24,0,0,23,1,7,0,17,1,23,4,20,12,12,24,0,20,4,24,0
68ed2dee2034e237058f6cf7,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e367,YADIKI,4747,63f957d289d86ca9e2c01138,Kamalapadu,594797,0,24,0,24,0,0,20,0,4,24,0,0,24,0,12,0,12,0,24,12,12,19,5,24,0,1,23,24,0
68ed2dee2034e237058f6cf8,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f957b089d86ca9e2c00e17,ANANTAPUR,502,6492faca680216eb6c93e367,YADIKI,4747,63f957d289d86ca9e2c0113d,Nittoor,594798,0,25,0,22,0,3,15,0,9,25,0,0,24,1,0,0,25,5,20,10,15,17,8,25,0,2,23,25,0
