_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f8a6f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d1,ADDATEEGALA,4865,63f99ac4519359b7438a1c83,Vetamamidi,586847,0,13,0,12,1,0,2,4,7,10,3,1,7,5,0,0,13,2,11,13,0,8,5,13,0,11,2,13,0
68ed2def2034e237058f8a70,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d1,ADDATEEGALA,4865,63f99ac4519359b7438a1c8d,Anigeru,586841,0,27,1,23,0,5,7,0,21,24,4,3,14,11,1,0,27,6,22,28,0,14,13,28,0,24,4,28,0
68ed2def2034e237058f8a71,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d1,ADDATEEGALA,4865,63f99ac5519359b7438a1c92,Puligogulapadu,586880,0,8,0,7,0,1,4,0,4,7,1,0,5,3,0,0,8,2,6,8,0,5,3,8,0,8,0,8,0
68ed2def2034e237058f8a72,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d1,ADDATEEGALA,4865,63f99ac5519359b7438a1c97,Kimmuru,586876,0,9,0,6,0,3,2,0,7,8,1,0,5,4,0,0,9,1,8,9,0,1,7,9,0,9,0,9,0
68ed2def2034e237058f8a73,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d1,ADDATEEGALA,4865,63f99ac5519359b7438a1c9c,Kothurupadu,586879,0,11,0,8,0,3,3,0,8,9,2,1,6,4,0,0,11,2,9,11,0,6,5,11,0,11,0,11,0
68ed2def2034e237058f8a74,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d1,ADDATEEGALA,4865,63f99ac5519359b7438a1ca1,Kinaparti,586849,1,9,0,6,0,4,4,0,6,10,0,0,8,2,0,0,10,2,8,9,1,1,7,10,0,9,1,10,0
68ed2def2034e237058f8a75,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d1,ADDATEEGALA,4865,63f99ac5519359b7438a1ca6,Uppalapadu,586872,0,3,0,2,0,1,1,0,2,3,0,0,2,1,0,0,3,1,2,3,0,3,0,3,0,3,0,3,0
68ed2def2034e237058f8a76,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d1,ADDATEEGALA,4865,63f99ac5519359b7438a1cab,D. Krishnavaram,586874,0,5,0,5,0,0,1,0,4,5,0,0,4,1,0,0,5,0,5,5,0,0,4,5,0,5,0,5,0
68ed2def2034e237058f8a77,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d1,ADDATEEGALA,4865,63f99ac6519359b7438a1cb0,Gontuvanipalem,586875,1,28,0,21,0,8,12,0,17,29,0,3,17,9,1,0,27,6,23,28,1,3,25,28,1,27,2,29,0
68ed2def2034e237058f8a78,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d1,ADDATEEGALA,4865,63f99ac6519359b7438a1cba,Gavarayyapeta,586850,0,7,0,7,0,0,3,0,4,6,1,0,3,4,0,0,7,0,7,7,0,3,4,7,0,7,0,7,0
68ed2def2034e237058f8a79,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d1,ADDATEEGALA,4865,63f99ac6519359b7438a1cc4,Kottampalem,586864,0,7,0,6,0,1,4,0,3,7,0,0,5,2,0,0,7,2,5,7,0,0,7,7,0,7,0,7,0
68ed2def2034e237058f8a7a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d1,ADDATEEGALA,4865,63f99ac6519359b7438a1cc9,Rajavaram,586863,0,3,0,3,0,0,1,0,2,3,0,0,1,2,0,0,3,1,2,3,0,2,1,3,0,3,0,3,0
68ed2def2034e237058f8a7b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d1,ADDATEEGALA,4865,63f99ac7519359b7438a1cce,Bodlanka,586852,1,15,0,16,0,0,3,1,12,16,0,1,9,6,0,0,16,2,14,15,1,10,6,16,0,15,1,16,0
68ed2def2034e237058f8a7c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d1,ADDATEEGALA,4865,63f99ac7519359b7438a1cd3,Veerabhadrapuram,586860,0,3,0,2,0,1,0,0,3,3,0,0,3,0,0,0,3,1,2,3,0,0,2,3,0,3,0,3,0
68ed2def2034e237058f8a7d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d1,ADDATEEGALA,4865,63f99ac7519359b7438a1cd8,Konalova,586859,1,21,0,17,0,5,8,0,14,22,0,1,12,9,0,0,22,5,17,21,1,9,12,22,0,21,1,22,0
68ed2def2034e237058f8a7e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d1,ADDATEEGALA,4865,63f99ac7519359b7438a1cdd,Venkatanagaram,586853,0,5,0,2,0,3,1,0,4,5,0,0,1,4,0,0,5,1,4,4,1,3,2,5,0,5,0,5,0
68ed2def2034e237058f8a7f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d1,ADDATEEGALA,4865,63f99ac7519359b7438a1ce2,Gondolu,586857,0,8,0,5,1,2,0,2,6,7,1,1,3,4,0,0,8,2,6,7,1,5,3,8,0,8,0,8,0
68ed2def2034e237058f8a80,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d1,ADDATEEGALA,4865,63f99ac7519359b7438a1ce7,Languparti,586844,0,5,0,5,0,0,2,0,3,5,0,1,2,2,0,0,5,0,5,5,0,0,5,5,0,5,0,5,0
68ed2def2034e237058f8a81,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d1,ADDATEEGALA,4865,63f99ac8519359b7438a1cf1,Yellavaram,586867,1,7,0,6,0,2,6,0,2,7,1,1,4,3,0,0,8,1,7,8,0,2,6,8,0,7,1,8,0
68ed2def2034e237058f8a82,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d1,ADDATEEGALA,4865,63f99ac8519359b7438a1cf6,Nimmalapalem,586834,1,2,0,3,0,0,1,0,2,2,1,1,2,0,0,0,3,0,3,3,0,2,1,3,0,2,1,3,0
68ed2def2034e237058f8a83,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d1,ADDATEEGALA,4865,63f99ac9519359b7438a1d05,Matlapadu,586869,0,8,0,6,0,2,1,0,7,6,2,1,3,4,0,0,8,1,7,8,0,4,4,8,0,8,0,8,0
68ed2def2034e237058f8a84,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d1,ADDATEEGALA,4865,63f99ac9519359b7438a1d0a,Thimmapuram,586871,1,21,0,17,0,5,9,0,13,21,1,1,14,7,0,1,21,5,17,22,0,10,11,22,0,20,2,22,0
68ed2def2034e237058f8a85,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d1,ADDATEEGALA,4865,63f99ac9519359b7438a1d19,Doddivaka,586877,0,5,0,5,0,0,1,0,4,5,0,1,2,2,0,0,5,0,5,5,0,0,4,5,0,5,0,5,0
