_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f8850,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d3,ANANTHAGIRI,5584,63f99975519359b74389f802,Kondiba,584173,0,0,13,0,13,0,6,4,3,13,0,13,0,0,0,0,13,0,13,4,9,13,0,13,0,0,13,13,0
68ed2def2034e237058f8851,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d3,ANANTHAGIRI,5584,63f99975519359b74389f80c,Bhagamarivalasa,584215,0,0,7,0,6,1,1,3,3,7,0,3,3,1,0,0,7,0,7,2,5,1,6,7,0,4,3,7,0
68ed2def2034e237058f8852,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d3,ANANTHAGIRI,5584,63f99975519359b74389f816,Medaparti,584258,0,0,5,0,5,0,2,0,3,5,0,1,1,3,0,0,5,1,4,4,1,3,2,5,0,0,5,5,0
68ed2def2034e237058f8853,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d3,ANANTHAGIRI,5584,63f99976519359b74389f82a,Varakavadu,584243,0,1,11,0,10,2,0,2,10,12,0,0,7,5,0,0,12,0,12,3,9,12,0,12,0,4,8,12,0
68ed2def2034e237058f8854,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d3,ANANTHAGIRI,5584,63f99976519359b74389f834,Damsarai,584237,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
68ed2def2034e237058f8855,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d3,ANANTHAGIRI,5584,63f99977519359b74389f852,Dekkapuram,584116,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0
68ed2def2034e237058f8856,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d3,ANANTHAGIRI,5584,63f99978519359b74389f866,Ananthagiri,584209,0,0,19,0,17,2,1,18,0,17,2,3,8,8,0,0,19,0,19,4,15,10,9,19,0,6,13,19,0
68ed2def2034e237058f8857,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d3,ANANTHAGIRI,5584,63f99978519359b74389f86b,Laxmipuram,584170,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0
68ed2def2034e237058f8858,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d3,ANANTHAGIRI,5584,63f99979519359b74389f870,Tadiguda,584206,0,2,1,0,3,0,0,3,0,3,0,2,0,1,0,0,3,0,3,1,2,3,0,3,0,0,3,3,0
68ed2def2034e237058f8859,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d3,ANANTHAGIRI,5584,63f99979519359b74389f875,Mondijanguda,584207,0,0,3,0,3,0,0,3,0,3,0,0,0,3,0,0,3,0,3,0,3,3,0,3,0,0,3,3,0
68ed2def2034e237058f885a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d3,ANANTHAGIRI,5584,63f99979519359b74389f87f,Diguvasobha,584191,0,0,7,0,6,1,0,7,0,7,0,0,7,0,0,0,7,0,7,0,7,0,7,7,0,0,7,7,0
68ed2def2034e237058f885b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d3,ANANTHAGIRI,5584,63f9997a519359b74389f88e,Nisaniguda,584186,0,1,1,0,2,0,0,2,0,2,0,0,2,0,0,0,2,0,2,0,2,0,2,2,0,1,1,2,0
68ed2def2034e237058f885c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d3,ANANTHAGIRI,5584,63f9997a519359b74389f898,Kunapuram,584108,0,1,2,0,3,0,1,1,1,3,0,1,0,2,0,0,2,0,2,0,3,1,2,3,0,0,3,3,0
