_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f8805,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d5,ARAKU VALLEY,5585,63f99956519359b74389f497,Siragam,584031,0,3,15,14,0,4,2,9,7,15,3,9,1,8,0,0,18,1,17,16,2,1,17,10,8,0,18,17,1
68ed2def2034e237058f8806,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d5,ARAKU VALLEY,5585,63f99956519359b74389f4a1,Karakavalasa,584092,0,1,5,3,3,0,1,1,4,6,0,3,0,3,0,0,6,0,6,4,2,1,5,6,0,1,5,6,0
68ed2def2034e237058f8807,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d5,ARAKU VALLEY,5585,63f99957519359b74389f4a6,Ninnimamidivalasa,584080,0,0,9,3,1,5,1,0,8,9,0,8,0,1,0,0,9,0,9,0,9,1,8,7,2,0,8,4,5
68ed2def2034e237058f8808,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d5,ARAKU VALLEY,5585,63f99957519359b74389f4b0,LOTERU MUSIRIGUDA,929964,0,2,7,5,2,2,0,7,2,7,2,5,0,4,0,0,9,0,9,2,7,0,9,9,0,0,9,3,6
68ed2def2034e237058f8809,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d5,ARAKU VALLEY,5585,63f99958519359b74389f4ce,Bondam,584082,0,5,5,6,2,2,5,0,5,10,0,6,0,4,0,0,10,0,10,7,3,3,7,10,0,0,10,8,2
68ed2def2034e237058f880a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d5,ARAKU VALLEY,5585,63f99958519359b74389f4d3,Baliyaguda,583979,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
68ed2def2034e237058f880b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d5,ARAKU VALLEY,5585,63f99959519359b74389f4dd,Ranginiguda,584084,0,0,21,13,2,6,0,4,17,21,0,8,0,13,0,0,21,0,21,14,7,0,21,16,5,0,21,17,4
68ed2def2034e237058f880c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d5,ARAKU VALLEY,5585,63f99959519359b74389f4e2,Korraguda,584077,0,4,10,6,4,4,2,5,7,12,2,2,3,9,0,0,14,0,14,12,2,10,4,10,4,0,14,11,3
68ed2def2034e237058f880d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d5,ARAKU VALLEY,5585,63f99959519359b74389f4e7,Korraguda,584055,0,0,3,3,0,0,0,3,0,3,0,3,0,0,0,0,3,0,3,2,1,2,1,3,0,0,3,3,0
68ed2def2034e237058f880e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d5,ARAKU VALLEY,5585,63f99959519359b74389f4ec,Sukuruguda,584078,0,1,4,0,4,1,0,4,1,5,0,5,0,0,0,0,5,0,5,4,1,5,0,5,0,0,5,5,0
68ed2def2034e237058f880f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d5,ARAKU VALLEY,5585,63f99959519359b74389f4f1,Janamguda,584070,0,1,8,0,7,2,0,9,0,8,1,2,0,7,0,0,9,0,9,8,1,0,9,9,0,0,9,9,0
68ed2def2034e237058f8810,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d5,ARAKU VALLEY,5585,63f99959519359b74389f4f6,Sunkarametta,584073,0,2,0,0,1,1,2,0,0,1,1,0,2,0,0,0,2,0,2,2,0,0,2,2,0,0,2,2,0
68ed2def2034e237058f8811,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d5,ARAKU VALLEY,5585,63f9995a519359b74389f4fb,Piribanda,584071,0,0,3,0,1,2,1,0,2,3,0,0,0,3,0,0,2,0,3,3,0,0,3,0,3,0,3,3,0
68ed2def2034e237058f8812,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d5,ARAKU VALLEY,5585,63f9995a519359b74389f505,Girliguda,584036,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
68ed2def2034e237058f8813,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d5,ARAKU VALLEY,5585,63f9995a519359b74389f50a,Doraguda,584045,0,6,3,3,0,6,2,0,7,2,7,9,0,0,0,0,9,0,9,5,4,1,8,3,6,0,9,5,4
68ed2def2034e237058f8814,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d5,ARAKU VALLEY,5585,63f9995a519359b74389f50f,Pitraguda,584047,0,4,1,1,0,4,0,0,5,5,0,5,0,0,0,0,5,0,5,3,2,0,5,4,1,0,5,1,4
68ed2def2034e237058f8815,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d5,ARAKU VALLEY,5585,63f9995b519359b74389f519,Gadyaguda,584062,0,0,9,0,8,1,0,7,2,5,4,1,7,1,0,2,7,0,9,8,1,2,7,8,1,0,9,6,3
