_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f8949,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a2d519359b7438a0c0f,Rallagedda,585144,0,2,0,0,0,2,0,0,2,2,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,2,0,1,1
68ed2def2034e237058f894a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a2e519359b7438a0c41,Singavaram Kothuru,585351,0,3,1,4,0,0,0,1,3,4,0,3,0,1,0,1,3,0,4,4,0,2,2,4,0,0,4,4,0
68ed2def2034e237058f894b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a2f519359b7438a0c46,Anjalam,585352,0,3,2,1,1,3,0,3,2,5,0,0,0,5,0,0,5,0,4,5,0,0,5,5,0,0,5,5,0
68ed2def2034e237058f894c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a30519359b7438a0c64,Bheemanapalle,585328,0,9,0,9,0,0,0,4,5,9,0,0,0,9,0,0,9,0,9,9,0,7,2,9,0,0,9,9,0
68ed2def2034e237058f894d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a30519359b7438a0c6e,Gattumpakalu,585330,0,1,8,3,4,2,2,0,7,9,0,5,0,4,0,0,9,0,9,9,0,0,9,9,0,0,9,9,0
68ed2def2034e237058f894e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a31519359b7438a0c78,Yerrabanda,585312,0,4,0,4,0,0,0,0,4,4,0,0,0,4,0,0,4,0,4,4,0,0,4,4,0,0,4,4,0
68ed2def2034e237058f894f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a31519359b7438a0c7d,Pedabarada,585317,0,5,6,4,3,4,2,4,5,11,0,4,1,6,0,0,11,0,11,11,0,4,7,11,0,0,11,11,0
68ed2def2034e237058f8950,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a31519359b7438a0c82,Gondipakalu,585320,0,2,0,2,0,0,0,0,2,1,1,0,1,1,0,0,2,0,2,2,0,0,2,2,0,0,2,2,0
68ed2def2034e237058f8951,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a32519359b7438a0c96,Chinnabarada,585316,0,0,6,5,0,1,0,0,6,6,0,0,2,4,0,0,6,0,6,6,0,0,6,6,0,0,6,6,0
68ed2def2034e237058f8952,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a34519359b7438a0ce1,Antharla,585251,1,23,20,41,0,3,6,12,26,40,4,10,4,30,0,1,43,0,44,44,0,35,9,42,2,3,41,42,2
68ed2def2034e237058f8953,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a35519359b7438a0ceb,Lambadampalle,585267,0,2,7,2,4,3,0,3,6,8,1,9,0,0,0,0,9,0,9,8,1,0,9,7,2,0,9,9,0
68ed2def2034e237058f8954,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a35519359b7438a0cf0,Chinna Rajupakalu,585272,0,12,0,12,0,0,10,0,2,10,2,0,0,12,0,0,12,0,12,12,0,12,0,12,0,0,12,12,0
68ed2def2034e237058f8955,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a35519359b7438a0cfa,Rajubanda,585269,0,6,0,6,0,0,0,4,2,5,1,0,2,4,0,0,6,0,6,6,0,6,0,6,0,0,6,6,0
68ed2def2034e237058f8956,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a35519359b7438a0cff,Chinna Gedda,585231,0,9,8,9,3,5,3,5,9,14,3,1,10,6,0,0,17,0,17,17,0,5,12,16,1,1,16,17,0
68ed2def2034e237058f8957,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a36519359b7438a0d0e,Basangi Kothuru,585266,0,3,11,13,1,0,0,6,8,14,0,2,0,12,0,0,14,0,14,14,0,7,7,14,0,1,13,14,0
68ed2def2034e237058f8958,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a36519359b7438a0d13,Korukonda,585263,0,2,11,9,3,1,0,0,13,11,2,3,5,5,0,0,13,0,13,13,0,8,5,13,0,0,13,13,0
68ed2def2034e237058f8959,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a37519359b7438a0d22,Chinthaluru,585259,0,1,4,5,0,0,0,0,5,5,0,5,0,0,0,0,5,0,5,5,0,0,5,5,0,0,5,5,0
68ed2def2034e237058f895a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a38519359b7438a0d40,Kandulagodi,585232,0,1,1,1,0,1,0,1,1,2,0,1,1,0,0,0,2,0,2,2,0,1,1,2,0,0,2,2,0
68ed2def2034e237058f895b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a38519359b7438a0d4a,Bayalukinchangi,585241,0,2,9,5,1,5,0,10,1,10,1,2,0,9,0,0,11,0,11,11,0,10,1,8,3,0,11,11,0
68ed2def2034e237058f895c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a38519359b7438a0d54,Cherapalle,585239,0,11,5,14,2,0,4,2,10,13,3,1,5,10,0,0,16,0,16,16,0,0,16,16,0,1,15,16,0
68ed2def2034e237058f895d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a3a519359b7438a0d72,Vurisingi,585229,4,9,31,20,9,15,10,17,17,42,2,35,0,9,0,1,43,0,44,44,0,7,37,42,2,11,33,44,0
68ed2def2034e237058f895e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a3a519359b7438a0d77,Kinnerla,585227,0,6,3,5,1,3,0,2,7,7,2,4,1,4,0,0,9,0,9,9,0,2,7,5,4,1,8,9,0
68ed2def2034e237058f895f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a3a519359b7438a0d7c,Kothavuru,585204,0,5,14,19,0,0,5,6,8,17,2,0,0,19,0,0,19,0,19,19,0,17,2,19,0,0,19,19,0
68ed2def2034e237058f8960,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a3a519359b7438a0d81,Kothapalem,585216,0,2,13,14,0,1,0,10,5,13,2,0,1,14,0,0,15,0,15,15,0,0,15,15,0,0,15,15,0
68ed2def2034e237058f8961,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a3c519359b7438a0da4,Domalagondhi,585195,0,2,0,2,0,0,0,2,0,1,1,0,0,2,0,0,2,0,2,2,0,0,2,2,0,1,1,2,0
68ed2def2034e237058f8962,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a3c519359b7438a0dae,Kolanubanda,585196,0,2,0,2,0,0,0,1,1,1,1,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,2,2,0
