_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f873a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2d9,CHINTOOR,5062,63f998c4519359b74389e420,Lakkavaram,579221,0,15,0,7,0,8,0,7,8,15,0,1,9,5,0,0,15,0,15,11,4,2,13,5,10,10,5,13,2
68ed2def2034e237058f873b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2d9,CHINTOOR,5062,63f998c4519359b74389e42f,Tulugonda,579215,0,3,0,3,0,0,0,0,3,3,0,0,3,0,0,0,2,0,3,0,4,0,4,4,0,0,4,0,4
68ed2def2034e237058f873c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2d9,CHINTOOR,5062,63f998c4519359b74389e434,Gondigudem,579214,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,3,0,3,4,0,1,0,4,0
68ed2def2034e237058f873d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2d9,CHINTOOR,5062,63f998c5519359b74389e43e,Nelakota,579210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,0,2,1,2
68ed2def2034e237058f873e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2d9,CHINTOOR,5062,63f998c5519359b74389e448,Devarapalle,579207,0,3,0,2,0,2,0,4,0,5,0,0,0,2,0,1,1,0,2,0,5,0,5,5,0,3,2,3,2
68ed2def2034e237058f873f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2d9,CHINTOOR,5062,63f998c5519359b74389e44d,Stafordpeta,579200,0,3,0,2,0,1,0,1,2,3,0,1,2,0,0,0,3,0,3,0,3,0,3,1,2,0,3,1,2
68ed2def2034e237058f8740,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2d9,CHINTOOR,5062,63f998c5519359b74389e452,Yerrampeta,579198,0,9,0,6,0,3,0,5,4,9,0,0,2,4,0,0,5,0,5,0,10,1,9,8,2,6,3,4,6
68ed2def2034e237058f8741,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2d9,CHINTOOR,5062,63f998c6519359b74389e461,Kolthuru,579192,0,4,0,4,0,0,0,0,4,4,0,0,2,2,0,0,4,0,4,3,1,0,4,0,4,1,3,4,0
68ed2def2034e237058f8742,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2d9,CHINTOOR,5062,63f998c6519359b74389e475,Pedda Seetanapalle,579186,1,4,1,4,0,2,0,3,3,6,0,0,4,2,0,0,6,0,6,3,3,0,6,6,0,2,4,6,0
68ed2def2034e237058f8743,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2d9,CHINTOOR,5062,63f998c7519359b74389e47f,Mallethota,579179,0,5,0,4,0,2,0,3,3,7,0,0,0,4,0,0,4,0,4,1,6,0,7,7,0,0,7,1,6
68ed2def2034e237058f8744,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2d9,CHINTOOR,5062,63f998c7519359b74389e484,Chidumurum,579176,0,3,0,3,0,0,0,2,1,3,0,0,2,1,0,0,3,0,3,3,0,0,3,1,2,1,2,3,0
68ed2def2034e237058f8745,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2d9,CHINTOOR,5062,63f998c8519359b74389e49d,Tummala,579170,1,5,0,3,0,3,0,3,3,6,0,0,4,2,0,0,6,0,6,3,3,0,6,4,2,2,4,3,3
68ed2def2034e237058f8746,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2d9,CHINTOOR,5062,63f998c8519359b74389e4a2,Burakanakota,579168,0,17,0,12,0,5,0,6,11,17,0,0,16,1,0,0,17,0,17,7,10,0,17,8,9,7,10,16,1
68ed2def2034e237058f8747,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2d9,CHINTOOR,5062,63f998c8519359b74389e4a7,Ganganametta,579164,0,5,0,3,0,2,0,2,3,5,0,1,1,3,0,3,2,0,5,0,5,0,5,2,3,0,5,0,5
68ed2def2034e237058f8748,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2d9,CHINTOOR,5062,63f998c8519359b74389e4ac,Pega,579161,0,2,0,2,0,0,0,2,0,2,0,0,2,0,0,0,2,0,2,2,0,0,2,0,2,1,1,2,0
68ed2def2034e237058f8749,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2d9,CHINTOOR,5062,63f998c9519359b74389e4b1,Boddugudem,579160,0,5,0,3,0,2,0,3,2,5,0,0,4,1,0,0,5,0,4,2,3,0,5,5,0,3,2,4,1
68ed2def2034e237058f874a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2d9,CHINTOOR,5062,63f998c9519359b74389e4bb,Tatilanka,579155,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1
68ed2def2034e237058f874b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2d9,CHINTOOR,5062,63f998c9519359b74389e4c0,Yedugurallapalle,579154,0,6,0,3,1,2,0,5,2,6,0,1,3,1,0,0,5,0,5,0,7,0,7,5,2,4,3,4,3
68ed2def2034e237058f874c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2d9,CHINTOOR,5062,63f998c9519359b74389e4c5,Irkampeta,579152,0,3,0,4,0,0,0,0,4,4,0,0,2,1,0,0,3,0,3,0,4,0,4,0,4,0,4,0,4
68ed2def2034e237058f874d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2d9,CHINTOOR,5062,63f998c9519359b74389e4ca,Katukapalle,579150,0,4,0,3,0,1,0,1,3,4,0,0,3,1,0,0,4,0,4,1,3,0,4,2,2,1,3,3,1
68ed2def2034e237058f874e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2d9,CHINTOOR,5062,63f998ca519359b74389e4cf,Surakunta,579149,0,3,0,3,0,0,0,0,3,3,0,0,1,2,0,0,3,0,3,1,3,0,4,2,2,2,2,4,0
