_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f8a2e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2db,DEVIPATNAM,4874,63f99aa4519359b7438a18e7,Indukuru,586643,0,2,1,3,0,0,0,0,3,3,0,1,0,2,0,0,3,0,3,3,0,0,3,3,0,0,3,2,1
68ed2def2034e237058f8a2f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2db,DEVIPATNAM,4874,63f99aa5519359b7438a18f6,Anguluru,586636,0,5,3,8,0,0,0,7,1,8,0,0,2,6,0,0,8,0,8,8,0,0,8,7,1,0,8,7,1
68ed2def2034e237058f8a30,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2db,DEVIPATNAM,4874,63f99aa5519359b7438a18fb,Ravilanka,586641,0,0,5,4,1,0,0,3,2,5,0,1,3,1,0,0,5,0,5,4,1,0,5,3,2,0,5,4,1
68ed2def2034e237058f8a31,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2db,DEVIPATNAM,4874,63f99aa5519359b7438a1900,Nelakota,586637,0,3,12,15,0,0,0,5,10,15,0,9,4,2,0,0,15,0,15,15,0,0,15,11,4,0,15,11,4
68ed2def2034e237058f8a32,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2db,DEVIPATNAM,4874,63f99aa6519359b7438a1928,Pedduru,586611,0,6,0,6,0,0,0,6,0,6,0,0,0,6,0,0,6,0,6,6,0,0,6,6,0,0,6,4,2
68ed2def2034e237058f8a33,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2db,DEVIPATNAM,4874,63f99aa7519359b7438a192d,Lakshmipuram,586624,0,2,0,2,0,0,0,1,1,0,2,0,0,2,0,0,2,0,2,2,0,2,0,2,0,1,1,2,0
68ed2def2034e237058f8a34,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2db,DEVIPATNAM,4874,63f99aa7519359b7438a193c,Thatiwada,586610,0,0,2,2,0,0,0,0,2,2,0,1,0,1,0,0,2,0,2,1,1,0,2,2,0,0,2,2,0
68ed2def2034e237058f8a35,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2db,DEVIPATNAM,4874,63f99aa7519359b7438a1941,Paluru,586613,0,5,6,8,0,3,0,10,1,11,0,5,0,6,0,0,11,0,11,10,1,0,11,10,1,0,11,2,9
68ed2def2034e237058f8a36,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2db,DEVIPATNAM,4874,63f99aa8519359b7438a195f,Lothupalem,586642,0,0,16,16,0,0,0,6,10,16,0,0,14,2,0,0,16,0,16,16,0,0,16,10,6,0,16,12,4
68ed2def2034e237058f8a37,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2db,DEVIPATNAM,4874,63f99aa8519359b7438a1964,Indukurupeta,586640,0,10,23,29,0,4,11,8,14,27,6,14,16,3,2,0,31,0,33,33,0,9,24,28,5,3,30,29,4
68ed2def2034e237058f8a38,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2db,DEVIPATNAM,4874,63f99aa9519359b7438a1969,Velagapalle,586621,0,19,7,21,1,4,2,12,12,25,1,0,13,13,0,0,26,0,26,26,0,1,25,24,2,0,26,24,2
68ed2def2034e237058f8a39,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2db,DEVIPATNAM,4874,63f99aa9519359b7438a1978,Sarabhavaram,586639,0,1,12,12,0,1,2,1,10,13,0,5,5,3,0,0,12,0,13,12,1,1,12,10,3,0,13,12,1
68ed2def2034e237058f8a3a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2db,DEVIPATNAM,4874,63f99aa9519359b7438a197d,Devaram,586638,0,0,4,4,0,0,0,0,4,4,0,2,1,1,0,0,4,0,4,4,0,0,4,2,2,0,4,1,3
68ed2def2034e237058f8a3b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2db,DEVIPATNAM,4874,63f99aa9519359b7438a1982,Pothavaram,586634,0,3,8,9,1,1,0,3,8,11,0,2,5,3,0,0,9,0,9,11,0,0,11,8,3,0,11,10,1
68ed2def2034e237058f8a3c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2db,DEVIPATNAM,4874,63f99aaa519359b7438a1987,V. Ramannapalem,586623,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
68ed2def2034e237058f8a3d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2db,DEVIPATNAM,4874,63f99aaa519359b7438a198c,Rayavaram,586622,0,6,1,7,0,0,2,2,3,0,7,0,1,6,0,0,7,0,7,7,0,7,0,7,0,1,6,7,0
68ed2def2034e237058f8a3e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2db,DEVIPATNAM,4874,63f99aaa519359b7438a1996,Devipatnam,586629,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
