_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f8915,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f999f3519359b7438a05e1,Peda Bayalu,585107,1,0,1,2,0,0,0,2,0,1,1,2,0,0,0,2,0,0,2,2,0,0,2,2,0,1,1,1,1
68ed2def2034e237058f8916,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f999f6519359b7438a063b,Jerrai,585075,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
68ed2def2034e237058f8917,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f999f7519359b7438a065e,Kummaragunta,585064,1,7,3,10,0,1,10,0,1,10,1,6,3,2,0,0,11,0,11,7,4,4,7,11,0,6,5,10,1
68ed2def2034e237058f8918,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f999fb519359b7438a06bd,Tiyyamamidi,585029,0,10,4,12,1,1,14,0,0,11,3,4,6,4,0,0,14,0,13,11,3,10,4,14,0,13,1,13,1
68ed2def2034e237058f8919,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f999fb519359b7438a06c2,Godda,585024,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0
68ed2def2034e237058f891a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f999fd519359b7438a06e5,Solabham,585011,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0
68ed2def2034e237058f891b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f999fd519359b7438a06ea,Pedakantavaram,585010,0,1,1,2,0,0,0,2,0,2,0,2,0,0,0,0,2,0,2,2,0,1,1,2,0,0,2,2,0
68ed2def2034e237058f891c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a00519359b7438a073f,Urlumetta,584967,0,0,2,2,0,0,1,0,1,2,0,1,1,0,0,0,2,0,2,1,1,2,0,2,0,2,0,2,0
68ed2def2034e237058f891d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a00519359b7438a074e,K.Kodapalle,584963,0,14,5,19,0,0,18,0,1,17,2,3,8,8,0,0,19,0,19,9,10,13,6,19,0,14,5,18,1
68ed2def2034e237058f891e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a00519359b7438a0753,Bandaveedhi,584962,0,1,1,2,0,0,2,0,0,2,0,0,1,1,0,0,2,0,2,2,0,0,2,2,0,2,0,1,1
68ed2def2034e237058f891f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a01519359b7438a0758,Sangam,584961,0,3,2,5,0,0,4,0,1,5,0,1,0,4,0,0,5,0,5,2,3,2,3,5,0,3,2,4,1
68ed2def2034e237058f8920,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a01519359b7438a076c,Pedaurumu,584955,0,8,1,8,0,1,7,0,2,9,0,1,4,4,0,0,9,0,9,6,3,3,6,9,0,7,2,8,1
68ed2def2034e237058f8921,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a02519359b7438a0771,Chinnaurumu,584953,0,7,1,5,1,2,8,0,0,5,3,3,4,1,0,0,8,0,8,6,2,6,2,8,0,8,0,7,1
68ed2def2034e237058f8922,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a03519359b7438a0799,Kuntalam,584939,0,1,4,3,1,1,4,0,1,4,1,0,3,2,0,0,5,0,5,1,4,1,4,5,0,4,1,3,2
68ed2def2034e237058f8923,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a05519359b7438a07cb,Lakkulu,584917,0,13,2,14,0,1,13,0,2,14,1,2,6,7,0,0,15,0,15,10,5,7,8,15,0,11,4,15,0
68ed2def2034e237058f8924,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a05519359b7438a07d0,Vallangula,584916,0,2,0,2,0,0,2,0,0,2,0,0,1,0,0,0,2,0,2,2,0,2,0,2,0,1,1,2,0
68ed2def2034e237058f8925,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a06519359b7438a07df,Jannera,584905,0,3,0,3,0,0,2,0,1,3,0,1,2,0,0,0,3,0,3,1,2,0,3,3,0,1,2,3,0
68ed2def2034e237058f8926,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a06519359b7438a07e4,Vemarajukodapalle,584902,0,8,5,13,0,0,13,0,0,12,1,4,2,7,0,0,13,0,13,6,7,7,6,13,0,9,4,12,1
68ed2def2034e237058f8927,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a06519359b7438a07e9,Agampadu,584901,0,6,3,7,1,1,8,0,1,7,2,3,4,2,0,0,7,0,9,7,2,4,5,9,0,7,2,7,2
68ed2def2034e237058f8928,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a06519359b7438a07ee,Vannelabha,584900,0,11,2,12,1,0,9,0,4,10,3,2,8,3,0,0,13,0,13,7,6,5,8,13,0,7,6,9,4
68ed2def2034e237058f8929,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a07519359b7438a07f3,Gannelba,584899,0,5,0,3,2,0,3,1,1,2,3,3,1,1,0,0,5,0,5,2,3,4,1,5,0,3,2,4,1
68ed2def2034e237058f892a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a07519359b7438a07fd,M.Nittaputtu,584895,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0
68ed2def2034e237058f892b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a08519359b7438a080c,Korapalle,584890,0,2,2,3,0,1,4,0,0,4,0,0,3,1,0,0,4,0,4,3,1,2,2,4,0,2,2,4,0
68ed2def2034e237058f892c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a08519359b7438a0811,Anarbha,584887,1,9,3,13,0,0,10,0,3,13,0,5,7,1,0,0,13,0,13,9,4,7,6,13,0,9,4,12,1
68ed2def2034e237058f892d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a08519359b7438a0816,Thadiveedhi,584886,1,3,0,2,2,0,2,1,1,4,0,0,1,3,0,1,3,0,4,3,1,1,2,4,0,3,1,4,0
68ed2def2034e237058f892e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a08519359b7438a081b,Thaggimetta,584882,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
68ed2def2034e237058f892f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a09519359b7438a0834,Mulagaruvu,584875,0,3,0,3,0,0,3,0,0,3,0,1,1,1,0,0,3,0,3,2,1,2,1,3,0,3,0,3,0
68ed2def2034e237058f8930,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a0a519359b7438a084d,A.Bandaveedhi,584868,0,4,3,6,0,1,7,0,0,7,0,1,5,1,0,0,7,0,7,3,4,3,4,7,0,6,1,6,1
68ed2def2034e237058f8931,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a0b519359b7438a0866,Thiyyagundam,584860,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
68ed2def2034e237058f8932,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a0b519359b7438a086b,Nurmathi,584856,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
68ed2def2034e237058f8933,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a0c519359b7438a0884,Digarapalle,584845,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
68ed2def2034e237058f8934,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a0d519359b7438a08a2,Subbulu,584835,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
68ed2def2034e237058f8935,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a12519359b7438a092e,Guntapalle,585091,0,1,1,2,0,0,2,0,0,2,0,1,1,0,0,0,2,0,2,0,2,1,1,2,0,1,1,1,1
68ed2def2034e237058f8936,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a16519359b7438a09b5,Vanthala,585028,0,7,2,8,1,0,9,0,0,9,0,2,6,1,0,0,9,0,9,4,5,1,8,9,0,7,2,9,0
68ed2def2034e237058f8937,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a16519359b7438a09ba,Rachapanuku,585027,0,12,6,15,1,2,15,0,3,15,3,2,8,8,0,0,18,0,18,12,6,13,5,18,0,16,2,17,1
68ed2def2034e237058f8938,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a17519359b7438a09c9,Pachinapalle,585023,1,5,3,9,0,0,8,0,1,7,2,3,1,5,0,0,9,0,9,7,2,7,2,9,0,7,2,9,0
68ed2def2034e237058f8939,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a17519359b7438a09ce,Gaduthuru,585022,0,1,1,2,0,0,2,0,0,2,0,1,0,1,0,0,2,0,2,0,2,1,1,2,0,1,1,2,0
68ed2def2034e237058f893a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a17519359b7438a09d3,Mangathapalem,585021,0,2,4,5,1,0,5,0,1,5,1,0,2,4,0,0,6,0,6,5,1,4,2,6,0,4,2,6,0
68ed2def2034e237058f893b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a1b519359b7438a0a2d,Mulagaruvu,584982,0,1,1,2,0,0,2,0,0,1,1,1,1,0,0,0,2,0,2,1,1,1,1,2,0,2,0,1,1
68ed2def2034e237058f893c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a1c519359b7438a0a4b,Pedapadu,584976,0,11,2,8,2,3,11,0,2,13,0,5,5,3,0,0,13,0,13,7,6,7,6,13,0,8,5,11,2
68ed2def2034e237058f893d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a1d519359b7438a0a64,Andangisingi,584968,0,3,1,4,0,0,2,0,2,3,1,0,3,1,0,0,4,0,4,3,1,2,2,4,0,2,2,3,1
68ed2def2034e237058f893e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a1d519359b7438a0a69,Chintalagondi,584965,0,2,0,2,0,0,2,0,0,1,1,1,1,0,0,0,2,0,2,2,0,2,0,2,0,2,0,2,0
68ed2def2034e237058f893f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a1e519359b7438a0a78,Pedalanka,584954,0,10,8,16,0,2,14,0,4,16,2,6,9,3,0,0,18,0,18,9,9,11,7,18,0,12,6,16,2
68ed2def2034e237058f8940,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a21519359b7438a0acd,Cheekumbanda,584919,0,6,0,4,1,1,4,0,2,6,0,2,3,1,0,0,6,0,6,3,3,4,2,6,0,3,3,5,1
68ed2def2034e237058f8941,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a24519359b7438a0b18,Sadeku,584893,1,20,3,23,0,1,24,0,0,23,1,4,11,9,0,0,24,0,24,15,9,13,11,24,0,18,6,23,1
68ed2def2034e237058f8942,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a25519359b7438a0b2c,Beeram,584884,2,7,2,11,0,0,10,0,1,11,0,4,4,3,0,1,10,0,11,6,5,5,6,11,0,8,3,10,1
68ed2def2034e237058f8943,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a25519359b7438a0b31,Mandivanam,584883,0,2,0,2,0,0,2,0,0,2,0,0,1,1,0,0,2,0,2,1,1,1,1,2,0,1,1,2,0
68ed2def2034e237058f8944,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a26519359b7438a0b4f,Sanguloya,584863,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
68ed2def2034e237058f8945,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a26519359b7438a0b63,Mosaidipanuku Kothuru,584857,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
68ed2def2034e237058f8946,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a27519359b7438a0b68,Nugumamidi,584855,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68ed2def2034e237058f8947,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a27519359b7438a0b72,Vakapalle,584850,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
68ed2def2034e237058f8948,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a28519359b7438a0b9a,Mandibha,584834,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
