_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f8ac4,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2df,GANGAVARAM,4876,63f99ae2519359b7438a1fb9,Jiyyampalem,587113,0,0,5,2,2,1,0,5,0,5,0,0,5,0,0,0,5,0,5,3,2,0,5,5,0,0,5,4,1
68ed2def2034e237058f8ac5,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2df,GANGAVARAM,4876,63f99ae2519359b7438a1fbe,B.Sivaramapatnam,587125,0,5,0,0,5,0,3,0,2,5,0,0,4,1,0,0,5,0,5,5,0,1,4,4,1,0,5,5,0
68ed2def2034e237058f8ac6,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2df,GANGAVARAM,4876,63f99ae2519359b7438a1fc3,Loddipalem,587123,0,0,5,2,3,0,0,3,2,5,0,0,3,2,0,0,5,0,5,4,1,1,4,5,0,0,5,5,0
68ed2def2034e237058f8ac7,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2df,GANGAVARAM,4876,63f99ae2519359b7438a1fc8,Ojubanda,587111,0,0,6,1,2,3,2,0,4,6,0,0,6,0,0,0,6,0,6,2,4,6,0,6,0,0,6,6,0
68ed2def2034e237058f8ac8,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2df,GANGAVARAM,4876,63f99ae3519359b7438a1fd7,Kusumarai,587091,0,1,1,0,1,1,0,1,1,2,0,0,1,1,0,0,2,0,2,2,0,0,2,2,0,1,1,2,0
68ed2def2034e237058f8ac9,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2df,GANGAVARAM,4876,63f99ae3519359b7438a1fdc,Marripalem,587079,0,1,2,0,2,1,0,1,2,3,0,0,2,1,0,0,3,0,3,0,3,0,3,2,1,0,3,3,0
68ed2def2034e237058f8aca,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2df,GANGAVARAM,4876,63f99ae3519359b7438a1fe1,Amudalabanda,587099,0,17,0,2,14,1,8,1,8,17,0,0,13,4,0,0,17,0,17,10,7,5,12,16,1,1,16,17,0
68ed2def2034e237058f8acb,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2df,GANGAVARAM,4876,63f99ae4519359b7438a1ff0,Chinagarlapadu,587102,0,0,3,1,2,0,0,2,1,3,0,0,3,0,0,0,3,0,3,3,0,1,2,3,0,0,3,3,0
68ed2def2034e237058f8acc,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2df,GANGAVARAM,4876,63f99ae4519359b7438a1ff5,Pidathamamidi,587104,0,2,0,1,1,0,1,0,1,2,0,0,2,0,0,0,2,0,2,2,0,0,2,2,0,0,2,2,0
68ed2def2034e237058f8acd,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2df,GANGAVARAM,4876,63f99ae4519359b7438a1ffa,Surampalem,587106,0,7,28,8,14,13,21,6,8,29,6,0,28,7,0,0,35,1,34,10,25,13,22,34,0,2,33,35,0
