_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f8998,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a5b519359b7438a10f8,Gangavaram,585392,0,9,14,16,5,2,10,4,9,22,1,2,1,20,0,1,22,0,23,21,2,2,21,23,0,3,20,23,0
68ed2def2034e237058f8999,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a5b519359b7438a10fd,Rallagedda,585399,0,8,12,14,3,3,10,1,9,17,3,1,6,13,0,0,20,0,20,20,0,0,20,20,0,0,20,20,0
68ed2def2034e237058f899a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a5b519359b7438a110c,Valasagedda,585378,0,7,4,4,5,2,6,0,5,11,0,0,9,2,0,0,11,0,11,11,0,0,11,11,0,0,11,11,0
68ed2def2034e237058f899b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a5c519359b7438a111b,Duppalawada,585386,0,2,2,2,1,1,4,0,0,4,0,0,0,4,0,0,4,0,4,4,0,0,4,4,0,0,4,4,0
68ed2def2034e237058f899c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a5d519359b7438a112f,Damanapalle,585547,0,9,6,11,2,2,0,5,10,12,3,0,10,5,0,0,15,0,15,15,0,7,8,15,0,0,15,15,0
68ed2def2034e237058f899d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a5e519359b7438a1148,Madimalla,585431,0,2,0,1,1,0,1,0,1,2,0,0,1,1,0,0,2,0,2,2,0,0,2,2,0,0,2,2,0
68ed2def2034e237058f899e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a5e519359b7438a1152,Chinnajadumuru,585510,0,4,0,3,1,0,1,2,1,3,1,0,0,4,0,0,4,0,4,4,0,0,4,4,0,0,4,4,0
68ed2def2034e237058f899f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a5f519359b7438a1170,Kodisingi,585516,1,0,19,13,5,2,12,0,8,20,0,8,0,12,0,0,20,0,20,20,0,0,20,20,0,0,20,17,3
68ed2def2034e237058f89a0,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a60519359b7438a117f,Kothagudem,585533,0,2,0,2,0,0,0,2,0,2,0,0,1,1,0,0,2,0,2,2,0,1,1,2,0,0,2,2,0
68ed2def2034e237058f89a1,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a60519359b7438a1184,Yerravaram,585535,0,1,1,1,1,0,1,1,0,2,0,0,1,1,0,0,2,0,2,2,0,0,2,2,0,0,2,2,0
