_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f88aa,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e5,HUKUMPETA,5597,63f999b0519359b74389fe5d,Veerendla,584546,0,2,0,0,0,3,0,0,3,3,0,1,0,1,0,0,1,0,1,2,1,0,3,3,0,3,0,3,0
68ed2def2034e237058f88ab,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e5,HUKUMPETA,5597,63f999b0519359b74389fe67,Daragedda,584554,0,2,8,0,9,1,0,0,10,10,0,6,0,4,0,0,10,0,10,8,2,0,10,9,1,0,10,10,0
68ed2def2034e237058f88ac,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e5,HUKUMPETA,5597,63f999b0519359b74389fe6c,Peda Nandiputtu,584581,0,9,6,4,5,7,0,1,15,16,0,3,1,10,0,0,14,0,14,4,12,0,16,10,6,16,0,9,7
68ed2def2034e237058f88ad,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e5,HUKUMPETA,5597,63f999b1519359b74389fe7b,Sesaipanuku,584578,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
68ed2def2034e237058f88ae,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e5,HUKUMPETA,5597,63f999b1519359b74389fe80,Sarasapadu,584548,0,6,12,0,15,3,0,0,18,18,0,6,0,12,0,0,18,0,18,17,1,0,17,7,11,0,18,13,5
68ed2def2034e237058f88af,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e5,HUKUMPETA,5597,63f999b1519359b74389fe85,Chittampadu,584563,0,2,0,0,2,0,0,0,2,2,0,0,0,2,0,0,2,0,2,0,2,0,2,2,0,2,0,0,2
68ed2def2034e237058f88b0,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e5,HUKUMPETA,5597,63f999b1519359b74389fe8f,Goppulapalem,584572,0,0,5,0,5,0,0,2,3,5,0,0,0,5,0,0,5,0,5,2,3,0,5,4,1,5,0,3,2
68ed2def2034e237058f88b1,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e5,HUKUMPETA,5597,63f999b1519359b74389fe94,Dabbagaruvu,584558,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
68ed2def2034e237058f88b2,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e5,HUKUMPETA,5597,63f999b2519359b74389fe99,Bakuru,584562,2,3,3,2,5,1,1,0,7,7,1,1,0,7,0,0,8,0,8,3,5,2,6,6,2,8,0,5,3
68ed2def2034e237058f88b3,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e5,HUKUMPETA,5597,63f999b2519359b74389fe9e,Nurupanuku,584556,0,5,0,2,1,2,0,0,5,5,0,5,0,0,0,0,5,0,5,0,5,0,5,1,4,5,0,5,0
68ed2def2034e237058f88b4,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e5,HUKUMPETA,5597,63f999b3519359b74389feb7,M.Kothavuru,584449,0,5,11,1,15,0,0,2,14,16,0,0,2,14,0,0,16,0,16,6,10,0,16,14,2,0,16,8,8
68ed2def2034e237058f88b5,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e5,HUKUMPETA,5597,63f999b3519359b74389febc,Mulusobha,584537,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
68ed2def2034e237058f88b6,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e5,HUKUMPETA,5597,63f999b3519359b74389fec1,Matham,584450,0,1,2,0,3,0,0,1,2,3,0,2,0,1,0,0,3,0,3,3,0,0,3,3,0,0,3,2,1
