_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f89cb,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e7,KOYYURU,5601,63f99a79519359b7438a1447,Gopavaram,585667,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
68ed2def2034e237058f89cc,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e7,KOYYURU,5601,63f99a79519359b7438a144c,Paradesipakalu,585681,0,2,7,4,2,3,8,0,1,0,9,0,0,0,0,0,9,0,9,9,0,6,3,9,0,9,0,9,0
68ed2def2034e237058f89cd,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e7,KOYYURU,5601,63f99a7a519359b7438a1460,Kinchavanipalem,585596,0,0,6,3,1,2,0,3,3,6,0,0,2,4,0,0,6,0,6,3,3,5,1,6,0,2,4,6,0
68ed2def2034e237058f89ce,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e7,KOYYURU,5601,63f99a7a519359b7438a1465,Ginjarthi,585613,2,0,7,9,0,0,7,0,2,7,2,5,0,4,0,0,9,0,9,6,2,5,3,9,0,0,9,9,0
68ed2def2034e237058f89cf,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e7,KOYYURU,5601,63f99a7a519359b7438a146f,Panasalapadu,585611,5,0,2,6,0,1,7,0,0,5,2,5,0,2,0,0,7,0,7,6,1,7,0,7,0,0,7,7,0
68ed2def2034e237058f89d0,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e7,KOYYURU,5601,63f99a7a519359b7438a1474,Chintalapudi,585614,1,5,8,10,2,2,1,1,12,11,3,1,1,12,0,0,13,0,14,12,2,10,4,14,0,3,11,14,0
68ed2def2034e237058f89d1,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e7,KOYYURU,5601,63f99a7b519359b7438a1492,Ramarajupalem,585671,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
68ed2def2034e237058f89d2,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e7,KOYYURU,5601,63f99a7c519359b7438a149c,Valasarajupadu,585694,4,3,10,17,0,0,6,6,5,17,0,1,0,16,0,0,17,0,17,13,4,10,7,17,0,0,17,17,0
68ed2def2034e237058f89d3,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e7,KOYYURU,5601,63f99a7d519359b7438a14a6,Anthada,585678,0,2,0,2,0,0,1,0,1,2,0,0,1,1,0,0,2,0,2,2,0,0,2,2,0,2,0,2,0
68ed2def2034e237058f89d4,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e7,KOYYURU,5601,63f99a7e519359b7438a14d3,Ravanapalle,585685,1,10,10,17,1,3,14,1,6,11,10,0,1,1,0,0,21,0,21,20,1,15,6,21,0,15,6,21,0
