_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f871d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e9,KUNAVARAM,5076,63f998b9519359b74389e2ed,Repaka,579100,0,0,3,2,0,1,0,3,0,3,0,0,0,3,0,0,3,0,3,3,0,3,0,3,0,3,0,3,0
68ed2def2034e237058f871e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e9,KUNAVARAM,5076,63f998b9519359b74389e2f2,Koderu,579089,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
68ed2def2034e237058f871f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e9,KUNAVARAM,5076,63f998b9519359b74389e2f7,Karakagudem,579124,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68ed2def2034e237058f8720,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e9,KUNAVARAM,5076,63f998ba519359b74389e2fc,Jaggavaram,579129,4,0,4,8,0,0,0,7,1,8,0,0,5,3,0,0,8,0,8,8,0,7,1,8,0,7,1,8,0
68ed2def2034e237058f8721,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e9,KUNAVARAM,5076,63f998ba519359b74389e306,Abicherla,579095,0,0,2,2,0,0,0,2,0,2,0,0,1,1,0,1,1,0,2,2,0,2,0,2,0,2,0,2,0
68ed2def2034e237058f8722,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e9,KUNAVARAM,5076,63f998bb519359b74389e324,Peddarukur,579103,2,0,3,4,1,0,1,4,0,4,1,0,0,5,0,0,5,0,5,5,0,4,1,5,0,3,2,5,0
68ed2def2034e237058f8723,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e9,KUNAVARAM,5076,63f998bb519359b74389e333,Regulapadu,579093,1,0,4,5,0,0,0,5,0,5,0,0,0,5,0,1,4,0,5,5,0,4,1,5,0,5,0,5,0
68ed2def2034e237058f8724,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e9,KUNAVARAM,5076,63f998bc519359b74389e338,Walfordpeta,579108,0,0,2,2,0,0,0,2,0,2,0,0,0,2,0,0,2,0,2,2,0,2,0,2,0,2,0,2,0
68ed2def2034e237058f8725,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e9,KUNAVARAM,5076,63f998bc519359b74389e342,Harvegudem,579090,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
68ed2def2034e237058f8726,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e9,KUNAVARAM,5076,63f998bd519359b74389e360,S.Kothagudem,579142,1,0,2,3,0,0,0,3,0,3,0,0,3,0,0,0,3,0,3,3,0,2,1,3,0,3,0,3,0
