_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f8af1,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f9,NELLIPAKA,6829,63f99afa519359b7438a2256,Yetapaka,579042,0,7,0,4,0,3,0,3,4,6,1,0,6,1,0,0,7,0,7,4,3,3,4,4,3,6,1,7,0
68ed2def2034e237058f8af2,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f9,NELLIPAKA,6829,63f99afa519359b7438a225b,Chandrampalem,579041,0,9,1,4,1,5,0,6,4,10,0,0,10,0,0,0,10,0,10,9,1,0,10,6,4,6,4,9,1
68ed2def2034e237058f8af3,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f9,NELLIPAKA,6829,63f99afa519359b7438a2265,Yerraboru,579033,0,5,2,0,0,7,0,7,0,7,0,0,1,6,0,0,7,0,7,2,5,2,5,7,0,2,5,6,1
68ed2def2034e237058f8af4,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f9,NELLIPAKA,6829,63f99afa519359b7438a226a,Pinapalle,579048,0,14,1,0,2,13,0,15,0,15,0,0,13,2,0,0,14,0,13,0,15,8,7,15,0,8,7,10,5
68ed2def2034e237058f8af5,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f9,NELLIPAKA,6829,63f99afb519359b7438a2288,Kistaram,579072,0,13,1,0,0,14,0,14,0,14,0,1,8,5,0,0,14,0,14,0,14,5,9,14,0,9,5,6,8
68ed2def2034e237058f8af6,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f9,NELLIPAKA,6829,63f99afc519359b7438a2292,Ramagopalapuram,579022,0,5,0,0,0,5,0,5,0,5,0,0,3,2,0,0,5,0,5,0,5,3,2,5,0,3,2,2,3
68ed2def2034e237058f8af7,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f9,NELLIPAKA,6829,63f99afc519359b7438a2297,Gottugudem,579017,0,6,2,0,1,7,0,8,0,8,0,0,4,4,0,1,6,0,8,2,6,5,3,8,0,4,4,8,0
68ed2def2034e237058f8af8,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f9,NELLIPAKA,6829,63f99afc519359b7438a22a1,Kannaigudem,579014,0,8,1,0,1,8,0,9,0,9,0,0,6,2,0,0,8,0,8,0,9,3,6,9,0,3,6,6,3
68ed2def2034e237058f8af9,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f9,NELLIPAKA,6829,63f99afc519359b7438a22ab,Penuballe,579050,0,3,3,0,0,6,0,6,0,5,1,0,3,3,0,0,6,0,6,5,1,2,4,3,3,3,3,4,2
68ed2def2034e237058f8afa,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f9,NELLIPAKA,6829,63f99afd519359b7438a22bf,Gannavaram,579070,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
68ed2def2034e237058f8afb,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f9,NELLIPAKA,6829,63f99afe519359b7438a22ce,Nellipaka,579056,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1
68ed2def2034e237058f8afc,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f9,NELLIPAKA,6829,63f99afe519359b7438a22d3,Thotapalle,579067,0,3,1,3,0,1,0,1,3,4,0,0,4,0,0,0,4,0,4,3,1,0,4,3,1,1,3,3,1
68ed2def2034e237058f8afd,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f9,NELLIPAKA,6829,63f99afe519359b7438a22d8,Devarapalle,579058,0,9,1,2,0,8,0,8,2,10,0,0,9,1,0,0,10,0,10,6,4,7,3,6,4,4,6,9,1
68ed2def2034e237058f8afe,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f9,NELLIPAKA,6829,63f99aff519359b7438a22ec,Kothagudem,579062,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
68ed2def2034e237058f8aff,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f9,NELLIPAKA,6829,63f99aff519359b7438a22f6,Achuthapuram,579074,0,6,1,1,0,6,0,6,1,7,0,0,6,1,0,0,7,0,7,1,6,3,4,7,0,5,2,7,0
68ed2def2034e237058f8b00,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f9,NELLIPAKA,6829,63f99b00519359b7438a230a,Boddugudem,579063,0,7,1,6,1,1,0,2,6,7,1,1,5,2,0,0,8,0,8,5,3,0,8,5,3,4,4,7,1
68ed2def2034e237058f8b01,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f9,NELLIPAKA,6829,63f99b00519359b7438a230f,Kapavaram,579061,0,1,1,2,0,0,0,1,1,2,0,0,2,0,0,0,2,0,2,2,0,1,1,2,0,0,2,2,0
68ed2def2034e237058f8b02,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f9,NELLIPAKA,6829,63f99b00519359b7438a2314,Gundala,579046,0,7,0,0,1,6,0,6,1,7,0,1,3,3,2,0,4,0,7,2,5,2,5,7,0,3,4,4,3
68ed2def2034e237058f8b03,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f9,NELLIPAKA,6829,63f99b00519359b7438a2319,Chowdavaram,579053,0,4,0,0,0,4,0,4,0,4,0,0,4,0,0,0,4,0,4,0,4,2,2,4,0,2,2,1,3
68ed2def2034e237058f8b04,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f9,NELLIPAKA,6829,63f99b01519359b7438a232d,K. Narayanapuram,579047,0,2,0,0,1,1,0,2,0,2,0,0,2,0,0,0,2,0,2,2,0,0,2,0,2,0,2,2,0
