_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f88f8,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ef,PADERU,5609,63f999cc519359b7438a019d,Badimela,584618,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
68ed2def2034e237058f88f9,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ef,PADERU,5609,63f999ce519359b7438a01ca,Thumpada,584678,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
68ed2def2034e237058f88fa,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ef,PADERU,5609,63f999ce519359b7438a01cf,Iskali,584680,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68ed2def2034e237058f88fb,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ef,PADERU,5609,63f999ce519359b7438a01d4,Kujjali,584679,0,0,3,2,0,1,0,3,0,3,0,0,1,2,0,0,3,0,3,3,0,2,1,3,0,3,0,2,1
68ed2def2034e237058f88fc,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ef,PADERU,5609,63f999cf519359b7438a01ed,Ubbediputtu,584658,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68ed2def2034e237058f88fd,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ef,PADERU,5609,63f999d0519359b7438a020b,Chintala Veedhi,584657,0,12,38,3,41,6,1,9,40,46,4,20,1,29,0,2,48,0,50,24,26,39,11,44,6,12,38,39,11
68ed2def2034e237058f88fe,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ef,PADERU,5609,63f999d1519359b7438a022e,Iradapalle,584630,0,4,4,6,0,1,2,5,1,8,0,2,0,6,0,0,8,0,8,4,4,6,2,8,0,4,4,7,1
68ed2def2034e237058f88ff,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ef,PADERU,5609,63f999d2519359b7438a0233,Mandiputtu,584632,0,3,0,3,0,0,0,3,0,3,0,2,0,1,0,2,1,0,3,3,0,3,0,3,0,3,0,3,0
68ed2def2034e237058f8900,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ef,PADERU,5609,63f999d3519359b7438a025b,Panasaputtu,584766,0,0,7,0,7,0,2,2,3,7,0,4,0,3,0,0,7,0,7,0,7,4,3,7,0,0,7,7,0
68ed2def2034e237058f8901,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ef,PADERU,5609,63f999d4519359b7438a026f,Rakota,584737,0,3,5,1,6,1,5,0,3,7,1,0,0,8,0,0,8,0,8,4,4,7,1,6,2,0,8,8,0
