_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f8aa5,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99ad6519359b7438a1e74,Urlakulapadu,586936,0,25,0,22,0,3,24,0,1,22,3,0,19,6,0,2,23,3,22,25,0,16,9,24,1,23,2,25,0
68ed2def2034e237058f8aa6,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99ad6519359b7438a1e79,Kondalingamparthi,586938,0,11,0,5,1,5,11,0,0,11,0,0,7,4,0,1,10,3,8,11,0,8,3,11,0,11,0,11,0
68ed2def2034e237058f8aa7,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99ad7519359b7438a1e88,Ginjerthi,586914,0,9,0,6,0,3,3,0,6,9,0,3,3,3,0,0,9,2,7,9,0,4,5,9,0,9,0,9,0
68ed2def2034e237058f8aa8,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99ad7519359b7438a1e8d,Komarapuram,586925,0,10,0,8,0,2,10,0,0,9,1,1,5,4,0,1,9,3,7,10,0,0,10,10,0,10,0,10,0
68ed2def2034e237058f8aa9,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99ad7519359b7438a1e92,Thantikonda,586915,0,23,1,20,0,4,21,1,2,23,1,5,12,7,0,0,23,3,20,24,0,13,11,24,0,23,1,24,0
68ed2def2034e237058f8aaa,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99ad7519359b7438a1e97,Singampalle,586917,0,14,0,13,0,1,14,0,0,14,0,3,5,6,0,0,14,1,13,13,1,5,9,14,0,12,2,14,0
68ed2def2034e237058f8aab,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99ad8519359b7438a1e9c,Yerrampadu,586916,0,0,2,2,0,0,0,0,2,2,0,0,2,0,0,0,2,0,2,2,0,2,0,2,0,2,0,2,0
68ed2def2034e237058f8aac,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99ad8519359b7438a1ea1,Voyyedu,586911,0,3,0,3,0,0,3,0,0,2,1,0,2,1,0,0,3,0,3,3,0,2,1,3,0,2,1,3,0
68ed2def2034e237058f8aad,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99ad8519359b7438a1eab,Murlavanipalem,586912,0,6,0,6,0,0,6,0,0,4,2,3,0,3,0,0,6,0,6,6,0,2,4,6,0,5,1,6,0
68ed2def2034e237058f8aae,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99ad8519359b7438a1eb5,Nellimetla,586904,0,6,0,3,1,2,6,0,0,6,0,0,5,1,0,0,6,0,6,6,0,1,5,6,0,6,0,6,0
68ed2def2034e237058f8aaf,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99ad9519359b7438a1eba,Rajavommangi,586906,0,38,0,27,1,10,34,0,4,37,1,12,6,20,0,4,34,7,31,38,0,12,26,37,1,36,2,38,0
68ed2def2034e237058f8ab0,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99ad9519359b7438a1ec9,Surampalem,586898,0,10,1,9,0,2,10,0,1,11,0,5,2,4,1,1,9,6,5,11,0,2,9,11,0,9,2,11,0
