_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f86bb,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2ff,ACHUTAPURAM,5581,63f9989e519359b74389dff3,Gangamambapura Agraharam,586391,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
68ed2def2034e237058f86bc,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2ff,ACHUTAPURAM,5581,63f9989e519359b74389e002,Thimmarajupeta,586382,5,9,5,16,2,1,11,2,6,19,0,5,9,5,2,2,15,0,19,12,7,9,10,16,3,19,0,18,1
68ed2def2034e237058f86bd,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2ff,ACHUTAPURAM,5581,63f9989e519359b74389e007,Melupaka Jagannadhapuram,586376,1,1,1,2,1,0,2,0,1,3,0,1,1,1,2,0,1,0,3,0,3,0,3,2,1,3,0,3,0
68ed2def2034e237058f86be,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2ff,ACHUTAPURAM,5581,63f9989f519359b74389e00c,Yerravaram,586378,5,4,2,7,3,1,7,2,2,10,1,5,4,2,4,0,7,0,11,10,1,8,3,9,2,11,0,11,0
68ed2def2034e237058f86bf,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2ff,ACHUTAPURAM,5581,63f9989f519359b74389e01b,Bhogapuram,586398,6,15,3,23,1,0,21,1,2,22,2,6,13,5,0,6,18,0,24,15,9,18,6,24,0,24,0,23,1
68ed2def2034e237058f86c0,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2ff,ACHUTAPURAM,5581,63f998a0519359b74389e02f,Somavaram,586387,2,8,4,10,4,0,7,3,4,11,3,2,8,4,6,0,8,0,14,11,3,8,6,14,0,14,0,13,1
68ed2def2034e237058f86c1,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2ff,ACHUTAPURAM,5581,63f998a0519359b74389e034,Haripalem,586383,3,23,11,25,8,4,30,2,5,36,1,3,23,11,0,0,37,2,35,20,17,18,19,31,6,36,1,33,4
68ed2def2034e237058f86c2,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2ff,ACHUTAPURAM,5581,63f998a0519359b74389e039,Cheemalapalle,586386,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68ed2def2034e237058f86c3,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2ff,ACHUTAPURAM,5581,63f998a1519359b74389e048,Maduthuru,586396,11,19,12,41,0,1,26,4,12,40,2,11,21,10,1,0,41,0,42,17,25,17,25,42,0,41,1,42,0
68ed2def2034e237058f86c4,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2ff,ACHUTAPURAM,5581,63f998a1519359b74389e04d,Duppituru,586403,2,7,3,11,0,1,12,0,0,12,0,2,7,3,2,0,10,0,12,3,9,2,10,7,5,12,0,7,5
68ed2def2034e237058f86c5,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2ff,ACHUTAPURAM,5581,63f998a1519359b74389e052,Dosuru,586395,1,4,1,6,0,0,4,1,1,6,0,1,4,1,0,0,6,0,6,2,4,2,4,6,0,6,0,6,0
68ed2def2034e237058f86c6,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2ff,ACHUTAPURAM,5581,63f998a1519359b74389e057,Kondakarla,586384,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
68ed2def2034e237058f86c7,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2ff,ACHUTAPURAM,5581,63f998a2519359b74389e061,Pedapadu,586381,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0
68ed2def2034e237058f86c8,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2ff,ACHUTAPURAM,5581,63f998a2519359b74389e06b,Chodapalle,586399,4,14,9,27,0,0,17,4,6,26,1,5,14,8,6,0,21,0,27,13,14,7,20,21,6,27,0,25,2
68ed2def2034e237058f86c9,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2ff,ACHUTAPURAM,5581,63f998a2519359b74389e070,Uppavaram,586377,1,2,2,4,0,1,0,1,4,2,3,1,2,2,2,0,3,0,5,2,3,2,3,4,1,5,0,5,0
