_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f861a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f99877519359b74389dbb2,ANAKAPALLE NORTH,929947,22,41,32,66,12,17,63,4,28,89,7,24,38,33,3,1,91,8,87,61,32,70,22,92,2,89,6,80,10
68ed2def2034e237058f861b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f99877519359b74389dbb7,Bowluvada (CT),586202,4,12,3,10,5,4,14,2,4,20,0,5,10,4,1,0,18,0,19,5,15,17,3,20,0,20,0,20,0
68ed2def2034e237058f861c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f99877519359b74389dbc1,Golagam,586198,3,12,5,19,0,1,11,1,8,19,1,3,12,5,0,0,20,0,20,6,14,20,0,20,0,19,1,17,3
68ed2def2034e237058f861d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f99878519359b74389dbc6,Maredupudi Agraharam,586195,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68ed2def2034e237058f861e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f99878519359b74389dbcb,Maredupudi,586194,4,10,2,11,1,4,16,0,0,15,1,4,9,3,0,0,16,0,16,11,5,14,2,16,0,16,0,11,5
68ed2def2034e237058f861f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f99878519359b74389dbd5,Rebaka,586191,1,8,5,7,3,4,9,1,4,14,0,2,7,5,6,0,8,0,14,8,6,11,3,14,0,14,0,13,1
68ed2def2034e237058f8620,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f99878519359b74389dbda,Vetajangalapalem,586187,0,14,1,17,0,0,3,1,11,15,0,0,14,1,0,0,16,0,15,5,10,12,3,11,4,15,0,12,3
68ed2def2034e237058f8621,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f99878519359b74389dbdf,Venkupalem,586186,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68ed2def2034e237058f8622,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f99879519359b74389dbe4,Kundram,586185,9,8,8,12,3,10,15,0,10,25,0,9,8,8,2,0,23,0,25,6,19,24,1,25,0,25,0,20,5
68ed2def2034e237058f8623,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f99879519359b74389dbe9,Papayya Santha Palem,586177,1,3,3,7,0,0,6,1,0,7,0,1,3,3,0,1,6,0,7,4,3,6,1,7,0,7,0,4,3
68ed2def2034e237058f8624,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f99879519359b74389dbee,Tagarampudi,586173,10,22,3,35,0,0,29,2,4,35,0,10,22,3,1,0,34,0,35,7,28,1,34,33,2,35,0,7,28
68ed2def2034e237058f8625,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f99879519359b74389dbf8,ANAKAPALLI SOUTH - 2,936544,6,7,6,10,0,9,16,0,3,18,1,8,7,4,2,1,16,4,15,12,7,15,4,15,4,19,0,13,2
68ed2def2034e237058f8626,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f99879519359b74389dbfd,Rajupalem,586201,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68ed2def2034e237058f8627,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f9987a519359b74389dc02,Sankaram,586199,3,13,5,21,0,0,11,4,6,21,0,3,13,5,0,0,21,0,21,13,8,20,1,21,0,20,1,19,2
68ed2def2034e237058f8628,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f9987a519359b74389dc07,Bhatlapudi,586197,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0
68ed2def2034e237058f8629,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f9987a519359b74389dc16,Thummapala,586190,16,46,16,72,2,5,61,4,13,76,2,17,40,21,0,0,78,0,78,34,43,55,23,78,0,76,2,55,20
68ed2def2034e237058f862a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f9987a519359b74389dc1b,Pisinikada,586189,10,11,4,25,0,0,22,2,1,24,1,9,13,3,3,0,22,0,25,5,20,11,14,24,1,25,0,8,17
68ed2def2034e237058f862b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f9987b519359b74389dc20,Sampathipuram,586188,2,3,3,7,0,1,4,2,2,8,0,2,3,3,0,2,6,1,7,8,0,8,0,8,0,8,0,8,0
68ed2def2034e237058f862c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f9987b519359b74389dc25,Kunchangi,586184,11,8,14,20,3,10,26,1,6,32,1,12,7,14,5,0,28,1,32,16,17,32,1,33,0,33,0,27,6
68ed2def2034e237058f862d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f9987b519359b74389dc2a,Seethanagaram,586183,0,16,8,21,0,4,24,0,0,24,0,0,16,8,0,3,21,6,18,15,9,19,5,24,0,24,0,12,12
68ed2def2034e237058f862e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f9987b519359b74389dc2f,Marturu,586182,8,13,4,25,0,0,10,6,9,25,0,8,12,5,7,0,17,5,20,11,14,21,4,24,1,25,0,14,11
68ed2def2034e237058f862f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f9987c519359b74389dc39,Chintanippula Agraharam,586180,5,10,9,21,1,2,22,1,1,23,1,5,10,9,0,0,24,2,22,10,14,16,8,24,0,24,0,17,7
68ed2def2034e237058f8630,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f9987c519359b74389dc48,Mamidipalem,586176,0,10,4,14,0,0,12,1,1,11,3,0,10,4,0,0,14,2,12,13,1,14,0,14,0,13,1,12,2
68ed2def2034e237058f8631,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f9987c519359b74389dc4d,Allikhanudupalem,586175,0,2,0,1,0,1,2,0,0,2,0,1,1,0,0,0,2,0,2,2,0,2,0,2,0,2,0,2,0
68ed2def2034e237058f8632,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f9987c519359b74389dc52,Vooderu,586174,3,6,5,13,0,1,12,2,0,14,0,3,6,5,1,0,13,0,14,1,13,5,9,13,1,14,0,5,9
68ed2def2034e237058f8633,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f9987d519359b74389dc57,Jagannadhapuram,586172,1,2,0,2,0,1,2,0,1,3,0,1,2,0,0,0,3,0,3,0,3,1,2,3,0,3,0,2,1
68ed2def2034e237058f8634,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f9987d519359b74389dc5c,ANAKAPALLE SOUTH,929948,17,21,4,23,11,8,28,7,7,37,5,21,18,3,3,3,36,1,41,16,26,32,10,40,2,41,1,34,8
