_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f864f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99883519359b74389dd00,Gantikorlam,586248,7,20,3,31,0,0,20,2,8,28,2,7,20,3,0,0,30,4,26,23,7,10,20,30,0,29,1,30,0
68ed2def2034e237058f8650,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99883519359b74389dd05,R. Sivarampuram,586269,2,10,17,28,1,0,15,4,10,28,1,1,12,16,4,0,26,1,28,18,11,25,4,29,0,29,0,28,1
68ed2def2034e237058f8651,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99883519359b74389dd0f,Rajam,586258,6,13,14,33,0,0,15,4,14,33,0,7,13,13,2,0,31,0,33,30,3,30,3,33,0,33,0,25,8
68ed2def2034e237058f8652,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99884519359b74389dd19,Pedapudi Agraharam,586264,1,1,1,3,0,0,2,0,1,2,1,1,1,1,1,0,2,0,3,3,0,3,0,3,0,3,0,3,0
68ed2def2034e237058f8653,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99884519359b74389dd1e,Komallapudi,586249,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68ed2def2034e237058f8654,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99884519359b74389dd23,Mangalapuram,586237,0,6,0,5,0,1,5,0,1,6,0,0,6,0,1,0,5,0,6,5,1,5,1,6,0,6,0,6,0
68ed2def2034e237058f8655,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99884519359b74389dd28,Pottidorapalem,586245,2,11,14,26,1,0,21,1,5,27,0,2,12,13,5,0,22,0,27,25,2,14,13,27,0,27,0,26,1
68ed2def2034e237058f8656,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99885519359b74389dd37,P. Bheemavaram,586243,7,13,13,33,0,0,28,1,4,33,0,7,12,14,2,0,31,0,33,30,3,33,0,31,2,33,0,33,0
68ed2def2034e237058f8657,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99885519359b74389dd3c,Dibbidi,586242,11,15,9,33,2,0,31,0,4,35,0,12,15,8,1,4,30,0,35,35,0,12,23,35,0,35,0,35,0
68ed2def2034e237058f8658,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99885519359b74389dd4b,Typuram,586259,4,5,0,9,1,0,5,1,3,9,0,4,5,0,2,0,7,0,9,10,0,6,3,9,0,9,0,8,1
68ed2def2034e237058f8659,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99886519359b74389dd55,Peda Madina,586262,0,2,1,3,0,0,0,0,3,3,0,0,2,1,0,0,3,0,3,3,0,3,0,3,0,3,0,3,0
68ed2def2034e237058f865a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99886519359b74389dd5a,Chittiyyapalem,586260,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68ed2def2034e237058f865b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99886519359b74389dd5f,Mallam,586273,6,11,13,28,2,0,26,0,4,28,2,9,11,10,4,0,26,0,30,27,3,16,14,30,0,30,0,30,0
68ed2def2034e237058f865c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99886519359b74389dd64,L.Singavaram,586244,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68ed2def2034e237058f865d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99886519359b74389dd69,Lopudi,586235,9,25,2,36,0,0,23,2,11,35,1,9,25,2,1,0,35,0,36,36,0,14,22,36,0,36,0,36,0
68ed2def2034e237058f865e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99887519359b74389dd78,Vaddadi,586239,12,28,18,58,0,0,42,1,15,55,3,12,28,18,4,0,54,0,58,41,18,55,3,58,0,58,1,59,0
68ed2def2034e237058f865f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99887519359b74389dd82,Vijayaramarajupeta,586238,5,21,3,26,1,2,27,0,2,24,5,6,20,3,0,0,29,0,29,26,3,29,0,29,0,29,0,29,0
68ed2def2034e237058f8660,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99887519359b74389dd87,Butchayyapeta,586255,0,11,1,12,0,0,9,0,3,12,0,0,10,2,0,0,12,0,12,12,0,12,0,12,0,12,0,12,0
68ed2def2034e237058f8661,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99888519359b74389dd96,Turakalapudi,586268,13,12,10,35,0,0,24,1,10,35,0,12,13,10,17,0,18,1,34,31,4,31,4,35,0,35,0,35,0
68ed2def2034e237058f8662,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99888519359b74389dd9b,Kondempudi,586250,0,1,1,2,0,0,2,0,0,2,0,1,1,0,0,0,2,0,2,2,0,2,0,2,0,2,0,2,0
68ed2def2034e237058f8663,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99888519359b74389dda0,Aithampudi,586254,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68ed2def2034e237058f8664,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99889519359b74389ddaa,Kondapalem Agraharam,586251,3,17,3,23,0,0,16,0,7,23,0,4,17,2,8,0,15,0,23,23,0,10,13,23,0,23,0,22,1
68ed2def2034e237058f8665,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99889519359b74389ddb4,Gunnempudi,586252,1,12,6,19,0,0,16,0,3,19,0,1,11,7,0,0,19,6,13,19,0,5,14,19,0,19,0,19,0
68ed2def2034e237058f8666,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99889519359b74389ddbe,Kandipudi,586256,8,23,7,38,0,0,31,0,7,37,1,8,23,7,2,0,36,1,37,38,0,14,24,38,0,38,0,38,0
68ed2def2034e237058f8667,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f9988a519359b74389ddc3,Chintapaka,586263,1,15,14,30,0,0,24,0,6,28,2,1,16,13,6,0,24,0,30,30,0,14,16,30,0,28,2,28,2
