_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f8635,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e305,CHODAVARAM,5590,63f9987d519359b74389dc63,Ankupalem,586217,6,18,6,21,5,4,16,4,10,30,0,6,16,8,1,0,29,0,30,24,6,30,0,30,0,27,3,30,0
68ed2def2034e237058f8636,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e305,CHODAVARAM,5590,63f9987d519359b74389dc68,Sreerampatnam,586216,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0
68ed2def2034e237058f8637,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e305,CHODAVARAM,5590,63f9987d519359b74389dc6d,Gandhavaram,586232,10,5,3,11,2,5,5,7,6,18,0,11,5,2,0,0,18,0,18,18,0,17,1,18,0,18,0,18,0
68ed2def2034e237058f8638,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e305,CHODAVARAM,5590,63f9987e519359b74389dc77,Khandipalle,586206,13,15,9,37,0,0,34,2,1,33,4,15,14,8,1,0,36,0,37,31,6,34,3,37,0,32,5,36,1
68ed2def2034e237058f8639,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e305,CHODAVARAM,5590,63f9987f519359b74389dc81,Chodavaram (CT),586233,5,49,10,52,1,11,47,6,11,62,2,5,51,8,5,0,59,0,64,61,3,61,3,64,0,64,0,59,5
68ed2def2034e237058f863a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e305,CHODAVARAM,5590,63f9987f519359b74389dc86,Bhogapuram,586229,13,8,7,25,0,3,13,6,9,27,1,13,8,7,0,0,28,0,28,26,2,28,0,28,0,27,1,28,0
68ed2def2034e237058f863b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e305,CHODAVARAM,5590,63f9987f519359b74389dc8b,Chakipalle,586228,4,19,11,19,9,6,22,3,9,34,0,4,17,13,1,0,33,0,34,33,1,29,5,34,0,34,0,31,3
68ed2def2034e237058f863c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e305,CHODAVARAM,5590,63f9987f519359b74389dc90,Thimmannapalem,586227,2,8,2,6,1,5,9,1,2,10,2,2,7,3,0,0,12,0,12,11,1,12,0,12,0,12,0,12,0
68ed2def2034e237058f863d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e305,CHODAVARAM,5590,63f9987f519359b74389dc9a,Laxmipuram,586203,9,17,1,15,8,4,16,5,6,27,0,9,16,2,0,0,27,1,26,25,2,27,0,26,1,26,1,23,4
68ed2def2034e237058f863e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e305,CHODAVARAM,5590,63f99880519359b74389dc9f,Narasayyapeta,586214,12,10,5,22,2,3,17,0,10,27,0,12,10,5,8,0,19,0,27,25,2,21,6,27,0,26,1,27,0
