_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f8534,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e309,GOLUGONDA,5595,63f9983b519359b74389d515,Komira,585773,5,4,4,12,1,0,4,2,7,12,1,5,6,2,0,0,13,0,13,13,0,8,5,13,0,13,0,13,0
68ed2def2034e237058f8535,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e309,GOLUGONDA,5595,63f9983b519359b74389d51a,Gopalapatnam,585784,1,4,0,5,0,0,4,0,1,3,2,1,4,0,0,0,5,2,3,5,0,2,3,5,0,5,0,5,0
68ed2def2034e237058f8536,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e309,GOLUGONDA,5595,63f9983b519359b74389d51f,Jammavaram,585787,3,2,1,6,0,0,0,0,6,6,0,2,3,1,0,0,6,0,6,6,0,6,0,6,0,6,0,6,0
68ed2def2034e237058f8537,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e309,GOLUGONDA,5595,63f9983b519359b74389d524,Jammadevipeta,585781,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68ed2def2034e237058f8538,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e309,GOLUGONDA,5595,63f9983c519359b74389d529,Konkasingi,585755,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68ed2def2034e237058f8539,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e309,GOLUGONDA,5595,63f9983c519359b74389d52e,Gadampalem,585783,0,9,0,3,3,3,7,0,2,9,0,0,9,0,0,0,9,0,9,9,0,7,2,9,0,9,0,9,0
68ed2def2034e237058f853a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e309,GOLUGONDA,5595,63f9983c519359b74389d533,Krishnadevipeta,585757,4,19,10,31,1,1,18,1,14,23,10,4,18,11,29,0,4,0,33,13,20,14,19,33,0,31,2,32,1
68ed2def2034e237058f853b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e309,GOLUGONDA,5595,63f9983c519359b74389d542,Cheedigummala,585776,0,8,1,8,0,1,8,0,1,9,0,0,8,1,6,0,3,0,9,9,0,8,1,9,0,8,1,9,0
68ed2def2034e237058f853c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e309,GOLUGONDA,5595,63f9983d519359b74389d54c,Mungerlapalem,585772,6,9,14,25,3,1,16,1,12,23,6,5,9,15,5,1,23,0,29,27,2,23,6,29,0,29,0,29,0
68ed2def2034e237058f853d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e309,GOLUGONDA,5595,63f9983d519359b74389d551,Cheedikada,585753,1,12,9,22,1,1,12,3,7,22,0,1,13,8,0,0,22,0,22,22,0,21,1,22,0,22,0,21,1
