_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f85e1,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30d,K.KOTAPADU,5598,63f99867519359b74389d9e0,Gavarapalem,586006,7,1,2,10,0,0,10,0,0,10,0,4,4,2,0,0,10,0,10,9,1,1,9,9,1,10,0,10,0
68ed2def2034e237058f85e2,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30d,K.KOTAPADU,5598,63f99867519359b74389d9e5,Kavi Konda Agraharam,586025,1,2,2,3,1,1,5,0,0,4,1,1,2,2,0,0,5,0,5,5,0,0,5,5,0,5,0,5,0
68ed2def2034e237058f85e3,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30d,K.KOTAPADU,5598,63f99867519359b74389d9ea,Santhapalem,586024,6,13,7,15,1,10,23,2,1,25,2,6,13,7,0,0,26,1,25,25,1,9,17,21,5,26,0,26,0
68ed2def2034e237058f85e4,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30d,K.KOTAPADU,5598,63f99867519359b74389d9ef,Pathavalasa,586026,2,2,0,2,0,2,4,0,0,4,0,2,2,0,1,0,3,0,4,4,0,1,3,4,0,4,0,4,0
68ed2def2034e237058f85e5,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30d,K.KOTAPADU,5598,63f99867519359b74389d9f4,Gullepalle,586019,10,21,15,29,2,15,43,0,3,44,2,9,21,16,11,0,35,0,46,37,9,9,37,41,5,45,1,46,0
68ed2def2034e237058f85e6,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30d,K.KOTAPADU,5598,63f99868519359b74389d9f9,Gotlam,586027,0,5,1,3,0,3,6,0,0,6,0,0,5,1,0,0,6,0,6,6,0,4,2,6,0,6,0,6,0
68ed2def2034e237058f85e7,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30d,K.KOTAPADU,5598,63f99868519359b74389da03,Gondupalem,586020,1,14,0,7,1,7,12,0,3,15,0,1,14,0,0,0,15,0,15,14,1,10,5,14,1,15,0,15,0
68ed2def2034e237058f85e8,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30d,K.KOTAPADU,5598,63f99868519359b74389da08,Kintada,586022,5,11,5,19,1,1,21,0,0,20,1,5,10,6,9,0,12,0,21,20,1,2,19,18,3,21,0,21,0
68ed2def2034e237058f85e9,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30d,K.KOTAPADU,5598,63f99868519359b74389da0d,Medicherla,586014,9,13,7,27,0,2,28,0,1,28,1,11,12,6,8,0,21,0,29,24,5,7,22,26,3,29,0,29,0
68ed2def2034e237058f85ea,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30d,K.KOTAPADU,5598,63f99868519359b74389da12,Kintadakotapadu,586021,5,8,10,16,1,6,19,2,2,21,2,5,8,10,10,0,13,0,23,22,1,4,19,18,4,23,0,23,0
