_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f8668,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988a519359b74389ddca,Rajupeta,586282,2,3,8,11,2,0,11,1,1,13,0,2,3,8,0,1,12,0,13,13,0,11,2,13,0,13,0,13,0
68ed2def2034e237058f8669,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988b519359b74389ddcf,Kotauratla,586283,5,24,5,6,13,15,20,1,13,32,2,5,23,6,0,0,34,0,34,32,2,11,23,34,0,33,1,34,0
68ed2def2034e237058f866a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988b519359b74389ddd4,Lingapuram,586284,1,23,4,0,27,1,12,2,14,28,0,1,23,4,0,0,28,0,28,28,0,27,1,28,0,28,0,28,0
68ed2def2034e237058f866b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988b519359b74389ddd9,Pippalla Kothapalle,586286,4,19,4,23,2,2,14,0,13,25,2,4,19,4,0,0,27,0,27,25,2,21,6,25,2,27,0,26,1
68ed2def2034e237058f866c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988b519359b74389dde3,Gottivada,586293,7,17,0,24,0,0,16,0,8,24,0,7,15,2,2,0,22,0,24,24,0,22,2,24,0,24,0,24,0
68ed2def2034e237058f866d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988b519359b74389dde8,Pamulavaka,586274,1,3,22,18,3,5,17,0,9,24,2,2,2,22,0,2,24,0,26,23,3,23,3,24,2,26,0,25,1
68ed2def2034e237058f866e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988c519359b74389dded,Sunkapuru,586279,1,4,5,8,2,0,5,0,5,10,0,1,4,5,0,0,10,0,10,10,0,9,1,10,0,10,0,10,0
68ed2def2034e237058f866f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988c519359b74389ddf7,Yendapalle,586277,5,10,6,18,1,2,7,6,8,18,3,4,10,7,0,0,21,1,20,20,1,19,2,21,0,21,0,20,1
68ed2def2034e237058f8670,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988c519359b74389ddfc,Bapiraju Kothapalle,586275,5,28,1,18,1,15,19,1,14,30,4,5,27,2,1,0,33,1,33,30,4,23,11,32,2,32,2,34,0
68ed2def2034e237058f8671,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988c519359b74389de01,Panduru,586294,2,7,15,11,6,7,19,1,4,23,1,3,7,14,0,0,24,0,24,23,1,23,1,24,0,23,1,24,0
68ed2def2034e237058f8672,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988d519359b74389de06,Chinaboddepalle,586287,5,22,2,16,7,6,15,0,14,25,4,6,22,1,0,0,29,0,29,27,2,26,3,29,0,27,2,29,0
68ed2def2034e237058f8673,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988d519359b74389de10,Chowduvada,586291,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0
68ed2def2034e237058f8674,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988d519359b74389de15,Kodavatipudi,586288,9,36,7,45,1,6,26,8,18,48,4,9,35,8,0,0,52,0,52,51,1,44,8,52,0,51,1,52,0
68ed2def2034e237058f8675,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988d519359b74389de1f,Kailasapatnam,586290,6,14,3,4,8,11,13,3,7,20,3,6,14,3,0,0,23,0,23,22,1,6,17,23,0,23,0,23,0
68ed2def2034e237058f8676,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988e519359b74389de24,Thangedu,586280,0,3,25,20,4,4,15,0,13,26,2,0,2,26,0,0,28,0,28,28,0,26,2,26,1,28,0,28,0
68ed2def2034e237058f8677,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988e519359b74389de29,Jalluru,586278,1,10,5,14,1,1,8,0,8,14,2,1,9,6,0,0,16,0,16,14,2,13,3,15,1,16,0,16,0
68ed2def2034e237058f8678,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988e519359b74389de2e,Bodapalem,586285,3,18,3,14,3,7,20,0,4,22,2,3,18,3,2,0,22,0,24,23,1,18,6,24,0,24,0,24,0
68ed2def2034e237058f8679,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988e519359b74389de33,Annavaram,586276,19,5,3,12,3,12,20,0,7,26,1,20,3,4,0,0,27,0,27,26,1,24,3,26,1,27,0,27,0
