_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f8589,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e311,MADUGULA,5602,63f9984f519359b74389d752,P.Sivaram Puram,585908,1,3,0,3,0,1,2,2,0,4,0,0,4,0,0,0,4,1,3,4,0,4,0,4,0,4,0,4,0
68ed2def2034e237058f858a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e311,MADUGULA,5602,63f99850519359b74389d757,Avuruvada,585901,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
68ed2def2034e237058f858b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e311,MADUGULA,5602,63f99850519359b74389d766,Madugula,585878,19,60,3,50,13,20,50,9,24,82,1,20,60,3,1,0,82,43,40,71,12,71,12,82,1,65,18,82,1
68ed2def2034e237058f858c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e311,MADUGULA,5602,63f99850519359b74389d76b,Sankaram,585873,1,4,1,2,2,2,5,0,1,6,0,1,3,2,0,0,6,0,6,6,0,6,0,6,0,6,0,6,0
68ed2def2034e237058f858d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e311,MADUGULA,5602,63f99851519359b74389d770,M.K.Vallapuram,585884,5,6,4,9,0,6,12,1,2,15,0,5,6,4,0,1,14,0,15,14,1,10,5,15,0,14,1,15,0
68ed2def2034e237058f858e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e311,MADUGULA,5602,63f99851519359b74389d775,Satyavaram,585886,7,35,3,40,2,5,35,5,7,47,0,8,37,2,0,1,46,37,10,41,6,35,12,47,0,43,4,47,0
68ed2def2034e237058f858f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e311,MADUGULA,5602,63f99851519359b74389d77a,Lakshmipuram,585917,0,5,0,2,1,2,2,3,0,5,0,0,5,0,0,0,5,3,2,5,0,4,1,5,0,5,0,5,0
68ed2def2034e237058f8590,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e311,MADUGULA,5602,63f99851519359b74389d77f,Pothanapudi Araharam,585920,1,30,2,24,7,2,24,4,5,33,0,3,28,2,0,0,33,9,24,32,1,29,4,33,0,27,6,33,0
68ed2def2034e237058f8591,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e311,MADUGULA,5602,63f99851519359b74389d784,Vommali,585911,8,16,8,12,8,12,17,6,9,30,2,8,15,9,0,0,32,8,24,28,4,31,1,32,0,26,6,32,0
68ed2def2034e237058f8592,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e311,MADUGULA,5602,63f99852519359b74389d789,Jammadevipeta,585905,6,13,6,17,5,4,9,13,4,25,1,6,14,6,0,0,26,5,21,25,1,26,0,25,1,21,5,26,0
