_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f867a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e313,MAKAVARAPALEM,5603,63f9988e519359b74389de3f,Gangavaram,586296,0,1,2,2,0,1,3,0,0,3,0,0,1,2,0,0,3,0,3,3,0,3,0,3,0,3,0,3,0
68ed2def2034e237058f867b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e313,MAKAVARAPALEM,5603,63f9988f519359b74389de44,Koduru,586319,7,22,17,39,2,5,35,4,7,45,1,7,22,17,3,0,43,0,46,46,0,45,1,46,0,46,0,46,0
68ed2def2034e237058f867c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e313,MAKAVARAPALEM,5603,63f9988f519359b74389de49,Vajragada,586311,7,13,6,16,1,9,22,1,3,22,4,8,13,5,5,0,21,0,26,26,0,24,2,25,1,24,2,26,0
68ed2def2034e237058f867d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e313,MAKAVARAPALEM,5603,63f9988f519359b74389de4e,Giduthuru,586313,1,6,13,19,0,1,13,4,3,16,4,14,2,4,1,0,19,0,20,20,0,19,1,20,0,20,0,19,1
68ed2def2034e237058f867e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e313,MAKAVARAPALEM,5603,63f9988f519359b74389de53,Tamaram,586315,2,16,8,18,5,3,25,1,0,23,3,4,15,7,3,0,23,0,26,26,0,26,0,26,0,24,2,26,0
68ed2def2034e237058f867f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e313,MAKAVARAPALEM,5603,63f9988f519359b74389de58,Settipalem,586306,4,12,3,13,2,4,12,1,6,18,1,4,12,3,0,0,19,0,19,19,0,19,0,19,0,13,6,19,0
68ed2def2034e237058f8680,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e313,MAKAVARAPALEM,5603,63f9988f519359b74389de5d,Makavarapalem,586309,3,14,8,25,0,0,17,1,7,25,0,4,12,9,2,0,23,0,25,25,0,25,0,25,0,22,3,24,1
68ed2def2034e237058f8681,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e313,MAKAVARAPALEM,5603,63f99890519359b74389de62,Bayyavaram,586314,0,7,9,13,2,1,15,1,0,13,3,8,5,3,0,0,16,0,16,16,0,13,3,16,0,16,0,16,0
68ed2def2034e237058f8682,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e313,MAKAVARAPALEM,5603,63f99890519359b74389de67,Burugupalem,586300,12,17,20,25,6,18,40,4,5,47,2,13,17,19,8,0,41,0,49,49,0,48,1,49,0,39,10,49,0
68ed2def2034e237058f8683,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e313,MAKAVARAPALEM,5603,63f99890519359b74389de6c,Venkannapalem,586305,0,3,2,4,0,1,5,0,0,5,0,2,3,0,0,0,5,0,5,5,0,5,0,5,0,5,0,5,0
