_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f86a5,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e315,MUNAGAPAKA,5604,63f99898519359b74389df47,Kakarapalle,586373,1,12,12,18,2,5,16,0,9,22,3,1,12,12,0,0,25,0,25,20,5,19,6,25,0,24,1,25,0
68ed2def2034e237058f86a6,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e315,MUNAGAPAKA,5604,63f99898519359b74389df4c,Vadrapalle,586371,3,26,6,33,0,2,15,0,20,35,0,0,27,8,0,0,35,0,35,22,13,34,1,35,0,34,1,34,1
68ed2def2034e237058f86a7,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e315,MUNAGAPAKA,5604,63f99898519359b74389df51,Vompolu,586361,4,21,7,27,2,3,29,0,3,30,2,6,19,7,0,0,32,0,32,25,7,28,4,31,1,32,0,31,1
68ed2def2034e237058f86a8,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e315,MUNAGAPAKA,5604,63f99898519359b74389df56,Arabupalem,586360,18,8,6,26,1,5,31,0,1,24,8,18,8,6,0,0,32,0,32,3,29,4,27,28,4,30,2,32,0
68ed2def2034e237058f86a9,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e315,MUNAGAPAKA,5604,63f99898519359b74389df5b,Pallapu Anandapuram,586358,13,13,5,22,2,7,26,1,4,31,0,13,13,5,0,0,31,0,31,26,5,30,1,31,0,31,0,31,0
68ed2def2034e237058f86aa,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e315,MUNAGAPAKA,5604,63f99899519359b74389df65,Narendrapuram,586356,0,3,0,2,0,1,1,0,2,3,0,0,3,0,0,0,3,0,3,1,2,3,0,3,0,3,0,3,0
68ed2def2034e237058f86ab,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e315,MUNAGAPAKA,5604,63f99899519359b74389df6a,Madakapalem,586354,4,2,2,7,0,1,8,0,0,8,0,3,2,3,0,0,8,0,8,2,6,8,0,8,0,8,0,8,0
68ed2def2034e237058f86ac,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e315,MUNAGAPAKA,5604,63f99899519359b74389df74,Ganaparthi,586351,8,19,7,28,1,5,33,0,1,32,2,7,21,6,0,0,34,0,34,16,18,33,1,34,0,34,0,34,0
68ed2def2034e237058f86ad,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e315,MUNAGAPAKA,5604,63f99899519359b74389df79,Chuchikonda,586350,0,15,2,12,0,5,16,0,1,16,1,0,15,2,0,0,17,0,17,11,6,12,5,17,0,17,0,17,0
68ed2def2034e237058f86ae,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e315,MUNAGAPAKA,5604,63f9989a519359b74389df83,Rajupeta Agraharam,586374,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
