_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f8619,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e317,NAKKAPALLE,5606,63f99877519359b74389dbab,Donkada,586425,3,8,0,10,0,1,6,0,5,11,0,3,8,0,0,0,11,0,11,11,0,3,8,11,0,10,1,11,0
68ed2def2034e237058f86d6,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e317,NAKKAPALLE,5606,63f998a6519359b74389e0d1,Donivanilakshmipuram,586444,10,7,8,22,0,3,16,1,8,25,0,10,7,8,0,0,25,0,25,25,0,25,0,25,0,25,0,25,0
68ed2def2034e237058f86d7,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e317,NAKKAPALLE,5606,63f998a6519359b74389e0d6,Chinadoddigallu,586435,6,17,7,24,2,4,19,2,9,30,0,6,16,8,0,0,30,0,30,30,0,30,0,30,0,30,0,30,0
68ed2def2034e237058f86d8,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e317,NAKKAPALLE,5606,63f998a6519359b74389e0db,Devavaram,586440,5,10,15,23,0,7,18,1,11,30,0,5,7,18,0,0,30,1,29,30,0,28,2,30,0,30,0,30,0
68ed2def2034e237058f86d9,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e317,NAKKAPALLE,5606,63f998a6519359b74389e0e0,Uddandapuram,586441,4,16,11,20,8,3,23,1,7,30,1,3,15,13,0,0,31,9,22,31,0,31,0,31,0,31,0,31,0
68ed2def2034e237058f86da,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e317,NAKKAPALLE,5606,63f998a6519359b74389e0ea,Pedadoddigallu,586431,8,17,17,12,16,14,26,2,14,41,1,8,18,16,0,0,42,3,39,42,0,30,12,42,0,42,0,42,0
68ed2def2034e237058f86db,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e317,NAKKAPALLE,5606,63f998a7519359b74389e0ef,Kagitha,586446,3,20,9,10,17,5,23,0,9,32,0,4,19,9,0,0,32,18,14,32,0,31,1,32,0,32,0,32,0
68ed2def2034e237058f86dc,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e317,NAKKAPALLE,5606,63f998a7519359b74389e0f4,Chinarambhadrapuram,586439,5,1,0,5,0,1,1,0,5,6,0,5,1,0,0,0,6,0,6,6,0,6,0,6,0,6,0,6,0
68ed2def2034e237058f86dd,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e317,NAKKAPALLE,5606,63f998a7519359b74389e0f9,Godicherla,586438,3,16,12,25,1,5,13,1,17,31,0,3,17,11,1,0,30,1,30,31,0,24,7,31,0,31,0,31,0
68ed2def2034e237058f86de,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e317,NAKKAPALLE,5606,63f998a7519359b74389e0fe,Nellipudi,586442,11,21,2,7,22,5,22,1,11,34,0,8,23,3,0,0,34,2,32,34,0,34,0,34,0,34,0,34,0
