_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f854e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e319,NARSIPATNAM,5607,63f99841519359b74389d5cb,Veerabhupala Patnam,585789,0,2,1,2,0,1,3,0,0,3,0,0,2,1,0,0,3,0,3,0,1,0,0,3,0,3,0,2,1
68ed2def2034e237058f854f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e319,NARSIPATNAM,5607,63f99842519359b74389d5d0,Amalapuram,585799,10,24,7,41,0,0,31,1,9,41,0,10,23,8,0,0,41,0,41,4,37,2,39,19,22,41,0,34,5
68ed2def2034e237058f8550,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e319,NARSIPATNAM,5607,63f99842519359b74389d5d5,Vemulapudi,585798,16,40,22,76,0,2,56,6,16,74,4,20,39,19,6,1,71,0,78,54,21,21,54,67,11,78,0,54,12
68ed2def2034e237058f8551,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e319,NARSIPATNAM,5607,63f99842519359b74389d5df,Dharmasagaram,585796,11,22,6,29,6,4,39,0,0,39,0,14,18,7,0,0,39,0,39,6,5,4,9,37,2,39,0,21,18
68ed2def2034e237058f8552,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e319,NARSIPATNAM,5607,63f99842519359b74389d5e4,Ordinary Laxmipuram,585794,8,10,6,22,0,2,23,1,0,24,0,10,8,6,0,0,24,0,24,5,1,0,0,24,0,24,0,17,7
68ed2def2034e237058f8553,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e319,NARSIPATNAM,5607,63f99843519359b74389d5e9,Guramdorapalem,585792,2,4,1,6,0,1,4,2,1,7,0,2,4,1,0,0,7,0,7,4,0,2,1,5,2,7,0,6,1
68ed2def2034e237058f8554,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e319,NARSIPATNAM,5607,63f99843519359b74389d5ee,Gabbada,585791,10,10,5,22,0,3,23,1,1,24,1,8,12,5,0,0,25,0,25,19,0,6,4,24,1,25,0,22,3
68ed2def2034e237058f8555,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e319,NARSIPATNAM,5607,63f99843519359b74389d5f3,Neelampeta,585790,2,2,4,6,0,2,7,1,0,8,0,2,3,3,0,0,8,0,8,7,0,0,0,7,1,8,0,8,0
68ed2def2034e237058f8556,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e319,NARSIPATNAM,5607,63f99843519359b74389d5f8,Yerakannapalem,585800,7,17,12,36,0,0,32,0,4,36,0,9,16,11,10,0,26,0,36,3,33,5,31,16,20,36,0,21,4
68ed2def2034e237058f8557,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e319,NARSIPATNAM,5607,63f99843519359b74389d5fd,Chettupalle,585793,20,33,17,69,0,0,55,0,14,53,16,25,27,17,1,19,49,0,69,58,10,22,45,69,0,63,6,53,1
68ed2def2034e237058f8558,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e319,NARSIPATNAM,5607,63f99843519359b74389d602,Narsipatnam (CT),585801,6,15,17,27,3,8,37,0,1,38,0,6,15,17,0,0,38,0,38,4,34,31,6,38,0,38,0,5,33
68ed2def2034e237058f8559,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e319,NARSIPATNAM,5607,63f99844519359b74389d607,Peda Boddepalle (CT),585802,1,1,0,2,0,0,0,0,2,2,0,0,2,0,0,0,2,0,2,2,0,2,0,2,0,2,0,2,0
68ed2def2034e237058f855a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e319,NARSIPATNAM,5607,63f99844519359b74389d60c,Balighattam,585795,3,25,6,14,9,11,32,0,2,33,1,4,24,6,0,0,34,0,34,4,27,24,9,34,0,33,1,14,20
