_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f8520,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31b,NATHAVARAM,5608,63f99834519359b74389d450,Sarugudu,585732,5,29,4,38,0,0,34,0,4,38,0,5,29,4,0,0,38,0,38,6,32,2,36,36,2,38,0,37,1
68ed2def2034e237058f8521,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31b,NATHAVARAM,5608,63f99834519359b74389d45a,Gummidigonda,585730,1,15,8,20,0,4,24,0,0,24,0,1,16,7,1,0,23,0,24,19,5,5,19,24,0,24,0,18,4
68ed2def2034e237058f8522,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31b,NATHAVARAM,5608,63f99835519359b74389d45f,Vedurupalle,585733,5,3,4,12,0,0,7,0,5,12,0,5,3,4,0,0,12,0,12,9,3,0,12,11,1,12,0,7,2
68ed2def2034e237058f8523,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31b,NATHAVARAM,5608,63f99835519359b74389d464,Pichchiganti Kothagudam,585738,5,32,2,36,0,3,36,0,3,39,0,3,33,3,2,1,36,0,39,29,10,9,30,34,5,39,0,36,3
68ed2def2034e237058f8524,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31b,NATHAVARAM,5608,63f99836519359b74389d487,Manyapuratla,585744,6,30,8,25,0,19,37,1,6,44,0,7,28,9,0,0,44,0,44,31,13,9,35,35,9,44,0,42,2
68ed2def2034e237058f8525,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31b,NATHAVARAM,5608,63f99836519359b74389d48c,Srungavaram,585746,5,27,7,31,0,8,35,0,4,39,0,6,27,6,0,0,39,0,39,36,3,16,23,38,1,39,0,39,0
68ed2def2034e237058f8526,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31b,NATHAVARAM,5608,63f99836519359b74389d491,Yellavaram Dondapeta,585719,5,24,5,33,0,1,33,0,1,33,1,5,24,5,0,0,34,0,34,11,23,6,28,34,0,34,0,34,0
68ed2def2034e237058f8527,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31b,NATHAVARAM,5608,63f99837519359b74389d4aa,Cherlopalem,585722,5,27,9,38,0,3,41,0,0,41,0,4,28,9,0,0,41,0,41,9,32,6,35,8,33,41,0,13,28
68ed2def2034e237058f8528,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31b,NATHAVARAM,5608,63f99837519359b74389d4af,Zilledipudi,585723,10,11,14,31,0,4,34,0,1,35,0,12,10,13,4,0,31,0,35,32,3,2,33,33,2,35,0,31,2
68ed2def2034e237058f8529,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31b,NATHAVARAM,5608,63f99837519359b74389d4b4,Nathavaram,585725,7,22,6,32,1,3,22,0,13,35,0,7,23,5,4,0,31,0,35,12,23,2,33,32,3,35,0,17,18
68ed2def2034e237058f852a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31b,NATHAVARAM,5608,63f99838519359b74389d4c3,Valasampeta,585717,2,18,5,20,2,3,24,0,1,24,1,2,19,4,0,0,25,0,25,6,19,10,15,17,8,25,0,23,2
68ed2def2034e237058f852b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31b,NATHAVARAM,5608,63f99838519359b74389d4cd,Mulagapudi Bennavaram,585721,6,19,9,31,2,1,25,0,9,34,0,6,19,9,0,0,34,0,34,7,27,8,26,34,0,34,0,32,2
68ed2def2034e237058f852c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31b,NATHAVARAM,5608,63f99839519359b74389d4d2,Gannavaram,585752,1,23,5,7,0,22,29,0,0,29,0,1,23,5,0,0,29,0,29,2,27,7,22,13,16,29,0,19,10
68ed2def2034e237058f852d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31b,NATHAVARAM,5608,63f99839519359b74389d4d7,Adivikamayya Agraharam,585718,0,8,2,9,0,1,8,0,2,7,3,0,8,2,1,0,9,0,10,3,7,2,8,6,4,10,0,7,3
68ed2def2034e237058f852e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31b,NATHAVARAM,5608,63f99839519359b74389d4dc,China Jaggampeta,585726,0,4,0,4,0,0,4,0,0,4,0,0,4,0,2,0,2,0,4,0,4,0,4,4,0,4,0,3,1
68ed2def2034e237058f852f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31b,NATHAVARAM,5608,63f99839519359b74389d4e6,Mallubhupala Patnam,585747,7,24,13,30,0,14,42,1,1,43,1,7,22,15,2,1,41,0,44,44,0,9,35,44,0,44,0,42,2
68ed2def2034e237058f8530,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31b,NATHAVARAM,5608,63f9983a519359b74389d4eb,Gunupudi,585735,6,21,13,33,1,6,38,1,1,39,1,6,19,15,4,0,36,0,40,6,34,6,34,18,22,40,0,21,19
68ed2def2034e237058f8531,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31b,NATHAVARAM,5608,63f9983a519359b74389d4fa,Dharmavaram Agraharam,585736,0,3,0,3,0,0,2,0,1,3,0,0,3,0,0,0,3,0,3,2,1,1,2,3,0,3,0,3,0
68ed2def2034e237058f8532,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31b,NATHAVARAM,5608,63f9983a519359b74389d4ff,Rajupeta Agraharam,585743,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68ed2def2034e237058f8533,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31b,NATHAVARAM,5608,63f9983a519359b74389d504,Chammachinta,585715,2,14,10,26,0,0,23,1,2,26,0,2,14,10,0,1,25,0,26,2,24,2,24,2,24,26,0,5,21
