_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f860b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31d,PARAVADA,5611,63f99873519359b74389db3d,Cheepurupalle (East ),586170,0,18,7,24,0,1,19,0,6,16,9,2,20,3,0,0,25,0,25,23,2,21,4,24,1,24,1,23,2
68ed2def2034e237058f860c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31d,PARAVADA,5611,63f99873519359b74389db42,Cheepurupalle (West),586169,2,12,6,20,0,0,16,0,4,20,0,1,19,0,0,0,20,0,20,20,0,18,2,20,0,18,2,20,0
68ed2def2034e237058f860d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31d,PARAVADA,5611,63f99873519359b74389db47,Kalapaka,586168,0,13,3,14,0,2,10,2,4,12,4,4,8,4,0,0,16,0,16,13,3,13,3,16,0,16,0,16,0
68ed2def2034e237058f860e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31d,PARAVADA,5611,63f99873519359b74389db4c,Ravada,586166,0,19,5,23,0,1,21,3,0,24,0,3,17,4,1,0,23,1,23,24,0,23,1,24,0,23,1,24,0
68ed2def2034e237058f860f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31d,PARAVADA,5611,63f99874519359b74389db51,Bharinikam,586165,2,14,5,20,0,1,21,0,0,21,0,5,16,0,0,0,21,0,21,13,8,21,0,21,0,21,0,21,0
68ed2def2034e237058f8610,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31d,PARAVADA,5611,63f99874519359b74389db56,Edulapaka Bonangi,586161,0,8,3,11,0,0,10,1,0,9,2,2,7,2,0,0,11,0,11,10,1,11,0,11,0,11,0,11,0
68ed2def2034e237058f8611,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31d,PARAVADA,5611,63f99874519359b74389db5b,Kannuru,586151,5,3,2,9,0,1,6,1,3,9,1,1,9,0,0,0,10,0,10,10,0,10,0,10,0,9,1,10,0
68ed2def2034e237058f8612,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31d,PARAVADA,5611,63f99874519359b74389db65,P SIVARAMPURAM,929946,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68ed2def2034e237058f8613,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31d,PARAVADA,5611,63f99875519359b74389db6f,Swayambuvaram,586167,0,8,1,8,0,1,7,0,2,6,3,0,8,1,0,0,9,0,9,9,0,8,1,9,0,9,0,9,0
68ed2def2034e237058f8614,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31d,PARAVADA,5611,63f99875519359b74389db74,Paravada,586164,3,15,6,23,1,0,19,2,3,19,5,6,17,1,1,0,23,1,23,22,2,19,5,24,0,21,3,18,6
