_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f86ed,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31f,PAYAKARAOPETA,5612,63f998ab519359b74389e173,Kumarapuram,586467,0,1,9,9,0,1,5,2,3,9,1,0,1,9,0,0,10,4,6,9,1,10,0,10,0,10,0,10,0
68ed2def2034e237058f86ee,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31f,PAYAKARAOPETA,5612,63f998ab519359b74389e178,Pedaramabhadrapuram,586463,0,3,11,13,0,1,7,3,4,14,0,0,6,8,0,0,14,2,12,14,0,13,1,14,0,14,0,14,0
68ed2def2034e237058f86ef,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31f,PAYAKARAOPETA,5612,63f998ab519359b74389e17d,Palteru,586464,4,9,12,21,0,4,14,3,8,25,0,4,9,12,0,0,25,6,19,25,0,22,3,25,0,24,1,25,0
68ed2def2034e237058f86f0,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31f,PAYAKARAOPETA,5612,63f998ac519359b74389e182,Aratla Kota,586462,5,6,3,12,0,2,9,0,5,13,1,5,6,3,1,0,13,5,9,14,0,6,8,14,0,14,0,14,0
68ed2def2034e237058f86f1,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31f,PAYAKARAOPETA,5612,63f998ac519359b74389e187,Edatam,586466,0,9,9,16,0,2,10,4,4,17,1,0,9,9,0,0,18,8,10,18,0,17,1,18,0,18,0,18,0
68ed2def2034e237058f86f2,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31f,PAYAKARAOPETA,5612,63f998ac519359b74389e191,Satyavaram,586460,10,3,8,19,0,2,9,7,5,19,2,10,3,8,1,0,20,14,7,21,0,19,2,21,0,21,0,21,0
68ed2def2034e237058f86f3,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31f,PAYAKARAOPETA,5612,63f998ac519359b74389e196,Namavaram,586457,0,3,2,5,0,0,3,0,2,4,1,0,3,2,0,0,5,1,4,5,0,5,0,5,0,5,0,5,0
68ed2def2034e237058f86f4,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31f,PAYAKARAOPETA,5612,63f998ac519359b74389e19b,Payakaraopeta (CT),586474,0,4,4,7,0,1,7,1,0,4,4,0,4,4,0,0,8,0,8,8,0,8,0,8,0,8,0,8,0
68ed2def2034e237058f86f5,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31f,PAYAKARAOPETA,5612,63f998ad519359b74389e1a0,Masahebpeta,586471,3,13,8,23,0,1,24,0,0,24,0,3,12,9,0,0,24,15,9,24,0,6,18,24,0,24,0,24,0
68ed2def2034e237058f86f6,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31f,PAYAKARAOPETA,5612,63f998ad519359b74389e1a5,Mangavaram,586461,2,8,5,13,1,1,6,4,5,14,1,2,9,4,0,0,15,0,15,15,0,15,0,15,0,15,0,14,1
