_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f870b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e321,RAMBILLI,5616,63f998b2519359b74389e244,Kattabolu,586519,4,11,12,20,2,5,24,2,1,25,2,5,10,11,0,0,27,0,27,26,1,27,0,27,0,26,1,26,1
68ed2def2034e237058f870c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e321,RAMBILLI,5616,63f998b2519359b74389e24e,Rajala Agraharam,586522,12,6,18,25,3,8,27,6,3,34,2,17,4,15,0,2,34,27,9,34,2,35,0,36,0,35,1,34,2
68ed2def2034e237058f870d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e321,RAMBILLI,5616,63f998b3519359b74389e258,Haripuram,586501,3,10,1,11,0,4,14,1,0,15,0,3,9,2,0,0,14,4,10,9,6,15,0,15,0,14,1,15,0
68ed2def2034e237058f870e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e321,RAMBILLI,5616,63f998b3519359b74389e262,Kumarapalle,586517,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68ed2def2034e237058f870f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e321,RAMBILLI,5616,63f998b4519359b74389e276,Marripalem,586521,0,4,0,2,2,1,2,3,0,4,1,1,2,0,0,1,4,4,1,4,1,5,0,5,0,4,1,5,0
68ed2def2034e237058f8710,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e321,RAMBILLI,5616,63f998b4519359b74389e280,Lalam Koduru,586512,5,4,7,11,2,3,9,2,5,16,0,5,3,8,0,1,15,0,16,14,2,16,0,16,0,16,0,16,0
68ed2def2034e237058f8711,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e321,RAMBILLI,5616,63f998b4519359b74389e285,Gorapudi,586513,0,2,0,1,1,0,1,0,1,2,0,0,2,0,0,0,2,0,2,2,0,2,0,2,0,2,0,2,0
68ed2def2034e237058f8712,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e321,RAMBILLI,5616,63f998b5519359b74389e28a,Velchuru,586515,8,6,18,16,10,6,21,3,8,32,0,8,6,18,0,0,32,1,31,30,2,32,0,31,1,21,11,31,1
68ed2def2034e237058f8713,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e321,RAMBILLI,5616,63f998b5519359b74389e28f,Panchadarla,586502,3,2,3,5,1,2,6,1,1,8,0,3,3,2,3,0,5,0,8,7,1,8,0,8,0,8,0,8,0
68ed2def2034e237058f8714,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e321,RAMBILLI,5616,63f998b5519359b74389e299,Zirayati Chintuva,586526,1,1,0,2,0,0,1,0,1,2,0,1,1,0,0,0,2,0,2,2,0,2,0,2,0,2,0,2,0
