_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f8571,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e323,RAVIKAMATHAM,5617,63f99849519359b74389d6ab,Dharmavaram,585835,0,1,1,1,0,1,1,0,1,2,0,0,1,1,0,0,2,0,2,2,0,2,0,2,0,2,0,2,0
68ed2def2034e237058f8572,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e323,RAVIKAMATHAM,5617,63f99849519359b74389d6b0,Z.Kothapatnam,585836,6,13,10,14,4,11,22,0,7,25,4,7,13,9,0,0,29,0,29,27,2,25,4,29,0,28,1,29,0
68ed2def2034e237058f8573,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e323,RAVIKAMATHAM,5617,63f9984a519359b74389d6b5,Z.Bennavaram,585837,0,7,3,5,2,3,8,0,2,10,0,0,7,3,0,0,10,0,10,9,1,8,2,10,0,10,0,10,0
68ed2def2034e237058f8574,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e323,RAVIKAMATHAM,5617,63f9984a519359b74389d6ba,Badanapadu,585840,1,3,1,3,0,2,3,0,2,5,0,1,3,1,0,0,5,0,5,3,2,5,0,5,0,5,0,5,0
68ed2def2034e237058f8575,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e323,RAVIKAMATHAM,5617,63f9984a519359b74389d6bf,Tattabanda,585864,1,20,9,24,5,1,24,1,5,30,0,1,20,9,0,0,30,0,30,29,1,21,9,30,0,21,9,30,0
68ed2def2034e237058f8576,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e323,RAVIKAMATHAM,5617,63f9984a519359b74389d6c9,Kanada,585854,4,8,2,14,0,0,13,0,1,14,0,4,7,3,0,0,14,0,14,10,4,9,5,14,0,11,3,14,0
68ed2def2034e237058f8577,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e323,RAVIKAMATHAM,5617,63f9984b519359b74389d6ce,Guddipa,585862,5,13,16,10,3,21,31,1,2,33,1,5,14,15,2,0,32,1,33,34,0,29,5,33,1,34,0,34,0
68ed2def2034e237058f8578,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e323,RAVIKAMATHAM,5617,63f9984b519359b74389d6d8,Kothakota,585859,11,41,8,29,3,30,47,1,14,45,17,14,43,5,0,0,62,0,62,59,3,48,14,62,0,59,3,61,1
68ed2def2034e237058f8579,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e323,RAVIKAMATHAM,5617,63f9984b519359b74389d6dd,Machchavanipalem,585857,2,0,1,3,0,0,3,0,0,3,0,2,0,1,0,0,3,0,3,3,0,3,0,3,0,3,0,3,0
68ed2def2034e237058f857a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e323,RAVIKAMATHAM,5617,63f9984b519359b74389d6e2,Dondapudi,585858,8,13,9,8,3,19,24,1,5,27,3,9,8,13,3,0,27,3,27,30,0,25,5,30,0,28,2,30,0
68ed2def2034e237058f857b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e323,RAVIKAMATHAM,5617,63f9984c519359b74389d6e7,Krishnabhupala Puram Agraharam,585843,2,1,0,2,0,1,2,1,0,1,2,2,1,0,2,0,1,0,3,3,0,3,0,3,0,2,1,3,0
68ed2def2034e237058f857c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e323,RAVIKAMATHAM,5617,63f9984c519359b74389d6ec,Garnikam,585849,8,2,8,10,4,4,15,0,3,17,1,9,2,7,0,0,18,0,18,18,0,18,0,18,0,18,0,18,0
