_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f855b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e325,ROLUGUNTA,5618,63f99844519359b74389d618,Arla,585811,5,0,6,4,6,1,6,2,3,5,6,3,2,6,5,0,6,0,11,10,1,2,0,11,0,11,0,1,0
68ed2def2034e237058f855c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e325,ROLUGUNTA,5618,63f99844519359b74389d61d,Konthalam,585817,4,14,6,16,3,5,22,1,1,20,4,2,14,8,7,0,17,0,24,3,21,3,21,24,0,23,1,15,9
68ed2def2034e237058f855d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e325,ROLUGUNTA,5618,63f99845519359b74389d627,Sarabavaram,585814,9,1,5,5,5,5,11,0,4,5,10,6,2,7,7,0,8,0,15,13,2,3,1,15,0,15,0,6,1
68ed2def2034e237058f855e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e325,ROLUGUNTA,5618,63f99845519359b74389d62c,Bottavanigaviram Peta,585808,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1
68ed2def2034e237058f855f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e325,ROLUGUNTA,5618,63f99845519359b74389d636,Koruprolu,585804,1,1,4,3,2,1,3,0,3,6,0,2,0,4,0,0,6,1,5,6,0,6,0,6,0,4,2,5,1
68ed2def2034e237058f8560,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e325,ROLUGUNTA,5618,63f99845519359b74389d640,Kovvuru,585824,5,16,6,12,7,8,20,1,6,22,5,5,16,6,10,0,17,0,27,10,17,8,12,26,1,23,4,20,7
68ed2def2034e237058f8561,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e325,ROLUGUNTA,5618,63f99846519359b74389d645,Komaravolu,585822,6,12,8,17,3,6,13,3,10,20,6,5,13,8,9,0,17,0,26,18,8,9,11,17,7,26,0,17,9
68ed2def2034e237058f8562,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e325,ROLUGUNTA,5618,63f99846519359b74389d64a,Ratnampeta,585807,5,7,11,13,5,5,17,0,6,14,9,4,7,12,7,0,16,0,23,6,17,3,10,17,6,18,5,19,4
68ed2def2034e237058f8563,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e325,ROLUGUNTA,5618,63f99846519359b74389d64f,Chintalapudi,585812,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1
68ed2def2034e237058f8564,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e325,ROLUGUNTA,5618,63f99846519359b74389d654,Kusarlapudi,585832,10,8,10,18,3,7,18,2,8,16,12,3,15,10,16,0,12,1,27,16,12,11,16,25,2,27,1,26,2
