_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f86fe,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac8680216eb6c93e329,S.RAYAVARAM,5619,63f998ae519359b74389e1d4,Gudivada,586494,2,18,16,1,18,17,29,1,6,36,0,1,21,14,0,4,32,21,15,36,0,16,20,35,1,21,15,32,4
68ed2def2034e237058f86ff,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac8680216eb6c93e329,S.RAYAVARAM,5619,63f998af519359b74389e1d9,Thimmapuram,586492,3,3,4,0,8,2,3,0,7,10,0,5,4,1,0,0,10,0,10,10,0,5,5,9,1,2,8,9,1
68ed2def2034e237058f8700,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac8680216eb6c93e329,S.RAYAVARAM,5619,63f998af519359b74389e1e3,Janguluruvelampalem,586484,4,19,11,18,8,8,24,1,9,33,1,6,17,11,1,0,33,4,30,34,0,34,0,34,0,32,2,34,0
68ed2def2034e237058f8701,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac8680216eb6c93e329,S.RAYAVARAM,5619,63f998af519359b74389e1e8,Dharmavaram Agraharam,586480,1,7,3,4,4,3,3,2,6,11,0,3,6,2,0,0,11,1,10,11,0,8,3,10,1,5,6,5,6
68ed2def2034e237058f8702,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac8680216eb6c93e329,S.RAYAVARAM,5619,63f998af519359b74389e1f2,Peda Uppalam,586495,2,19,2,9,12,2,19,1,3,21,2,3,17,3,0,0,23,0,23,22,1,16,7,23,0,12,11,23,0
68ed2def2034e237058f8703,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac8680216eb6c93e329,S.RAYAVARAM,5619,63f998b0519359b74389e1f7,Koruprolu,586493,27,67,16,64,26,20,90,1,19,95,15,28,61,21,0,1,109,3,107,108,2,73,37,102,8,98,12,94,16
68ed2def2034e237058f8704,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac8680216eb6c93e329,S.RAYAVARAM,5619,63f998b0519359b74389e1fc,Pedagummuluru,586491,2,3,1,1,3,2,5,0,1,6,0,2,3,1,0,0,6,0,6,6,0,6,0,6,0,1,5,2,4
68ed2def2034e237058f8705,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac8680216eb6c93e329,S.RAYAVARAM,5619,63f998b0519359b74389e206,Lingarajupalem,586489,0,1,7,7,0,1,7,1,0,5,3,2,1,5,0,0,8,0,8,8,0,8,0,8,0,8,0,7,1
68ed2def2034e237058f8706,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac8680216eb6c93e329,S.RAYAVARAM,5619,63f998b1519359b74389e215,Sarvasiddi,586485,0,6,3,2,0,7,3,2,4,9,0,0,4,5,0,0,9,0,9,9,0,5,4,9,0,8,1,3,6
68ed2def2034e237058f8707,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac8680216eb6c93e329,S.RAYAVARAM,5619,63f998b1519359b74389e21f,Petasudipuram,586482,11,14,8,19,7,7,27,2,4,32,1,12,14,7,1,0,32,0,33,31,2,18,14,33,0,33,0,30,3
68ed2def2034e237058f8708,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac8680216eb6c93e329,S.RAYAVARAM,5619,63f998b1519359b74389e224,S.Rayavaram,586481,4,13,9,18,5,3,23,1,2,21,5,5,12,9,0,0,26,0,26,26,0,24,2,26,0,24,2,26,0
68ed2def2034e237058f8709,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac8680216eb6c93e329,S.RAYAVARAM,5619,63f998b2519359b74389e233,Chinagummuluru,586476,3,1,1,2,1,2,1,1,3,5,0,3,0,2,0,0,5,0,5,5,0,2,3,5,0,4,1,5,0
68ed2def2034e237058f870a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac8680216eb6c93e329,S.RAYAVARAM,5619,63f998b2519359b74389e238,Pettugollapalle,586475,0,3,0,1,0,2,1,0,2,3,0,0,3,0,0,0,3,0,3,3,0,2,1,1,2,1,2,3,0
