_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f85fb,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e327,SABBAVARAM,5620,63f9986d519359b74389da8c,Gollalapalem,586059,0,1,3,4,0,0,4,0,0,4,0,0,1,3,0,0,4,0,4,4,0,4,0,4,0,4,0,1,3
68ed2def2034e237058f85fc,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e327,SABBAVARAM,5620,63f9986d519359b74389da96,Yerukunaidupalem,586053,0,1,1,2,0,0,2,0,0,2,0,0,1,1,0,0,2,0,2,1,1,1,1,2,0,2,0,0,2
68ed2def2034e237058f85fd,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e327,SABBAVARAM,5620,63f9986e519359b74389daaf,Mogalipuram,586040,5,11,6,20,0,2,18,2,2,21,1,5,11,6,2,0,20,0,22,13,9,13,9,17,5,22,0,17,5
68ed2def2034e237058f85fe,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e327,SABBAVARAM,5620,63f9986e519359b74389dab4,Boduvalasa,586038,1,3,0,2,0,2,3,0,1,4,0,1,3,0,1,0,3,0,4,3,0,3,1,4,0,4,0,4,0
68ed2def2034e237058f85ff,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e327,SABBAVARAM,5620,63f9986e519359b74389dabe,Antakapalle,586035,6,15,10,29,1,1,23,2,6,31,0,6,15,10,1,0,30,0,31,25,6,26,5,31,0,31,0,26,5
68ed2def2034e237058f8600,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e327,SABBAVARAM,5620,63f9986f519359b74389dac3,Vangali,586034,4,9,5,18,0,0,15,1,2,18,0,3,10,5,2,0,16,0,18,18,0,16,2,18,0,18,0,14,4
68ed2def2034e237058f8601,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e327,SABBAVARAM,5620,63f9986f519359b74389dad2,Bangarammapalem,586030,3,5,0,6,1,1,7,0,1,8,0,3,5,0,2,0,6,0,8,6,2,2,6,7,1,8,0,8,0
68ed2def2034e237058f8602,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e327,SABBAVARAM,5620,63f9986f519359b74389dadc,ANJANAGIRI,929872,2,6,0,6,0,2,7,1,0,6,2,2,6,0,2,0,6,1,7,4,4,3,5,8,0,8,0,7,1
68ed2def2034e237058f8603,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e327,SABBAVARAM,5620,63f99870519359b74389daeb,Asakapalle,586054,3,16,3,20,0,2,18,1,3,22,0,3,16,3,1,0,21,1,21,15,7,16,6,21,1,22,0,17,5
68ed2def2034e237058f8604,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e327,SABBAVARAM,5620,63f99870519359b74389daf5,Batajangalapalem,586050,3,5,2,7,0,3,8,0,2,10,0,4,5,1,2,0,8,0,10,10,0,8,2,10,0,10,0,9,1
68ed2def2034e237058f8605,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e327,SABBAVARAM,5620,63f99871519359b74389daff,Narapadu,586048,0,14,2,11,3,2,13,2,1,14,2,2,13,1,3,0,13,0,16,13,3,12,4,16,0,16,0,10,6
