_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f9588,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e36f,CHITVEL,4824,63f99e6d519359b7438a6bfd,Bhakrapuram,593635,0,13,3,7,3,6,9,0,7,11,5,0,16,0,0,0,16,0,16,12,4,2,14,1,15,12,4,16,0
68ed2def2034e237058f9589,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e36f,CHITVEL,4824,63f99e6e519359b7438a6c07,Mallemadugu,593628,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
68ed2def2034e237058f958a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e36f,CHITVEL,4824,63f99e6f519359b7438a6c20,Maharajapuram @Siddareddipalle,593642,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0
68ed2def2034e237058f958b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e36f,CHITVEL,4824,63f99e70519359b7438a6c25,Kampasamudram,593634,0,16,1,9,2,6,10,0,7,13,4,0,17,0,1,0,16,0,17,11,6,6,11,8,9,10,7,16,1
68ed2def2034e237058f958c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e36f,CHITVEL,4824,63f99e70519359b7438a6c2a,Malemarpuram,593627,0,29,5,15,7,12,13,2,19,29,5,0,34,0,1,0,33,0,34,23,11,18,16,26,7,25,9,34,0
68ed2def2034e237058f958d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e36f,CHITVEL,4824,63f99e70519359b7438a6c2f,Chintala Chelika,593629,0,7,4,6,0,5,4,1,6,10,1,0,11,0,0,0,11,0,11,10,1,0,11,3,8,7,4,5,6
68ed2def2034e237058f958e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e36f,CHITVEL,4824,63f99e70519359b7438a6c34,Chitvel,593633,0,30,6,12,9,16,16,3,18,24,13,2,34,0,1,0,35,0,36,26,11,14,23,24,12,22,15,37,0
68ed2def2034e237058f958f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e36f,CHITVEL,4824,63f99e71519359b7438a6c39,Rajukunta,593630,0,4,2,1,4,1,1,0,5,5,1,0,6,0,1,0,5,0,6,3,3,2,4,2,4,4,2,5,1
68ed2def2034e237058f9590,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e36f,CHITVEL,4824,63f99e71519359b7438a6c43,Nagiripadu,593639,0,15,3,5,5,8,10,0,8,12,6,0,18,0,0,0,18,0,17,14,4,12,6,16,2,13,4,18,0
68ed2def2034e237058f9591,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e36f,CHITVEL,4824,63f99e71519359b7438a6c48,Mylapalle,593631,0,11,5,8,3,5,4,1,11,16,0,1,15,0,0,0,16,0,16,14,2,2,14,10,5,12,4,13,3
