_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f9514,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e371,GALIVEEDU,4826,63f99e46519359b7438a6900,Pyarampalle,593488,0,5,0,2,2,1,3,0,2,4,1,0,4,1,0,0,5,0,5,3,2,3,2,5,0,1,4,5,0
68ed2def2034e237058f9515,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e371,GALIVEEDU,4826,63f99e46519359b7438a6905,Pulikunta,593481,0,31,2,18,7,8,7,1,25,25,8,0,28,5,15,0,18,1,32,12,21,2,31,33,0,22,11,20,13
68ed2def2034e237058f9516,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e371,GALIVEEDU,4826,63f99e46519359b7438a690a,Eguvagottiveedu,593492,0,26,0,13,5,8,5,0,21,20,6,0,16,10,20,0,6,1,25,19,7,7,19,26,0,9,17,10,16
68ed2def2034e237058f9517,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e371,GALIVEEDU,4826,63f99e46519359b7438a690f,Araveedu,593491,0,22,0,7,8,7,3,0,19,16,6,0,19,3,6,0,16,1,21,7,15,2,20,22,0,8,14,13,9
68ed2def2034e237058f9518,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e371,GALIVEEDU,4826,63f99e47519359b7438a6914,Galiveedu,593490,0,100,7,33,34,40,27,2,78,78,29,0,75,32,67,0,40,0,107,54,53,29,78,107,0,50,57,91,16
68ed2def2034e237058f9519,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e371,GALIVEEDU,4826,63f99e47519359b7438a6919,Veligallu,593489,0,85,10,66,9,20,33,2,60,42,53,1,65,29,6,0,89,0,95,49,46,56,39,89,5,63,32,82,13
68ed2def2034e237058f951a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e371,GALIVEEDU,4826,63f99e47519359b7438a691e,Gopanapalle,593487,1,27,2,9,10,11,9,0,21,19,11,0,18,12,23,0,7,0,30,15,15,1,29,30,0,17,13,10,20
68ed2def2034e237058f951b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e371,GALIVEEDU,4826,63f99e47519359b7438a6923,Gundlacheruvu,593486,0,27,0,12,9,6,8,0,19,24,3,0,22,5,11,0,16,1,26,4,23,2,25,26,1,14,13,18,9
68ed2def2034e237058f951c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e371,GALIVEEDU,4826,63f99e48519359b7438a6928,Garugupalle,593485,0,14,0,5,3,6,6,0,8,10,3,0,10,4,4,0,10,0,14,10,4,2,12,14,0,3,11,9,5
68ed2def2034e237058f951d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e371,GALIVEEDU,4826,63f99e48519359b7438a692d,Thumukunta,593484,0,26,4,19,5,6,7,0,23,25,5,0,23,7,0,0,30,0,30,18,12,14,16,30,0,23,7,20,10
68ed2def2034e237058f951e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e371,GALIVEEDU,4826,63f99e48519359b7438a6932,Pandikunta,593483,0,23,1,7,7,10,6,0,18,12,12,0,20,4,15,0,9,0,24,14,10,2,22,24,0,11,13,17,7
68ed2def2034e237058f951f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e371,GALIVEEDU,4826,63f99e49519359b7438a6937,Nooliveedu,593482,1,62,7,23,22,25,15,1,54,46,24,0,52,18,11,0,59,1,69,38,32,3,67,70,0,45,25,37,33
