_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f95fb,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f958da89d86ca9e2c0289e,Y.S.R.,504,6492facb680216eb6c93e373,GURRAMKONDA,4761,63f99e96519359b7438a6ee5,Chittiboyanapalle,595647,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0
68ed2def2034e237058f95f6,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e373,GURRAMKONDA,4761,63f99e94519359b7438a6ec2,Tharigondarajupalle,595657,0,14,1,9,4,2,10,0,5,1,14,0,13,2,0,2,13,2,13,7,8,11,4,14,1,0,15,12,3
68ed2def2034e237058f95f7,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e373,GURRAMKONDA,4761,63f99e94519359b7438a6ec7,Ramapuram,595656,0,21,1,14,3,5,15,0,7,0,22,0,17,5,1,0,21,0,22,15,7,19,3,22,0,0,22,17,5
68ed2def2034e237058f95f8,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e373,GURRAMKONDA,4761,63f99e94519359b7438a6ecc,Tharigonda,595655,0,28,0,16,5,8,20,1,8,0,31,0,24,3,0,2,23,1,25,23,10,18,15,30,3,1,31,27,6
68ed2def2034e237058f95f9,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e373,GURRAMKONDA,4761,63f99e95519359b7438a6ed1,Setlivaripalle,595654,0,20,0,14,2,4,8,1,11,1,19,0,17,2,0,1,16,1,17,14,6,16,4,19,0,0,20,17,3
68ed2def2034e237058f95fa,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e373,GURRAMKONDA,4761,63f99e95519359b7438a6ee0,Gurramkonda,595648,0,30,1,13,7,11,19,1,11,2,29,0,27,4,0,0,27,1,30,30,1,26,5,29,2,0,31,25,6
68ed2def2034e237058f95fc,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e373,GURRAMKONDA,4761,63f99e96519359b7438a6eea,Sarimadugu,595646,0,19,0,13,3,3,14,0,6,0,20,1,13,4,0,0,16,0,18,9,11,17,3,19,1,0,20,19,1
68ed2def2034e237058f95fd,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e373,GURRAMKONDA,4761,63f99e96519359b7438a6eef,Cherlopalle,595644,0,10,1,5,3,3,5,0,6,2,9,0,11,0,0,1,8,1,10,11,0,4,7,11,0,0,11,11,0
68ed2def2034e237058f95fe,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e373,GURRAMKONDA,4761,63f99e96519359b7438a6ef4,Pasalavandla Palle,595642,0,37,1,17,8,13,22,1,15,2,36,0,35,3,0,6,31,7,31,26,12,32,6,37,1,1,37,37,1
68ed2def2034e237058f95ff,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e373,GURRAMKONDA,4761,63f99e97519359b7438a6ef9,Marripadu,595658,1,33,3,21,6,10,22,0,15,2,35,0,36,1,0,7,30,7,30,34,3,35,2,35,2,1,36,35,2
68ed2def2034e237058f9600,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e373,GURRAMKONDA,4761,63f99e97519359b7438a6efe,Amilepalle,595652,0,11,0,8,1,3,8,1,4,1,13,0,10,0,0,1,7,1,9,13,3,7,7,15,2,1,13,15,2
68ed2def2034e237058f9601,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e373,GURRAMKONDA,4761,63f99e97519359b7438a6f08,Sangasamudram,595649,0,23,2,11,7,7,18,1,7,0,27,0,21,3,0,5,19,5,19,31,4,19,15,26,11,0,27,37,0
68ed2def2034e237058f9602,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e373,GURRAMKONDA,4761,63f99e98519359b7438a6f0d,Nadimikhandriga,595645,0,29,0,10,7,12,17,1,11,2,27,0,26,3,0,3,26,3,26,11,18,26,3,28,1,0,29,29,0
68ed2def2034e237058f9603,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e373,GURRAMKONDA,4761,63f99e98519359b7438a6f12,Yellutla,595643,0,5,0,3,2,0,3,0,2,1,4,0,5,0,0,0,5,0,5,2,3,3,2,5,0,0,5,5,0
