_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f9604,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e375,KALAKADA,4764,63f99e98519359b7438a6f19,Kalakadakothapalle,595671,0,30,2,18,3,11,20,0,12,21,11,1,30,1,0,0,31,0,31,1,31,15,17,29,3,20,12,26,6
68ed2def2034e237058f9605,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e375,KALAKADA,4764,63f99e98519359b7438a6f1e,Pothavaripalle,595673,0,5,0,3,1,1,2,0,3,4,1,0,4,1,0,0,5,0,5,0,5,1,4,4,1,4,1,5,0
68ed2def2034e237058f9606,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e375,KALAKADA,4764,63f99e99519359b7438a6f28,Devalapalle,595667,0,7,0,5,0,2,7,0,0,5,2,0,7,0,0,0,7,0,7,0,7,3,4,7,0,2,5,6,1
68ed2def2034e237058f9607,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e375,KALAKADA,4764,63f99e9a519359b7438a6f3c,Mudiamvaripalle,595663,1,21,1,15,4,4,12,0,11,17,6,0,22,1,0,0,23,0,23,6,17,18,5,23,0,10,13,23,0
68ed2def2034e237058f9608,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e375,KALAKADA,4764,63f99e9b519359b7438a6f46,Nadimicherla,595659,0,4,0,4,0,0,2,0,2,4,0,1,3,0,0,0,4,0,4,2,2,4,0,4,0,2,2,3,1
68ed2def2034e237058f9609,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e375,KALAKADA,4764,63f99e9b519359b7438a6f50,Kadirayacheruvu,595661,0,12,0,11,0,1,4,0,8,9,3,0,11,1,0,0,12,0,12,2,10,8,4,10,2,5,7,12,0
68ed2def2034e237058f960a,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e375,KALAKADA,4764,63f99e9b519359b7438a6f55,Gudibanda,595669,0,2,0,2,0,0,2,0,0,1,1,0,2,0,0,0,2,0,2,2,0,2,0,2,0,0,2,2,0
68ed2def2034e237058f960b,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e375,KALAKADA,4764,63f99e9c519359b7438a6f5a,Kona,595668,0,22,1,22,0,1,14,0,9,20,3,1,21,1,0,0,23,0,23,2,21,14,9,23,0,11,12,23,0
68ed2def2034e237058f960c,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e375,KALAKADA,4764,63f99e9c519359b7438a6f5f,Kalakada,595672,1,87,3,67,12,12,57,1,33,62,29,4,81,6,1,0,90,0,91,11,80,40,51,85,6,46,45,80,11
68ed2def2034e237058f960d,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e375,KALAKADA,4764,63f99e9c519359b7438a6f64,Gangapuram,595674,0,5,1,3,1,2,5,0,1,2,4,0,6,0,0,0,6,1,5,1,5,5,1,5,1,1,5,6,0
