_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f95bc,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e377,KALIKIRI,4765,63f99e80519359b7438a6d50,Korlakunta,596074,0,16,1,13,1,3,8,0,9,12,5,1,14,2,2,0,15,0,17,2,15,7,10,17,0,9,8,16,1
68ed2def2034e237058f962e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e377,KALIKIRI,4765,63f99ea7519359b7438a7023,Marrikuntapalle,596072,0,20,0,20,1,1,12,0,14,11,18,0,16,1,0,0,11,0,13,2,29,25,6,25,7,14,16,30,2
68ed2def2034e237058f962f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e377,KALIKIRI,4765,63f99ea7519359b7438a7028,Guttapalem,596076,0,20,1,22,0,2,22,0,5,21,7,1,20,0,0,0,16,0,18,3,27,30,0,28,3,17,11,31,0
68ed2def2034e237058f9630,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e377,KALIKIRI,4765,63f99ea7519359b7438a702d,Pathegada,596073,0,5,0,2,1,3,3,0,4,5,4,0,5,0,0,0,4,0,4,0,11,5,6,11,1,3,7,12,0
68ed2def2034e237058f9631,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e377,KALIKIRI,4765,63f99ea7519359b7438a7032,Kalikirireddivari Palle,596075,1,26,5,19,4,9,21,0,11,23,9,0,27,5,3,1,28,1,31,2,30,22,10,24,5,19,13,31,1
68ed2def2034e237058f9632,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e377,KALIKIRI,4765,63f99ea8519359b7438a703c,Kalikiri,596077,0,13,0,11,3,3,15,0,7,15,10,1,9,0,0,0,9,1,8,2,29,29,0,29,2,14,12,30,1
68ed2def2034e237058f9633,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e377,KALIKIRI,4765,63f99ea8519359b7438a7041,Cheekatipalle,596064,0,8,0,10,2,0,8,0,6,11,6,0,5,1,0,0,6,0,6,0,22,12,9,21,0,14,7,22,0
68ed2def2034e237058f9634,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e377,KALIKIRI,4765,63f99ea8519359b7438a7046,Parapatla,596070,0,5,2,6,1,2,7,0,2,5,5,0,2,0,0,0,2,0,2,0,10,7,3,10,0,4,6,10,0
68ed2def2034e237058f9635,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e377,KALIKIRI,4765,63f99ea9519359b7438a704b,Medikurthi,596071,0,12,0,11,2,4,16,0,5,14,9,0,10,0,0,0,8,0,10,1,29,30,0,31,1,15,12,32,0
68ed2def2034e237058f9637,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e377,KALIKIRI,4765,63f99ea9519359b7438a7055,Mahal,596065,0,3,0,0,2,1,3,0,0,1,2,0,3,0,0,0,3,0,3,1,2,3,0,2,1,3,0,3,0
68ed2def2034e237058f9638,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e377,KALIKIRI,4765,63f99ea9519359b7438a705a,Pallavolu,596069,0,27,4,23,2,6,21,2,9,24,8,0,27,3,0,0,28,21,7,7,25,27,5,27,5,14,18,29,3
68ed2def2034e237058f9639,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e377,KALIKIRI,4765,63f99eaa519359b7438a7064,Munellapalle,596068,0,18,1,16,2,1,15,1,4,7,13,1,16,2,1,0,16,14,5,3,18,19,2,21,0,11,9,19,2
