_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f960e,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e379,KAMBHAMVARIPALLE,4766,63f99e9c519359b7438a6f6b,Kasireddipalle,595694,0,2,1,1,2,1,2,0,2,3,1,0,2,1,0,0,3,0,3,0,4,2,2,3,1,0,4,3,1
68ed2def2034e237058f960f,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e379,KAMBHAMVARIPALLE,4766,63f99e9d519359b7438a6f70,Mahalrajupalle,595684,0,7,0,6,0,1,3,1,3,6,1,0,7,0,0,0,7,0,7,5,2,5,2,7,0,4,3,7,0
68ed2def2034e237058f9610,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e379,KAMBHAMVARIPALLE,4766,63f99e9d519359b7438a6f7a,Gyarampalle,595688,0,28,2,20,5,5,22,0,8,18,12,0,28,2,0,0,27,0,30,15,15,14,16,28,2,22,8,19,11
68ed2def2034e237058f9611,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e379,KAMBHAMVARIPALLE,4766,63f99e9d519359b7438a6f7f,Gorantlapalle,595695,0,8,1,5,2,2,6,0,3,6,3,0,9,0,0,0,9,1,8,5,4,4,5,9,0,5,4,4,4
68ed2def2034e237058f9612,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e379,KAMBHAMVARIPALLE,4766,63f99e9e519359b7438a6f84,Kambhamvaripalle,595691,0,49,8,44,3,10,38,1,21,44,16,3,48,5,0,0,51,0,55,31,29,37,23,53,7,23,37,38,22
68ed2def2034e237058f9613,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e379,KAMBHAMVARIPALLE,4766,63f99e9e519359b7438a6f89,Maddipatlavandlapalle,595675,0,17,0,11,1,9,15,0,12,24,6,1,11,2,0,0,7,1,9,20,11,22,9,27,4,12,19,25,6
68ed2def2034e237058f9614,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e379,KAMBHAMVARIPALLE,4766,63f99e9e519359b7438a6f8e,Noothanakalva,595676,0,22,3,18,2,5,19,0,7,15,12,1,21,3,0,0,24,0,24,17,11,9,19,24,4,16,12,18,10
68ed2def2034e237058f9615,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e379,KAMBHAMVARIPALLE,4766,63f99e9e519359b7438a6f93,Garnimitta,595679,0,18,3,12,6,9,20,2,6,20,9,2,12,0,0,0,11,0,13,21,9,19,11,31,0,6,24,15,15
68ed2def2034e237058f9616,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e379,KAMBHAMVARIPALLE,4766,63f99e9f519359b7438a6f98,Thuvvapalle,595680,0,26,2,21,2,5,16,1,11,22,6,0,24,4,0,0,28,0,28,13,15,13,15,23,5,4,24,16,12
68ed2def2034e237058f9617,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e379,KAMBHAMVARIPALLE,4766,63f99e9f519359b7438a6fa2,Theethavagunta Palle,595686,0,12,1,10,1,2,6,0,7,9,4,0,11,2,0,0,13,0,13,6,7,7,6,10,3,0,13,10,3
