_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f95c8,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e37b,KODUR,4832,63f99e84519359b7438a6d9d,Obanapalle,593714,0,44,3,13,15,19,28,0,19,22,25,1,46,0,2,0,45,0,47,24,23,32,15,41,6,12,35,20,27
68ed2def2034e237058f95c9,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e37b,KODUR,4832,63f99e84519359b7438a6da2,Vasudevapuram,593712,0,5,0,1,2,2,2,0,3,3,2,0,5,0,0,0,5,0,5,0,5,4,1,3,1,2,3,5,0
68ed2def2034e237058f95ca,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e37b,KODUR,4832,63f99e85519359b7438a6dac,Gangarajupuram,593711,0,10,1,3,4,4,5,1,5,4,7,0,11,0,0,0,11,0,11,1,10,7,4,9,2,1,10,9,2
68ed2def2034e237058f95cb,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e37b,KODUR,4832,63f99e85519359b7438a6db1,Kodur (West),593718,0,23,7,8,9,13,15,0,15,14,16,0,30,0,2,0,28,0,30,30,0,19,11,27,3,5,25,27,3
68ed2def2034e237058f95cc,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e37b,KODUR,4832,63f99e85519359b7438a6db6,Anantharajupeta,593709,0,73,10,27,25,31,52,0,31,43,40,0,79,4,1,0,82,0,83,72,11,51,32,76,6,14,69,81,2
68ed2def2034e237058f95cd,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e37b,KODUR,4832,63f99e86519359b7438a6dbb,K.Buduguntapalle,593717,0,13,2,4,5,6,6,0,9,9,6,1,14,0,0,0,15,0,15,2,13,10,5,12,3,5,10,15,0
68ed2def2034e237058f95ce,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e37b,KODUR,4832,63f99e86519359b7438a6dc0,Vellelavari Khandrika,593713,0,27,1,7,10,11,20,0,8,15,13,0,28,0,0,2,26,0,28,3,25,14,14,24,2,1,27,25,3
68ed2def2034e237058f95cf,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e37b,KODUR,4832,63f99e86519359b7438a6dc5,Chiyyavaram,593716,0,25,1,10,5,11,7,1,18,10,16,0,26,0,0,0,26,0,26,20,6,14,12,25,0,7,19,24,2
68ed2def2034e237058f95d0,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e37b,KODUR,4832,63f99e86519359b7438a6dca,Settigunta,593722,0,50,7,26,11,20,19,1,37,27,30,1,56,0,1,0,56,0,57,52,5,33,24,51,5,16,41,53,4
68ed2def2034e237058f95d1,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e37b,KODUR,4832,63f99e87519359b7438a6dcf,Upparapalle,593720,1,43,6,20,13,17,19,0,31,30,20,3,47,0,1,0,49,0,50,5,45,38,12,33,17,14,36,36,14
68ed2def2034e237058f95d2,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e37b,KODUR,4832,63f99e87519359b7438a6dd4,Kodur (East),593719,1,60,5,30,11,25,32,0,34,31,35,3,61,2,1,0,65,0,66,21,45,54,12,59,7,20,46,61,5
68ed2def2034e237058f95d3,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e37b,KODUR,4832,63f99e87519359b7438a6dd9,Raghavarajupuram,593710,0,12,1,6,1,6,7,0,6,7,6,0,13,0,0,0,13,0,13,6,7,11,2,8,5,2,11,9,4
68ed2def2034e237058f95d4,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e37b,KODUR,4832,63f99e87519359b7438a6dde,Kitchamambapuram Agraharam,593715,0,11,4,5,5,5,7,0,8,6,9,0,15,0,1,0,14,0,15,15,0,9,6,15,0,5,10,13,2
